 	o	n	g	ω	n	g	ω	m	á	m	b	v	u	á	m	á	a	m	á	n	d	z	á	l	é	á	d	í	l	a	l	e	p	f	u	n	y	u	ú	</S>
après	0.015522	0.0191178	0.0198086	0.0131885	0.0148989	0.0113804	0.0205852	0.0148211	0.030269	0.0321643	0.0435583	0.0370611	0.0593782	0.0611704	0.0679749	0.0477587	0.0356151	0.033717	0.0183309	0.0135262	0.0118683	0.0134837	0.00863633	0.0100733	0.00672247	0.0131979	0.0178235	0.0118641	0.020926	0.0212734	0.0239439	0.0298405	0.020871	0.0229	0.022827	0.0225128	0.0311417	0.0287747	0.0267757	0.0246974
la	0.0520061	0.0518735	0.0472329	0.0357232	0.0275818	0.0261577	0.0290364	0.0271981	0.0212815	0.0287319	0.0246808	0.0619773	0.0352847	0.0382931	0.0495378	0.0297766	0.0302143	0.032451	0.0221383	0.0378555	0.027934	0.0166883	0.00550043	0.00727507	0.00863083	0.0158962	0.0228151	0.0212994	0.016329	0.0145889	0.019528	0.0201505	0.0135044	0.00948233	0.0174878	0.00728904	0.0137354	0.0072074	0.00811925	0.0175061
pluie	0.0375818	0.0288286	0.0330186	0.0303415	0.0422307	0.0635604	0.0603713	0.0515438	0.0352602	0.0302052	0.0120029	0.0156917	0.0163991	0.0157932	0.0130161	0.0130903	0.0136512	0.0327014	0.0114935	0.0196402	0.0257896	0.0381785	0.012738	0.00985673	0.016171	0.0181813	0.0198271	0.0228162	0.0206413	0.0224281	0.0219325	0.0289815	0.0303816	0.019034	0.0303502	0.027	0.0263704	0.0158503	0.00929279	0.00775702
l'	0.0247437	0.0355562	0.0522322	0.066853	0.101432	0.0955188	0.033795	0.0214745	0.0145493	0.0155098	0.0159838	0.0125166	0.0230147	0.0228723	0.0155665	0.0241119	0.0227113	0.0280945	0.0385378	0.0400311	0.0371776	0.0248823	0.0328251	0.0176525	0.0165664	0.0077116	0.00731739	0.00627906	0.00757341	0.00456419	0.00609455	0.00637927	0.00759487	0.00738071	0.0107536	0.00932911	0.0125038	0.0179796	0.0261123	0.0282178
eau	0.0179974	0.0457344	0.0711911	0.0804164	0.0966309	0.0556216	0.078149	0.0448127	0.0204319	0.0160726	0.0142739	0.0232553	0.0207432	0.0185425	0.0196008	0.0145264	0.0236193	0.0376509	0.0456003	0.0440684	0.0530268	0.0220412	0.00501622	0.00458077	0.0132801	0.0142883	0.0120461	0.00957661	0.00457626	0.00295516	0.00320022	0.0068482	0.00323227	0.00178921	0.00260232	0.00252425	0.00731314	0.00456777	0.00770123	0.0298951
de	0.0203017	0.0165834	0.0164172	0.0224657	0.0388891	0.0265041	0.0218647	0.0233312	0.0209514	0.0213777	0.0271706	0.0298938	0.0581085	0.0506389	0.0448425	0.0612127	0.0712708	0.0511066	0.0698454	0.0393799	0.037825	0.0157088	0.0184613	0.0225926	0.0149713	0.0140277	0.0137214	0.00642877	0.00714679	0.00532777	0.0060947	0.00894722	0.00857785	0.00764612	0.00551579	0.00503156	0.0104878	0.00938266	0.00945729	0.0404916
la	0.0538031	0.0375088	0.0288642	0.0298732	0.0355169	0.0259724	0.0246509	0.0235495	0.0174097	0.0118309	0.0108311	0.0114042	0.0131874	0.0129185	0.0188262	0.0160498	0.0172428	0.0221049	0.0309507	0.026699	0.0286805	0.0156467	0.0195989	0.020069	0.0234327	0.0275697	0.0288279	0.0300646	0.0225994	0.0201921	0.0187449	0.0204398	0.019795	0.0197357	0.0230603	0.025595	0.0322982	0.0386175	0.0373368	0.0585014
rivière	0.046346	0.0294958	0.018258	0.0175081	0.0161643	0.0163105	0.0111875	0.0104636	0.0104142	0.0118649	0.0140147	0.0164364	0.023751	0.0244293	0.0310188	0.0407675	0.050517	0.0343067	0.0451105	0.0344016	0.0311283	0.0229955	0.0200269	0.0247107	0.0235063	0.0241044	0.0197691	0.0178378	0.0184931	0.0186121	0.0213346	0.0207829	0.0170359	0.0199556	0.0219789	0.0258022	0.0354041	0.0303747	0.0298331	0.053547
est	0.0423624	0.0235326	0.014354	0.0119935	0.00992912	0.00913034	0.0115713	0.00977215	0.00748637	0.00555598	0.00425401	0.00507833	0.00618254	0.00557213	0.00697776	0.0128144	0.0207145	0.0292176	0.0527666	0.0491346	0.0593282	0.0476533	0.051103	0.0577481	0.0720723	0.0484377	0.0398633	0.0379586	0.0388324	0.0254766	0.0204369	0.0158317	0.0187192	0.0156881	0.0122513	0.0125736	0.0199057	0.017524	0.0203417	0.0298542
trouble	0.0342557	0.0212465	0.0138533	0.0110039	0.00999996	0.00744183	0.00463694	0.00338884	0.00325273	0.0031444	0.00299906	0.0035123	0.00364744	0.00423056	0.00645591	0.00966954	0.0171147	0.0196386	0.0296892	0.0322971	0.0368586	0.0369066	0.0359056	0.0337331	0.0376163	0.0350698	0.0382799	0.0427567	0.0436266	0.0378357	0.0401122	0.0255246	0.0261523	0.0278462	0.0270652	0.0393972	0.0406727	0.0403519	0.0539922	0.058818
</S>	0.0420361	0.0326306	0.0305122	0.0260662	0.020682	0.0217242	0.0192516	0.0172217	0.0165025	0.0123355	0.0086561	0.00715374	0.00657012	0.0052683	0.00463035	0.00442379	0.00605484	0.0103146	0.0141173	0.0170507	0.0286913	0.0303282	0.0399521	0.0205604	0.0314729	0.0221045	0.020055	0.0247957	0.0263901	0.0223253	0.024139	0.0234053	0.0260294	0.027488	0.0280247	0.0346043	0.0411528	0.058844	0.0474158	0.0990188
