 	n	g	á	í	k	y	e	m	i	i	é	t	έ	í	n	g	á	m	o	r	o	m	ó	t	s	w	έ	m	b	έ	ó	i	k	o	ó	l	í	b	í	a	</S>
je	0.0825698	0.389911	0.156932	0.0979898	0.073623	0.0235686	0.00742137	0.005391	0.00193715	0.0022033	0.0031581	0.00257196	0.0037926	0.00330424	0.00541018	0.00510821	0.00588996	0.00781966	0.00705704	0.00777157	0.0045131	0.00367689	0.00323159	0.00376478	0.00413586	0.00455077	0.00519516	0.00574513	0.00471535	0.00598777	0.00590152	0.00540865	0.00549411	0.0056414	0.00464434	0.0052665	0.0054206	0.00571064	0.00605919	0.00591974	0.00558591
m'	0.0422636	0.018554	0.035206	0.0666427	0.0322015	0.0210578	0.0256668	0.0286511	0.0336351	0.0474076	0.0791589	0.0658405	0.0583486	0.0539415	0.0425823	0.0330951	0.0294495	0.0166031	0.0168396	0.0157072	0.0150861	0.0177442	0.0212581	0.0322126	0.0217062	0.0342494	0.010382	0.0115678	0.00724656	0.00573755	0.00959484	0.00496842	0.00421519	0.0050309	0.00307155	0.00516907	0.00381456	0.004452	0.00352122	0.00448539	0.0116337
étonnais	0.0230223	0.0184842	0.0116226	0.0241174	0.0162932	0.030259	0.0279924	0.0289445	0.0333744	0.0198195	0.0210045	0.0227891	0.0211178	0.0181982	0.026652	0.0286551	0.0285907	0.0396468	0.0342314	0.0273132	0.0218872	0.0259868	0.0302441	0.0194567	0.0420869	0.041122	0.0253084	0.0399801	0.0307756	0.0246783	0.0237993	0.0188814	0.0249742	0.0219245	0.0153498	0.0184808	0.0130722	0.02001	0.0123498	0.0163312	0.0111724
de	0.0149419	0.0152669	0.0084058	0.01333	0.0401729	0.0295669	0.0277762	0.0307094	0.0356878	0.0346261	0.0333295	0.038017	0.0467364	0.0481796	0.0484952	0.0362768	0.0597754	0.013735	0.0284164	0.0263558	0.0183559	0.0359402	0.0306053	0.0191695	0.0300451	0.0219672	0.0282731	0.0212401	0.0155697	0.015317	0.00970424	0.0120861	0.00849403	0.00927287	0.0125024	0.0100497	0.0102792	0.0111143	0.0135808	0.0115019	0.0251302
voir	0.0123991	0.00624917	0.00300454	0.00592304	0.00853879	0.0136768	0.0120391	0.0169559	0.022621	0.0201392	0.0197273	0.0230027	0.0220328	0.0206946	0.024437	0.0224754	0.0184363	0.0161815	0.020939	0.0288432	0.028759	0.0337676	0.0289147	0.0517751	0.0356983	0.0361305	0.0252847	0.0241585	0.0396572	0.0221712	0.0261125	0.0399555	0.032801	0.0276294	0.0360179	0.0326162	0.0344176	0.0259102	0.029906	0.0225846	0.027416
quelqu'	0.00506118	0.00301994	0.00480546	0.0028721	0.00876192	0.0135416	0.0161391	0.0261772	0.0246018	0.0249258	0.0185894	0.0225363	0.0218369	0.0188771	0.0194625	0.0220315	0.0169841	0.0158852	0.014719	0.0164015	0.0250371	0.0251387	0.0235401	0.023409	0.0289116	0.0234913	0.0169011	0.0241325	0.0369114	0.0210772	0.0283379	0.0423633	0.0445438	0.0443316	0.0469008	0.0431312	0.0329776	0.0322703	0.0245366	0.0350006	0.0598266
un	0.00972994	0.00413244	0.00740986	0.00438613	0.0139739	0.0205689	0.0266348	0.0397437	0.0355131	0.0280498	0.0245597	0.027072	0.0244282	0.0207113	0.0240352	0.0249111	0.0182398	0.0213643	0.018122	0.0185878	0.0242811	0.0229821	0.023155	0.0210275	0.0267452	0.0229748	0.0164764	0.0212281	0.025399	0.0187323	0.0240158	0.0298562	0.0315854	0.0328034	0.0325934	0.0329099	0.0296662	0.0287789	0.0271901	0.0324514	0.0629737
en	0.00720621	0.00319743	0.00817513	0.00446532	0.00703156	0.0141292	0.0125266	0.0353971	0.0446149	0.0417706	0.0304991	0.0372853	0.0349212	0.0343439	0.0303131	0.0337905	0.0299167	0.0326945	0.0293864	0.0290328	0.0320145	0.0233808	0.0256019	0.0281557	0.0166536	0.0204614	0.0228267	0.0173994	0.0154139	0.0132228	0.0202675	0.0131874	0.0158727	0.0200374	0.00758063	0.0227634	0.0156789	0.0284357	0.0271776	0.0427114	0.0704594
cache-sexe	0.00752249	0.00703629	0.0116247	0.00777712	0.0093882	0.015666	0.0100619	0.0199637	0.0219366	0.0315868	0.0182256	0.0221852	0.0225166	0.0213447	0.022697	0.0203877	0.0180379	0.0221673	0.0199777	0.0188431	0.0247836	0.017536	0.0202771	0.0202942	0.0125741	0.0142132	0.0234942	0.0205982	0.0229072	0.0206821	0.0256401	0.0280582	0.0370685	0.0464252	0.0200763	0.0483371	0.0256336	0.040974	0.0312395	0.0545353	0.0957056
en	0.0111089	0.00663284	0.0161886	0.00764449	0.0175022	0.0322272	0.035348	0.0412274	0.057622	0.0456019	0.033699	0.0357499	0.0354411	0.0331852	0.027469	0.0265347	0.0233236	0.0314931	0.0298755	0.0231222	0.0273467	0.0374785	0.0348826	0.0366391	0.032836	0.022865	0.0156556	0.0151974	0.0102071	0.00718459	0.016533	0.0124325	0.0117147	0.0111634	0.0105704	0.015606	0.0100635	0.0157138	0.0126794	0.0174668	0.0547668
