 	k	y	é	m	a	y	e	é	k	i	r	á	i	k	ó	ó	w	ó	a	d	í	s	ω	n	d	ω	</S>
ce	0.0206748	0.0244719	0.0146359	0.0227149	0.0244676	0.0293286	0.0346919	0.0375161	0.0401014	0.0459783	0.0475272	0.0571159	0.0661307	0.0557295	0.0547818	0.0598277	0.0263793	0.0583328	0.036793	0.0483265	0.0245467	0.032123	0.0352096	0.0264794	0.02727	0.0238957	0.02495
singe	0.168563	0.0936692	0.138808	0.0658535	0.0479279	0.0685164	0.0285962	0.0189736	0.0175264	0.033394	0.0470815	0.0220109	0.0178475	0.0113334	0.00585146	0.00837903	0.0138475	0.0313097	0.0464602	0.0317732	0.0349513	0.0194143	0.0122196	0.00601095	0.00506621	0.00292277	0.0016924
que	0.0207632	0.0161879	0.015796	0.00967087	0.00847349	0.0119329	0.00948278	0.0111379	0.0100439	0.0146283	0.0269036	0.0234007	0.0200153	0.0264308	0.0536844	0.0565355	0.0354085	0.151846	0.135879	0.125416	0.0932338	0.0667807	0.0249006	0.0114998	0.00635053	0.00818814	0.00540901
vend	0.0160845	0.0143296	0.028234	0.0257828	0.0247822	0.0191745	0.0146659	0.0263141	0.0950405	0.14819	0.152245	0.116986	0.0580481	0.0570044	0.0436018	0.0235371	0.0140481	0.0198197	0.00840849	0.0146429	0.0081197	0.00530255	0.0100957	0.00723956	0.0102753	0.00912359	0.0289037
ikoo	0.0475462	0.0381889	0.0486959	0.047226	0.0710955	0.0666824	0.0583608	0.0368864	0.0258631	0.0154184	0.0142333	0.011358	0.0079533	0.010052	0.00897466	0.0118629	0.0306909	0.073116	0.0595389	0.0543578	0.0372544	0.0290988	0.0311825	0.0348887	0.0369384	0.0394588	0.053077
est	0.0697537	0.0733483	0.0580621	0.046122	0.0606306	0.0387737	0.0333119	0.0321459	0.0367633	0.0316878	0.0225305	0.0293656	0.0261883	0.0293026	0.0272918	0.0269319	0.00551874	0.00768565	0.0129175	0.00957293	0.0139011	0.0224587	0.0248482	0.0440939	0.0579212	0.0573572	0.101515
un	0.0767512	0.0620942	0.0579613	0.0594367	0.0841393	0.0508747	0.0567994	0.0308071	0.0211576	0.0201103	0.00915151	0.00720483	0.00661543	0.0046223	0.00231111	0.00938939	0.0161141	0.0197207	0.0268144	0.0212968	0.0245248	0.0279817	0.0339687	0.0238364	0.0400377	0.0442615	0.162017
cercopithèque	0.0788103	0.0788553	0.0677207	0.0687181	0.0734082	0.0304279	0.0295387	0.0208762	0.0254574	0.0211455	0.00884825	0.00651843	0.00606217	0.00566027	0.00353791	0.00780096	0.00262936	0.00739218	0.00395184	0.00831973	0.0168972	0.0292781	0.0462411	0.0375982	0.0633229	0.0542443	0.196739
nuido	0.100724	0.0565245	0.0544804	0.0600126	0.0810013	0.0591193	0.0340221	0.021631	0.0245896	0.0157965	0.010226	0.0059402	0.00654331	0.00460637	0.00211405	0.00421867	0.00111778	0.00567765	0.00525566	0.0164171	0.0272615	0.0443962	0.0562212	0.0460382	0.0550588	0.0508035	0.150203
</S>	0.0437221	0.0386134	0.0436958	0.0494065	0.0575196	0.0373705	0.0374975	0.0286141	0.0198399	0.0141141	0.0106997	0.0100106	0.00911866	0.00620855	0.00511357	0.00918861	0.00482721	0.00674232	0.0161444	0.0127602	0.0179686	0.0248453	0.0450215	0.0666654	0.0822505	0.0909984	0.211043
