 	k	y	é	m	a	w	ó	a	d	í	l	a	m	b	ω	í	e	n	έ	y	a	y	í	a	l	í	n	g	a	a	</S>
ce	0.00795913	0.00723542	0.00698495	0.00413244	0.0109668	0.0087321	0.0126613	0.0139089	0.0207786	0.0420227	0.0626107	0.0548913	0.060693	0.0636572	0.0654263	0.0687838	0.0542657	0.0389564	0.0481836	0.0287556	0.0349394	0.029094	0.0314598	0.0248218	0.0339379	0.0370479	0.0308437	0.0409014	0.0291396	0.0171214	0.00908733
singe	0.0875654	0.0756046	0.145446	0.188231	0.139415	0.0644679	0.153904	0.0536739	0.00850931	0.00484742	0.00614478	0.00400796	0.0017755	0.0018471	0.000772913	0.00293774	0.000949038	0.00224223	0.00647327	0.00260907	0.00453924	0.00610555	0.00546028	0.0125335	0.0069378	0.0048533	0.00239198	0.0021767	0.00180044	0.00136623	0.000410358
a	0.0173718	0.0214171	0.0369868	0.0302698	0.0266545	0.0578327	0.035667	0.0275225	0.0158534	0.0159959	0.0251347	0.0395766	0.0370433	0.102646	0.0263705	0.0463105	0.0255678	0.0228094	0.0262365	0.0221546	0.0312332	0.0366852	0.0446712	0.0578042	0.0426577	0.0300248	0.0219797	0.0309425	0.0206348	0.0169358	0.00700911
un	0.0435507	0.0756496	0.0834204	0.084145	0.0616819	0.0375974	0.0288528	0.0349003	0.0237253	0.0154534	0.0193646	0.0296418	0.0215982	0.0188763	0.0154669	0.0192503	0.0192274	0.0230677	0.0238449	0.0284363	0.03201	0.0219909	0.0259113	0.0190312	0.0287795	0.0214469	0.0237196	0.0380011	0.0227889	0.0179926	0.0405767
grand	0.0346985	0.0220641	0.0241599	0.0445147	0.0361844	0.031018	0.0292606	0.038916	0.0464731	0.0421676	0.0487292	0.0684471	0.0291268	0.0577807	0.0196117	0.0246183	0.0182515	0.0282569	0.0303265	0.0402117	0.0523313	0.042436	0.0251097	0.0286205	0.0204463	0.0158538	0.0184746	0.0139261	0.0127355	0.0239521	0.0312969
creux	0.0583526	0.0352688	0.0318199	0.0386109	0.0457017	0.0336261	0.0269422	0.0382644	0.0537635	0.0347463	0.0378909	0.0589349	0.0184604	0.0335052	0.0159612	0.0197632	0.0124902	0.0157579	0.0187815	0.0183303	0.020797	0.0231052	0.0161563	0.0438325	0.0283125	0.0369652	0.0312245	0.0233937	0.0156579	0.0538036	0.0597796
séparant	0.0982037	0.0627784	0.0544528	0.0880426	0.0934312	0.0453675	0.0329977	0.0409351	0.0338676	0.0333681	0.0297007	0.0349428	0.0178771	0.0181135	0.00987098	0.0101393	0.00919689	0.0161458	0.0165769	0.0193982	0.0295996	0.0194157	0.0221428	0.0211109	0.0219426	0.0219991	0.023302	0.0171532	0.0164327	0.0178705	0.0236239
le	0.0815748	0.0570077	0.0409055	0.0502825	0.0421875	0.0303313	0.0249048	0.0280368	0.0331412	0.0476366	0.0473931	0.0564614	0.0197444	0.0219918	0.0135253	0.0193249	0.0125043	0.0153021	0.0124256	0.0204682	0.0172639	0.0123491	0.0102544	0.0168825	0.0123191	0.0109635	0.016709	0.0162086	0.0257586	0.0464155	0.139726
front	0.0486889	0.104105	0.0789551	0.0735831	0.0390274	0.0226198	0.0157845	0.0200064	0.0187759	0.0170843	0.0183764	0.019505	0.0129195	0.0112586	0.0178977	0.0134364	0.0169256	0.0228324	0.0239547	0.02954	0.0215478	0.00896794	0.00714976	0.0114496	0.00477024	0.00950188	0.0168192	0.0164201	0.01358	0.0682822	0.196235
du	0.1004	0.0734812	0.0602234	0.0746222	0.0653762	0.0387932	0.0263576	0.0287918	0.0302412	0.0216672	0.0202727	0.0313831	0.0168732	0.0180361	0.0145004	0.0146345	0.0136904	0.016376	0.0128824	0.0105383	0.00921004	0.00527814	0.00766513	0.0114653	0.021455	0.0199697	0.0278066	0.0389339	0.0302873	0.0287776	0.110011
nez	0.0582103	0.0940351	0.066898	0.057228	0.0267966	0.0200221	0.0168795	0.0173844	0.0117843	0.0107611	0.0123552	0.0165339	0.0143982	0.017706	0.0231231	0.0160193	0.0164456	0.0174226	0.0159381	0.0258184	0.0214434	0.0107288	0.0102497	0.0173365	0.0134181	0.0143585	0.0240154	0.0429252	0.0374611	0.0659233	0.18638
est-ce	0.114961	0.0688613	0.0658764	0.0702598	0.0476905	0.0382268	0.026856	0.0203178	0.0111223	0.00832774	0.0108607	0.0214227	0.0174839	0.0180523	0.0257646	0.018895	0.0268501	0.0209573	0.0165186	0.00976068	0.0107618	0.00430913	0.00755299	0.0141631	0.0109663	0.0160202	0.0159518	0.025163	0.0247633	0.0490764	0.162207
une	0.220797	0.194125	0.167943	0.172898	0.0408633	0.0218441	0.00585801	0.00375361	0.00145622	0.00133347	0.00163071	0.00324197	0.00359449	0.005144	0.00447611	0.00679417	0.00990114	0.00839005	0.00594396	0.0033823	0.00366234	0.0023751	0.00309147	0.00394607	0.0042024	0.00792604	0.0103494	0.0111888	0.00891555	0.0194873	0.0414842
maladie	0.268116	0.143965	0.0938519	0.0759754	0.036196	0.021657	0.0102091	0.00872207	0.00749932	0.00841187	0.00943888	0.0144819	0.0147657	0.0119177	0.0209824	0.010181	0.0133765	0.0110872	0.0100948	0.0103862	0.0108704	0.00488803	0.00423907	0.00628012	0.00669636	0.00800067	0.0125749	0.0244742	0.0181533	0.0202384	0.0822679
</S>	0.105879	0.105541	0.0948057	0.0680895	0.0359529	0.0332874	0.0250357	0.0234556	0.0171194	0.0132442	0.0158168	0.0181684	0.0158081	0.0126686	0.0179478	0.0111289	0.0132566	0.0109178	0.0121088	0.0150257	0.0101343	0.00383265	0.00496243	0.0121082	0.0122457	0.0185031	0.0234616	0.0321442	0.02385	0.0332786	0.160221
