 	i	d	z	á	a	m	ó	s	a	n	y	a	l	a	m	b	ώ	s	í	í	d	í	o	y	o	m	b	á	</S>
manger	0.0447481	0.0453224	0.0293595	0.0265628	0.013321	0.0190463	0.0282589	0.0335035	0.0405953	0.0412338	0.0410737	0.040754	0.0419922	0.0450022	0.0455239	0.0357725	0.0373314	0.0449921	0.0499496	0.0528079	0.050675	0.0271269	0.0321978	0.0312982	0.0261532	0.0179964	0.0218822	0.0211838	0.0143351
avec	0.254357	0.106882	0.127712	0.0782655	0.0764565	0.0696956	0.0636401	0.0360853	0.0215424	0.0157871	0.0181721	0.0187923	0.017972	0.0154005	0.00976132	0.00185279	0.00392481	0.00327113	0.0043894	0.00719611	0.00605581	0.00286118	0.00261538	0.00357555	0.00703795	0.00568345	0.00511847	0.00621885	0.00967687
la	0.0266972	0.0591119	0.0520803	0.0479906	0.0421328	0.0370177	0.0357136	0.0524563	0.0490707	0.0365927	0.028811	0.0355947	0.0531091	0.0438367	0.0368873	0.0193024	0.0320535	0.0440808	0.0316114	0.0282891	0.0253516	0.0291536	0.0240205	0.0242499	0.0295846	0.0229995	0.0205579	0.0197788	0.0118639
fourchette	0.00822318	0.0152003	0.0166979	0.0157425	0.0235654	0.0224009	0.0188229	0.0120289	0.00718282	0.00270035	0.00174416	0.0013933	0.00234657	0.00421062	0.0146762	0.0256002	0.0623916	0.0690444	0.160394	0.159317	0.160839	0.0620437	0.0456253	0.0335478	0.0271102	0.00860983	0.00458249	0.00523384	0.00872407
est	0.0112276	0.0145637	0.0123028	0.0147119	0.0156821	0.0224208	0.0253288	0.0302936	0.070912	0.112101	0.0964135	0.0960376	0.11882	0.0852174	0.049803	0.0177686	0.00523681	0.00399101	0.00923751	0.0054602	0.00577876	0.00522381	0.00505592	0.0080655	0.00676867	0.0134379	0.0161317	0.0264148	0.0955929
une	0.0815587	0.0551026	0.0741633	0.099011	0.10941	0.0931822	0.0788259	0.0557393	0.0349071	0.0348621	0.0287857	0.0245875	0.0265644	0.0263295	0.0178403	0.0106417	0.0036406	0.00553454	0.0103496	0.00610902	0.00423858	0.00730982	0.00985378	0.0129823	0.00832747	0.010368	0.013895	0.0149543	0.0409263
culture	0.0917486	0.0427639	0.040039	0.0573471	0.0512006	0.0518693	0.0542744	0.0497841	0.0239034	0.0140513	0.016248	0.00814104	0.00336552	0.00456181	0.00431887	0.00543256	0.00539011	0.00439257	0.00690997	0.00849035	0.0066239	0.00964946	0.0141198	0.0232186	0.026279	0.0296492	0.0361248	0.0908435	0.219259
d'	0.043428	0.0251131	0.0217035	0.0281094	0.0196961	0.0175645	0.0255382	0.0437513	0.0865083	0.100461	0.130583	0.111313	0.0950122	0.046183	0.0101051	0.00567327	0.00246124	0.00325031	0.00347558	0.00282029	0.00287195	0.00416828	0.00560062	0.00638957	0.00841506	0.0176619	0.0247658	0.0297748	0.0776023
emprunt	0.149445	0.0677403	0.0587414	0.0388629	0.0271381	0.022617	0.0237172	0.022794	0.0142633	0.0148486	0.0130472	0.00959172	0.0138478	0.02092	0.0344623	0.0458635	0.0344017	0.0223066	0.0316522	0.0215248	0.0164143	0.0182321	0.0290559	0.0289108	0.0363901	0.0369972	0.0422488	0.0406785	0.0632865
chez	0.0629869	0.0407865	0.0454142	0.0569584	0.0277486	0.0206761	0.0177187	0.0170014	0.0100516	0.0107567	0.0114735	0.0105305	0.0119402	0.0112349	0.0124415	0.00598983	0.00324401	0.00395805	0.0071349	0.00561781	0.00765361	0.00903265	0.00886672	0.00979787	0.0132787	0.0479772	0.0680418	0.0959571	0.34573
les	0.0367413	0.045818	0.065613	0.0742969	0.0652303	0.0578223	0.0489994	0.0299684	0.0101258	0.0176636	0.0128237	0.010169	0.00747785	0.0077085	0.00906355	0.00514024	0.00352773	0.00434213	0.00377627	0.00242866	0.00453653	0.00509419	0.0133713	0.0179241	0.0266215	0.0574199	0.0745427	0.0947454	0.187008
mbochis	0.0414898	0.0469282	0.0636738	0.0557768	0.0333134	0.0238986	0.019986	0.0150275	0.00772689	0.0128141	0.009561	0.00823053	0.00642693	0.00569035	0.0082023	0.00609789	0.00773827	0.00743205	0.00971996	0.00644444	0.00893652	0.0123587	0.0212538	0.0274589	0.0443442	0.100075	0.122721	0.114166	0.152508
</S>	0.0277574	0.0323722	0.0390741	0.0358299	0.0307639	0.0286397	0.0289907	0.0244336	0.014685	0.0140583	0.0126428	0.0118255	0.0117552	0.0146958	0.0168845	0.0174212	0.0129561	0.00902722	0.00655247	0.00493834	0.00894865	0.0122438	0.0217582	0.0239286	0.03498	0.0653447	0.101447	0.112532	0.223512
