 	b	e	a	b	í	b	í	i	d	z	w	a	m	b	v	á	a	n	g	a	l	a	b	í	b	í	i	d	w	z	a	m	b	v	á	a	a	p	é	n	d	i	</S>
cette	0.00973467	0.00810176	0.00962092	0.00869529	0.00531346	0.00585109	0.00583091	0.00901836	0.0182239	0.0424948	0.0453753	0.0317731	0.0315186	0.0567412	0.0619185	0.0399112	0.0231882	0.0217746	0.0154837	0.0198319	0.0120548	0.0122813	0.011861	0.0107169	0.0116885	0.0191909	0.0201431	0.0137769	0.0202111	0.0208943	0.0212308	0.0256579	0.0299839	0.0303724	0.0335863	0.0335491	0.0431141	0.0330477	0.0307528	0.0310995	0.0251646	0.0206889	0.018532
nourriture	0.082626	0.244612	0.200425	0.252269	0.0518256	0.0440767	0.0113393	0.00495052	0.00445653	0.0039062	0.0015506	0.000780944	0.000706859	0.00144171	0.000611454	0.000492239	0.000802283	0.00081776	0.000873729	0.00719532	0.00657218	0.00537955	0.011059	0.00589895	0.00271334	0.00353389	0.00196825	0.00284433	0.00303451	0.00224162	0.00226466	0.00368047	0.00439226	0.00326526	0.00238814	0.00245416	0.00350993	0.00215723	0.00163794	0.00329803	0.00505273	0.00397131	0.000922161
ira	0.0496621	0.0384966	0.039041	0.0221556	0.0154276	0.0161986	0.0159425	0.0156935	0.0181419	0.00897305	0.00910124	0.0127164	0.00857163	0.0310256	0.00992273	0.0161122	0.013657	0.0363641	0.0193202	0.074333	0.0293253	0.0376394	0.0342505	0.0196869	0.0393818	0.0190032	0.0158166	0.0175906	0.0186582	0.0159754	0.0282806	0.0172972	0.0210411	0.0170786	0.0473115	0.0274461	0.0459293	0.0242701	0.0127787	0.0131677	0.0110349	0.00945077	0.00672924
chez	0.00931991	0.029074	0.0331749	0.0406139	0.0379659	0.0215147	0.0195139	0.0230218	0.0211099	0.0211293	0.0118379	0.0141094	0.0133142	0.0225768	0.0173204	0.0222822	0.0319769	0.040188	0.0453738	0.0334638	0.0213477	0.0263336	0.0347739	0.0186914	0.0177652	0.0161286	0.0163192	0.0302356	0.0242777	0.0224707	0.0307367	0.0207526	0.0284049	0.018382	0.0204788	0.0199632	0.0214795	0.0142523	0.0138515	0.0152215	0.0177795	0.0199833	0.021489
ngala	0.00888363	0.0156242	0.0301922	0.0394931	0.0340999	0.0329664	0.0340783	0.0274795	0.0254894	0.0130087	0.0105264	0.0148462	0.0114118	0.0194607	0.0153836	0.0216976	0.0340315	0.0322205	0.0498684	0.0217946	0.0258828	0.0321934	0.037729	0.0312781	0.0198705	0.0194051	0.0263679	0.0272445	0.0228117	0.0260066	0.0274402	0.0193194	0.0210949	0.0125131	0.022615	0.0138797	0.0155721	0.0134903	0.0109099	0.0140499	0.0147957	0.0195232	0.0334504
celle-ci	0.00812134	0.00762614	0.0167347	0.0231114	0.0232384	0.0207271	0.0236467	0.0172185	0.0156928	0.00824429	0.00422768	0.00860008	0.00931899	0.00933847	0.0142857	0.0117822	0.0111893	0.0133607	0.0201171	0.0262158	0.0336996	0.0578154	0.0522334	0.0457479	0.0382798	0.0239179	0.0414362	0.0348098	0.0298122	0.0289058	0.0277581	0.0294202	0.0242929	0.0166962	0.034233	0.0228818	0.0127607	0.0163592	0.0205224	0.0234015	0.0220711	0.0319618	0.0381857
ira	0.0282009	0.0218909	0.0335418	0.0381275	0.0190893	0.0262797	0.0269593	0.0180689	0.0143546	0.00860856	0.00516211	0.00459318	0.00716368	0.00461216	0.0148793	0.0105703	0.0157816	0.0182419	0.0299086	0.0226857	0.0363341	0.0318606	0.0364394	0.0374124	0.0277272	0.0291125	0.0427593	0.0367348	0.0310964	0.029381	0.029573	0.031902	0.0226472	0.0178197	0.0228206	0.020143	0.0119084	0.0166186	0.0225501	0.016655	0.0143147	0.022872	0.0425979
chez	0.0242066	0.0292913	0.034081	0.035635	0.034433	0.0218399	0.0190251	0.0136991	0.0130368	0.0109109	0.0116027	0.00949975	0.0129515	0.0118409	0.0196714	0.00940286	0.0265752	0.0171718	0.0417794	0.0477775	0.0414789	0.0912263	0.0540423	0.0341136	0.0301027	0.0181351	0.0160245	0.0196582	0.0165288	0.0125871	0.00678875	0.0137005	0.00938701	0.022684	0.00530563	0.017095	0.00709051	0.00930291	0.0184741	0.0151676	0.021124	0.0176661	0.0578848
apendi	0.0360352	0.0299456	0.0337642	0.0330822	0.0251311	0.0217836	0.0132407	0.0102648	0.0114547	0.0120538	0.0104084	0.0090488	0.0117123	0.014036	0.0271944	0.0146683	0.0296501	0.0165614	0.0433568	0.0259667	0.0466128	0.0495417	0.0398565	0.0366364	0.0308462	0.0241293	0.0249355	0.0273089	0.0266082	0.032231	0.0160355	0.0229564	0.0129818	0.0232592	0.00362258	0.0143153	0.00630028	0.00836615	0.0144354	0.0152575	0.0195018	0.0150658	0.0598363
</S>	0.0877331	0.0569666	0.051046	0.0315956	0.0220587	0.0159622	0.0117259	0.0076068	0.00834912	0.00447031	0.00343494	0.0087377	0.00917446	0.0104346	0.0137667	0.0119022	0.0142267	0.0258276	0.0480068	0.0210478	0.040166	0.0225311	0.0235675	0.0301695	0.0200928	0.0256957	0.0216166	0.0240591	0.0260847	0.019594	0.016287	0.0275631	0.0207815	0.0239075	0.00797225	0.017008	0.00639571	0.0101158	0.0195741	0.0142166	0.0157113	0.0225694	0.0802469
