 	n	d	é	e	y	é	é	d	i	i	k	ú	m	ú	l	ú	i	y	í	í	</S>
il	0.0300337	0.0488888	0.0658024	0.046846	0.0554291	0.0316963	0.0617901	0.0662011	0.0517737	0.116139	0.0857378	0.0676602	0.0621332	0.0496719	0.0266263	0.0215456	0.019828	0.0202225	0.0200646	0.0257088	0.0262005
y	0.231544	0.168179	0.129258	0.0272881	0.0270926	0.0202338	0.0341705	0.0330182	0.0324071	0.0298449	0.0291052	0.0223843	0.0237599	0.0242626	0.0296201	0.0409168	0.027275	0.0145996	0.0143452	0.0176953	0.0229991
a	0.104406	0.0752742	0.0501689	0.0171111	0.020419	0.00875759	0.00804043	0.0103604	0.0215195	0.0582059	0.110979	0.143705	0.122529	0.0604142	0.0542166	0.0327764	0.0257196	0.0183208	0.0209265	0.017611	0.0185388
plusieurs	0.0261118	0.0222571	0.021387	0.0165625	0.0127847	0.017836	0.0228762	0.0186609	0.03602	0.0473577	0.0827168	0.153958	0.225642	0.125543	0.0627751	0.034128	0.0186756	0.0157013	0.0128233	0.0123157	0.0138674
manières	0.0269904	0.0228451	0.0273023	0.0241194	0.0288758	0.0198423	0.0254852	0.0359455	0.0687757	0.101858	0.192978	0.114087	0.0747237	0.0619928	0.0425214	0.0327525	0.0263594	0.027728	0.0218721	0.0089256	0.0140201
d'	0.0448295	0.0434998	0.0366581	0.0421871	0.0530728	0.0407559	0.0237182	0.0190647	0.0480896	0.0460406	0.0277343	0.0336877	0.0396226	0.0312945	0.0538661	0.0553625	0.0620358	0.0709366	0.0717932	0.0482528	0.107498
ouvrir	0.215951	0.0939604	0.03327	0.037542	0.0448024	0.065825	0.0856966	0.08104	0.0513836	0.0251723	0.0368237	0.0145878	0.0103111	0.0105251	0.0156492	0.0124434	0.00981043	0.0154442	0.0232598	0.0169051	0.099597
cette	0.0774038	0.0514939	0.0414628	0.0441987	0.0292494	0.013627	0.0167386	0.0164869	0.0194794	0.0408336	0.024331	0.0353578	0.0436051	0.0226795	0.0594431	0.0598952	0.0764731	0.0553317	0.0699441	0.0248662	0.177099
maison	0.067829	0.0591966	0.0568291	0.0469303	0.0234665	0.0231884	0.0190694	0.0217573	0.0126665	0.0131088	0.020559	0.0212252	0.0365198	0.0335246	0.0395366	0.037187	0.0363926	0.0604827	0.0903358	0.0926072	0.187587
</S>	0.142546	0.112175	0.0720732	0.0567319	0.0219814	0.0105162	0.00990451	0.00827095	0.00541129	0.00830059	0.00906452	0.00916362	0.00998253	0.00874381	0.022107	0.0221422	0.0254327	0.0421322	0.0874055	0.0797818	0.236133
