 	w	á	á	m	w	á	n	a	a	p	é	s	í	n	í	k	á	a	l	ó	o	s	é	s	a	a	</S>
si	0.0678896	0.0972062	0.0915418	0.100113	0.0349191	0.0104927	0.0120274	0.0134266	0.0147069	0.0254346	0.0271176	0.0381387	0.061051	0.0548631	0.050001	0.0423212	0.0274305	0.0261891	0.0278395	0.025801	0.0276578	0.0278224	0.0249648	0.0221798	0.0215546	0.0158175	0.0114921
l'	0.0235248	0.023514	0.0340456	0.025705	0.061172	0.0712371	0.0392941	0.086835	0.0350972	0.0272593	0.0249118	0.0264656	0.0349236	0.058469	0.0503038	0.0555194	0.0518702	0.0459045	0.0515264	0.0330633	0.0444999	0.0282141	0.0190024	0.00866761	0.0116865	0.00579661	0.0214911
enfant	0.0238094	0.0224634	0.0505473	0.0445863	0.0266634	0.0166805	0.0268234	0.0293374	0.0455261	0.0417851	0.067463	0.0314022	0.100328	0.0487631	0.0679644	0.0509792	0.0463546	0.0240522	0.0178676	0.0235403	0.0284652	0.031378	0.0276713	0.0291027	0.0338478	0.0185631	0.0240356
fait	0.0240241	0.0230395	0.0180503	0.0153404	0.0232306	0.0110851	0.00784489	0.0104571	0.00969488	0.0141633	0.0159937	0.016406	0.0305784	0.0688787	0.085431	0.0675347	0.0659865	0.0261947	0.0413168	0.0413367	0.0526341	0.0499314	0.0819856	0.0421066	0.029641	0.038696	0.088418
des	0.00938154	0.0116715	0.00834404	0.012281	0.0182986	0.012237	0.0100996	0.0146839	0.0137446	0.0206523	0.0273916	0.0302292	0.0466755	0.0465318	0.0444026	0.0496093	0.0474861	0.0417908	0.0444056	0.0425883	0.0522962	0.0446294	0.0557044	0.0631292	0.0469175	0.0665671	0.118251
bêtises	0.0148544	0.0138616	0.0117681	0.0124316	0.0144122	0.0144105	0.0153489	0.0224192	0.0172037	0.0268036	0.0263273	0.0236944	0.0276913	0.0270873	0.0243734	0.025478	0.0274843	0.0291576	0.0296877	0.0648711	0.122341	0.0703704	0.0618436	0.0608311	0.0478063	0.0621261	0.105315
il	0.0146832	0.0147655	0.0131362	0.0142833	0.0151353	0.01631	0.0170823	0.0255691	0.0219951	0.030359	0.025922	0.026192	0.0232729	0.0209523	0.0249949	0.0182225	0.0257706	0.0279473	0.0361413	0.0617515	0.127628	0.0489127	0.0508215	0.0579157	0.052988	0.0640951	0.123153
faut	0.0260347	0.025982	0.0227725	0.0273684	0.0253616	0.018223	0.0157432	0.0166368	0.0150864	0.0202055	0.0206821	0.0190391	0.0168455	0.0162089	0.0158681	0.0174931	0.0245756	0.0214197	0.0327688	0.0521268	0.0677728	0.0627196	0.0722169	0.0785319	0.0804823	0.082374	0.105461
le	0.0405834	0.0286445	0.0255688	0.0423166	0.0420321	0.0177326	0.0140207	0.0130057	0.0075958	0.00906138	0.00829936	0.00759041	0.0116426	0.0155893	0.018091	0.0225109	0.030629	0.0273779	0.0396271	0.0425849	0.0449048	0.0507008	0.0771988	0.0906545	0.0665324	0.0999824	0.105522
redresser	0.0235505	0.017587	0.0175919	0.0217238	0.0176814	0.00659963	0.00828631	0.00907455	0.00973395	0.0104427	0.0118351	0.00896833	0.0230094	0.0323296	0.0291442	0.0453593	0.0584453	0.0566968	0.0710507	0.0741668	0.0747602	0.073965	0.0711742	0.0461753	0.0393429	0.0671649	0.0741403
</S>	0.0279814	0.0173383	0.0171287	0.0276148	0.0277109	0.0185802	0.0177247	0.0146884	0.0110734	0.0135226	0.010774	0.011403	0.0175385	0.0210841	0.0305373	0.0332952	0.0408008	0.030217	0.0336837	0.040723	0.0631731	0.0651802	0.0821937	0.0723382	0.0634618	0.0640827	0.12615
