 	i	k	ώ	ώ	b	í	í	l	á	m	b	í	n	y	é	e	b	h	í	l	a	p	ó	a	í	m	i	s	á	á	o	b	h	á	m	i	n	a	</S>
le	0.0228696	0.0344996	0.0189608	0.0176886	0.0298584	0.0262537	0.0257332	0.0264113	0.0216722	0.0253752	0.0250103	0.0288985	0.0494291	0.0741576	0.073969	0.0585438	0.0343393	0.0232495	0.0196551	0.0116489	0.010568	0.00782679	0.00975337	0.010268	0.00790388	0.0104908	0.0179021	0.0173745	0.0243873	0.0271271	0.0321224	0.0153766	0.0234647	0.0234429	0.0280796	0.03119	0.0174868	0.0231944	0.0138172
manioc	0.0620184	0.0534443	0.0399963	0.066161	0.0591024	0.0366949	0.0298817	0.0418595	0.0183329	0.0334285	0.0125843	0.0126094	0.0101069	0.00976406	0.00736288	0.0115689	0.0136332	0.0206448	0.043884	0.0221257	0.015169	0.0229609	0.0110121	0.0340192	0.0226306	0.03571	0.0217337	0.0145469	0.0569035	0.0282439	0.0367201	0.0291601	0.0210386	0.016237	0.0087052	0.0106651	0.00536883	0.0026494	0.0013216
que	0.0423629	0.0242824	0.0145959	0.0112387	0.00681891	0.00995693	0.00940333	0.0238751	0.0100273	0.00941696	0.0144939	0.0218243	0.0143356	0.00931223	0.0108697	0.0125249	0.0117604	0.0142449	0.0320402	0.0366888	0.0245832	0.0318629	0.025886	0.0213712	0.0376229	0.0404107	0.0680898	0.0643579	0.0528746	0.050516	0.0327159	0.0360666	0.0379451	0.0255785	0.0417389	0.028426	0.021632	0.0140327	0.00421566
nyebhi	0.00846311	0.016154	0.0293347	0.0321766	0.0156098	0.0196916	0.0138695	0.013871	0.0165953	0.0295763	0.0333391	0.0284016	0.0270886	0.0238295	0.027736	0.0329652	0.0441615	0.0412369	0.0562227	0.0754558	0.0490447	0.0647674	0.0335681	0.0258178	0.0460122	0.0300315	0.0233677	0.0161442	0.0104995	0.00937259	0.00547323	0.00705573	0.00722856	0.00847183	0.00743591	0.00763838	0.0190141	0.0210319	0.0222458
a	0.0242606	0.0322558	0.0374488	0.0365551	0.0367116	0.0333468	0.0275321	0.0296075	0.0219963	0.0248344	0.0246177	0.0235466	0.0166134	0.0123013	0.00948559	0.00916854	0.00930961	0.0138668	0.0227105	0.0374335	0.0400805	0.0472222	0.046201	0.0353179	0.0484136	0.0387304	0.0276268	0.022455	0.0153018	0.013447	0.00936437	0.017364	0.0144564	0.0167371	0.0145669	0.0109378	0.0216859	0.0235931	0.0528958
préparé	0.0259677	0.0213886	0.0207893	0.0190135	0.0161012	0.0167458	0.0179079	0.0217855	0.0217088	0.0209617	0.017587	0.0130759	0.010062	0.00827913	0.00746333	0.0071146	0.00746595	0.0105559	0.00839472	0.0147221	0.0188926	0.0290744	0.022231	0.0225185	0.0269935	0.0246836	0.0236372	0.0231846	0.0325538	0.0239012	0.029413	0.0468946	0.0446422	0.0448232	0.0422335	0.0425413	0.0468436	0.0560863	0.0917616
hier	0.0180778	0.0128383	0.0141767	0.0154263	0.0239989	0.0151735	0.0213143	0.0186454	0.0192176	0.0155133	0.0115183	0.00938232	0.00669543	0.00873292	0.00813945	0.00615477	0.00580992	0.00802359	0.0092993	0.0172303	0.0275843	0.0447662	0.0335509	0.0310635	0.0377991	0.0299286	0.0270351	0.0249058	0.0280894	0.0224072	0.0194352	0.0430545	0.0386277	0.0372106	0.0475279	0.0330735	0.0520907	0.0556295	0.100852
s'	0.032149	0.0232648	0.0256188	0.030209	0.0316609	0.0266391	0.0235691	0.0179317	0.0156861	0.013052	0.0142874	0.0141655	0.0142607	0.0140002	0.0141034	0.0146294	0.0157534	0.0171218	0.0204176	0.0184812	0.019873	0.02802	0.0201712	0.0245699	0.0264516	0.0246722	0.0177596	0.0236483	0.033917	0.0298878	0.0192242	0.0379525	0.028402	0.0278373	0.0249429	0.020826	0.0407801	0.0521501	0.101913
est	0.0781075	0.0512475	0.0364449	0.0287714	0.0128951	0.00652522	0.00426494	0.00359903	0.00387147	0.00440839	0.00374757	0.00291398	0.0040591	0.0052374	0.0090811	0.0153866	0.0246399	0.0348607	0.055322	0.058299	0.0494784	0.0525666	0.0350074	0.0411116	0.0428905	0.0387518	0.0241509	0.0192111	0.0195615	0.0171909	0.00792114	0.0128633	0.0131831	0.0291537	0.0166168	0.0298076	0.0214438	0.0330359	0.0523713
déjà	0.0541841	0.0390767	0.0288303	0.0182598	0.00692504	0.00458925	0.00357508	0.00242651	0.00346469	0.00283912	0.00390104	0.00328312	0.00438221	0.00541175	0.00806182	0.0106536	0.0200273	0.0278486	0.0387466	0.0469897	0.0477497	0.0480346	0.0419838	0.0389569	0.047052	0.0427355	0.0296496	0.0257194	0.0178915	0.0187926	0.0100049	0.0148662	0.0174879	0.0360538	0.0218107	0.0254913	0.0446325	0.0513437	0.0862668
