 	d	z	á	n	g	a	l	á	m	w	ε	n	έ	á	t	s	a	l	i	p	á	b	h	a	y	é	</S>
le	0.0151786	0.00820416	0.0345068	0.0267107	0.0605768	0.0536092	0.0719995	0.0396491	0.0276162	0.0373664	0.0423734	0.0417855	0.0241171	0.0327804	0.0249644	0.0480072	0.0485385	0.0476143	0.0552445	0.0426076	0.0394611	0.0378867	0.0369236	0.0360444	0.0237102	0.0251913	0.0173324
deuil	0.117584	0.08521	0.080965	0.0864474	0.118656	0.163338	0.0540598	0.0386195	0.0124149	0.0205236	0.0293104	0.065391	0.0373755	0.0143035	0.0169574	0.00752464	0.0203836	0.00504443	0.00309663	0.00216526	0.00454897	0.00285183	0.00425195	0.00409301	0.00174626	0.00190644	0.00123062
du	0.0413006	0.0610964	0.0247482	0.0346475	0.0230554	0.030935	0.0350816	0.0706186	0.0733592	0.125465	0.0402812	0.0434479	0.0193402	0.00949865	0.0100494	0.0145397	0.027188	0.0240712	0.021625	0.0249353	0.0311533	0.0277229	0.0371195	0.0481921	0.0428959	0.0408306	0.0168015
chef	0.0641276	0.073245	0.0505982	0.0420776	0.0305943	0.0331024	0.019917	0.0324529	0.0327464	0.0688382	0.0598731	0.0768508	0.0412282	0.0332403	0.0383372	0.0470959	0.0427198	0.031646	0.0286659	0.0156161	0.00960583	0.00886485	0.0141831	0.012482	0.0129494	0.0163469	0.0625947
coutumier	0.0223067	0.0302499	0.0330248	0.0362058	0.0249531	0.0262913	0.0336917	0.0432024	0.0471727	0.0674837	0.0787886	0.091107	0.0673852	0.0315165	0.0276547	0.0238884	0.0336675	0.0191347	0.0146802	0.0150075	0.0134334	0.0163661	0.016495	0.0249769	0.0231692	0.0352801	0.102867
a	0.0332212	0.0371686	0.0307774	0.0267324	0.0249032	0.019516	0.0206861	0.0222389	0.0231991	0.0356116	0.0369255	0.0488232	0.0351447	0.0376533	0.0439135	0.0232681	0.0212466	0.0148919	0.0100459	0.0130708	0.0119255	0.0251104	0.0283879	0.0488195	0.0694498	0.0954115	0.161857
été	0.041395	0.0290116	0.0238254	0.0203016	0.0197845	0.0168774	0.0183269	0.0220189	0.0304796	0.0417656	0.0475985	0.0447012	0.0320697	0.0343189	0.0396267	0.0284827	0.0296208	0.0286504	0.0345678	0.0464569	0.0424366	0.0308078	0.0400994	0.0368146	0.0453334	0.0594564	0.115172
rétiré	0.0561546	0.0363902	0.0310041	0.0295369	0.0288802	0.0243699	0.0251641	0.0155236	0.0159143	0.0156896	0.0169489	0.020414	0.0218407	0.0230777	0.0224839	0.0228087	0.0150398	0.0194256	0.0280904	0.0347478	0.0687601	0.0257308	0.0673612	0.0517929	0.0738429	0.0918745	0.117133
aujourd'	0.029844	0.0191591	0.0168052	0.0163793	0.0157341	0.013782	0.0153356	0.0165655	0.0176563	0.0187753	0.0199949	0.0255615	0.0270311	0.0315429	0.0325706	0.0245158	0.0148964	0.0172136	0.026425	0.0365871	0.0578797	0.0571515	0.0718549	0.0633923	0.0895701	0.0857436	0.138032
hui	0.0555543	0.0419067	0.0344095	0.0312406	0.0264944	0.0206606	0.0196993	0.0112823	0.0101325	0.011297	0.010028	0.0109542	0.00751213	0.00844696	0.00927479	0.0110263	0.00842604	0.00996535	0.014016	0.0230037	0.0452578	0.0498172	0.0740994	0.0904392	0.110691	0.109038	0.145327
</S>	0.0371191	0.0384376	0.03311	0.0307617	0.0280646	0.0257657	0.0263922	0.0219913	0.0196177	0.0218223	0.0194543	0.0223867	0.0122325	0.0122154	0.016023	0.011039	0.0114943	0.0108492	0.014378	0.0275581	0.0326662	0.0565716	0.0604183	0.0792383	0.0909887	0.103702	0.135703
