 	m	w	á	s	í	y	a	n	g	ó	l	ó	m	i	á	b	h	i	á	l	a	w	á	m	b	a	n	d	a	</S>
la	0.00470019	0.0152753	0.0144421	0.00363314	0.00409041	0.00849972	0.0147779	0.0241057	0.0210228	0.0382767	0.0491491	0.0761958	0.057561	0.0610277	0.0535848	0.0652757	0.0484234	0.0368073	0.0521458	0.0615803	0.031537	0.0288501	0.0360654	0.0246744	0.0221215	0.0245074	0.0288268	0.0391743	0.0346055	0.0190631
femme	0.0537221	0.197367	0.30235	0.0493488	0.100426	0.047212	0.0364141	0.0174855	0.0111667	0.0104685	0.00424786	0.00219375	0.000972404	0.00189034	0.00131632	0.00550755	0.00946317	0.0133871	0.0089522	0.00817243	0.00552777	0.00640533	0.0263031	0.0140912	0.0221266	0.0136592	0.0179459	0.0061666	0.00391243	0.00179839
de	0.026648	0.0412154	0.0594774	0.0502472	0.0558031	0.0525582	0.0302977	0.045886	0.0329743	0.040898	0.0307264	0.0263474	0.0124292	0.0239846	0.022753	0.0281806	0.0309226	0.0547564	0.0408046	0.037743	0.0308221	0.0446075	0.0460178	0.0283078	0.0194146	0.0214689	0.0195679	0.015281	0.0189021	0.010957
son	0.0239813	0.00934882	0.0146848	0.0167705	0.0198065	0.0248014	0.0168281	0.0188942	0.0295236	0.0470557	0.0557147	0.0675853	0.028229	0.0410354	0.0542807	0.048366	0.0593198	0.0569967	0.0263149	0.0404657	0.0326352	0.0182983	0.0361	0.021968	0.0323299	0.0250051	0.0242646	0.0237912	0.0341906	0.0514139
oncle	0.0445153	0.0202296	0.0228436	0.0231001	0.0420535	0.0306711	0.0257636	0.0242161	0.0289955	0.0485869	0.0304061	0.0318559	0.0181854	0.0263419	0.04718	0.0377309	0.0502899	0.048293	0.0476612	0.0376948	0.0286637	0.0176864	0.02761	0.027569	0.0326547	0.0342523	0.03405	0.0344194	0.0365017	0.0399783
est	0.0786511	0.0339402	0.026861	0.0323396	0.0553837	0.028221	0.0382483	0.0248563	0.0552877	0.0330849	0.0436572	0.035253	0.0294692	0.0232869	0.0473127	0.0306233	0.045097	0.0326893	0.0324791	0.0270637	0.0384734	0.0202024	0.0153663	0.0115575	0.0157475	0.0158678	0.0206076	0.0263057	0.0291415	0.052925
devenue	0.0355099	0.0316551	0.0309579	0.0162532	0.0289209	0.0243071	0.027235	0.0268388	0.03365	0.0256968	0.0335729	0.0290773	0.0357832	0.033475	0.0490175	0.0364208	0.0247431	0.0115672	0.00748997	0.00706832	0.00831393	0.0172256	0.0196995	0.0213688	0.0308062	0.0452204	0.066746	0.0527486	0.0680145	0.120617
pour	0.0511667	0.0281674	0.0312821	0.0296546	0.0349862	0.0271334	0.0214535	0.0199441	0.0268059	0.0255315	0.0278725	0.0311008	0.0262893	0.0216899	0.0228576	0.0220511	0.0253208	0.023137	0.00795039	0.00873632	0.00916779	0.0168255	0.0248528	0.0238655	0.0433534	0.0516793	0.0559353	0.0592122	0.0763045	0.125673
elle	0.112426	0.0583017	0.0710401	0.0430923	0.047888	0.0192509	0.0112081	0.00571433	0.00592828	0.00754494	0.0056918	0.00466341	0.00359114	0.00351643	0.00568552	0.00494268	0.0105009	0.0199555	0.0107118	0.0116699	0.0178217	0.0143901	0.0305251	0.0290187	0.0640803	0.0878808	0.0814824	0.0618359	0.074481	0.0751605
une	0.136448	0.109852	0.116396	0.0459832	0.0497651	0.0263172	0.0174076	0.0112061	0.0103003	0.01186	0.0122334	0.00943142	0.0126989	0.00902457	0.0111946	0.0111791	0.0127961	0.0127441	0.00653742	0.0115167	0.00651074	0.00592578	0.0146035	0.017463	0.0338662	0.038471	0.0431863	0.0423564	0.0504514	0.102273
rivale	0.0575443	0.0739781	0.0672073	0.0442866	0.0394001	0.0289244	0.02609	0.0203783	0.0176043	0.0213622	0.0214307	0.0175384	0.0205507	0.0161847	0.0173482	0.0182777	0.0183643	0.0174269	0.011795	0.0170565	0.00950178	0.0084013	0.00894372	0.00921586	0.0180904	0.0290443	0.0476484	0.0564212	0.0646354	0.175349
</S>	0.159555	0.0395937	0.0471683	0.0782818	0.0640464	0.0836438	0.056623	0.0517898	0.0274031	0.0223591	0.0149339	0.0151146	0.00853853	0.00967034	0.0144932	0.0120479	0.0150928	0.00843244	0.00387292	0.00648399	0.00647854	0.00876047	0.0169513	0.0113088	0.0267783	0.0201632	0.032218	0.0445265	0.0325503	0.0611201
