 	o	l	a	b	h	a	a	m	á	l	e	k	ó	n	y	i	m	ó	ó	y	ε	í	l	a	n	y	a	s	ώ	n	i	ó	d	í	l	a	l	o	l	o	n	g	o	</S>
ce	0.0071862	0.016054	0.0144453	0.0177962	0.0162257	0.0112695	0.0140421	0.022692	0.0395461	0.0542744	0.0410061	0.0740698	0.0567506	0.06501	0.045818	0.0374974	0.0254861	0.0138582	0.0125245	0.0103857	0.0100095	0.00843737	0.0140322	0.015511	0.0231613	0.0157184	0.0160004	0.0115376	0.00963356	0.0101293	0.00990536	0.0102978	0.0139906	0.0181804	0.0265083	0.0216909	0.0227306	0.0199055	0.0249454	0.0215934	0.0233391	0.0215903	0.0153426	0.0198713
long	0.0113853	0.0291328	0.0516992	0.0490424	0.0325655	0.0338598	0.0685637	0.0820686	0.0819139	0.0901261	0.0761668	0.0703008	0.0506959	0.0476555	0.0545365	0.0182649	0.00490949	0.00546759	0.00276007	0.00448863	0.00273042	0.00381139	0.00155894	0.0028923	0.00434686	0.0048114	0.0025459	0.00443324	0.00602218	0.0080698	0.00420366	0.00699666	0.0023394	0.00325903	0.00364547	0.00429498	0.00625606	0.0134751	0.006916	0.0156161	0.0105878	0.0109482	0.00369149	0.00094412
fagot	0.0149172	0.0150343	0.0151211	0.0206987	0.0144834	0.0226011	0.0272841	0.0167167	0.0185968	0.0143229	0.0102924	0.00951089	0.00881886	0.00995957	0.0154305	0.0138351	0.0137421	0.0130684	0.0121069	0.0226587	0.0172426	0.0310462	0.0259037	0.0548903	0.0279563	0.0421331	0.0188572	0.0204864	0.0180696	0.0315423	0.0223093	0.0255662	0.0349313	0.0250204	0.0482791	0.0453911	0.0561656	0.0389869	0.0322431	0.0281234	0.0178994	0.0129644	0.00954469	0.00524756
de	0.0150941	0.0156885	0.0201356	0.022313	0.0152897	0.0148949	0.0159245	0.00921022	0.00937595	0.0138218	0.0135357	0.0229337	0.022118	0.0199379	0.0175173	0.0239869	0.0228838	0.0308535	0.0282992	0.0272167	0.0235709	0.0285749	0.0294501	0.0269765	0.0240802	0.0273882	0.0257033	0.0244889	0.0235991	0.0274953	0.0421813	0.0244867	0.0242232	0.0252477	0.0161473	0.0131148	0.0145584	0.0188209	0.0188648	0.0132581	0.0179564	0.0279802	0.0462194	0.0545821
bois	0.0167142	0.0308255	0.0349883	0.031505	0.026227	0.0216713	0.0220661	0.0167793	0.0149017	0.0166075	0.0113882	0.0144086	0.0140183	0.0147535	0.0148536	0.0158049	0.0146028	0.0206086	0.0233569	0.020488	0.0232188	0.0314041	0.0320331	0.0326302	0.0283276	0.0255069	0.0126659	0.0171794	0.0223343	0.0310914	0.0258073	0.019041	0.0178491	0.0149731	0.0144747	0.0131792	0.0127308	0.0213077	0.0234936	0.0333273	0.0333471	0.0350225	0.0314228	0.0510622
que	0.00827001	0.0119754	0.0121419	0.0126253	0.0112511	0.00911478	0.0107303	0.0102229	0.0112932	0.0141345	0.0126132	0.0118011	0.0107786	0.0141584	0.0110727	0.0149907	0.0169662	0.0265852	0.0308374	0.0423997	0.0311214	0.0377658	0.0413548	0.0418667	0.0393756	0.0378306	0.033879	0.0411879	0.0403303	0.0446002	0.0365049	0.0285666	0.0113003	0.0103506	0.0103201	0.0102804	0.0124234	0.0200766	0.0161066	0.0213295	0.0231449	0.0316813	0.0303908	0.0442493
nyasoni	0.00830319	0.00847796	0.0118365	0.0142654	0.0136125	0.0191934	0.0206709	0.0211689	0.0277526	0.0227995	0.0250149	0.0187581	0.0191853	0.0164918	0.0153529	0.0161942	0.0205121	0.0257681	0.0350814	0.0363747	0.0404235	0.036343	0.0388713	0.0449534	0.0261013	0.033071	0.0368051	0.0374314	0.0397955	0.0459914	0.0325752	0.0229233	0.0142435	0.0145568	0.010095	0.00882638	0.0103529	0.0135354	0.00768414	0.0112533	0.0112963	0.0130154	0.0160483	0.0369932
a	0.0184283	0.0146178	0.01217	0.0121174	0.0109104	0.00946866	0.00811845	0.00507513	0.0061747	0.00515954	0.00605793	0.00488497	0.00551403	0.00651835	0.00559149	0.00849669	0.0190162	0.0261703	0.0341799	0.0323883	0.0357196	0.039929	0.042382	0.0418348	0.0347958	0.0326654	0.0404001	0.0576286	0.0472619	0.048406	0.0388613	0.0319461	0.0202402	0.0225055	0.0181976	0.0166746	0.0170018	0.0212401	0.0183555	0.0175702	0.0200665	0.0219073	0.0244575	0.038894
apporté	0.064028	0.0338917	0.0132386	0.00820113	0.00674788	0.00389051	0.00431421	0.00637064	0.00945757	0.00987357	0.0114178	0.0149863	0.024985	0.0445537	0.0542949	0.0589497	0.0346046	0.0320682	0.0257664	0.0214163	0.0220137	0.022557	0.024454	0.0200836	0.0216314	0.0165156	0.0185749	0.0233828	0.0240868	0.02129	0.0183738	0.0168221	0.0115164	0.013411	0.0134615	0.0120793	0.0130577	0.0186542	0.0244107	0.0228157	0.031595	0.0375644	0.025348	0.0432436
contient	0.0541868	0.02341	0.0183168	0.0129215	0.00977292	0.0107131	0.0084839	0.00476472	0.00335702	0.00577069	0.00387181	0.00628867	0.00479822	0.00603461	0.00495169	0.00743836	0.0161105	0.0212103	0.0252942	0.0254834	0.0259206	0.0320919	0.0321134	0.0353728	0.0350044	0.0400166	0.0384836	0.0451126	0.0394869	0.0454411	0.049359	0.0302177	0.0279862	0.0214181	0.0192885	0.0138555	0.0116219	0.0183518	0.0201876	0.0146393	0.0191149	0.0253856	0.0306909	0.0556601
