 	i	k	ώ	ώ	b	í	í	y	í	í	n	ω	ó	m	í	á	í	m	i	s	á	á	o	l	e	a	</S>
le	0.0347394	0.0264499	0.0180381	0.0228342	0.0206782	0.0238745	0.0382777	0.0432381	0.0604252	0.0562996	0.0382243	0.0319012	0.0306803	0.0254924	0.0475896	0.0603925	0.0467469	0.0370466	0.0374491	0.0320346	0.0604856	0.0438991	0.0376899	0.0381066	0.03136	0.0305623	0.0254838
manioc	0.04392	0.0374184	0.087061	0.118945	0.0709196	0.0258995	0.022167	0.0153281	0.0241637	0.0144011	0.00979247	0.00489516	0.00511803	0.00480998	0.00799725	0.0183859	0.0257949	0.0789931	0.142616	0.0805209	0.0763368	0.0344728	0.0268636	0.0104001	0.00746287	0.00290993	0.00240627
que	0.0685876	0.0430958	0.0149041	0.0118698	0.00955043	0.0149713	0.00665643	0.00737176	0.00841064	0.0085432	0.0121109	0.0190389	0.0368497	0.017506	0.031462	0.0205265	0.0224081	0.0445433	0.149937	0.0900837	0.142708	0.107555	0.0363892	0.0286598	0.0198067	0.0181571	0.00829742
tu	0.0449785	0.0993673	0.0702834	0.0454431	0.0250003	0.0260452	0.0183595	0.0343761	0.026986	0.0370929	0.0593585	0.0856206	0.0445408	0.0227849	0.0161759	0.00954286	0.00978397	0.0162981	0.0107262	0.0133692	0.0101105	0.0208042	0.0177595	0.0315723	0.0449182	0.0558652	0.102837
as	0.0385088	0.0319799	0.0538552	0.0301182	0.028593	0.0444671	0.0599509	0.0449468	0.0636799	0.0788134	0.0683321	0.0509209	0.0181454	0.0142759	0.0236523	0.0208713	0.0134088	0.0112981	0.0205057	0.0243018	0.0208035	0.0146711	0.0118385	0.0196077	0.0261945	0.0246546	0.141604
abondonné	0.0601603	0.0601444	0.0806912	0.051999	0.0453749	0.0589336	0.0875646	0.0427387	0.0312394	0.025034	0.00597464	0.00175981	0.00140843	0.00135546	0.0018844	0.00899466	0.00888279	0.0172795	0.0373935	0.0369078	0.0246299	0.0315041	0.0314565	0.0405307	0.0432702	0.0307834	0.132104
au	0.0526919	0.0333684	0.0319495	0.0248834	0.0213044	0.0169691	0.0207509	0.0139512	0.0169777	0.0152265	0.00911437	0.00861156	0.00796332	0.00881939	0.0225631	0.0278878	0.0194886	0.0246386	0.0315297	0.0541977	0.0302806	0.034453	0.0475542	0.0726074	0.0782071	0.106232	0.167779
feu	0.0610379	0.0352372	0.0473927	0.065472	0.0582634	0.0281068	0.040565	0.0153691	0.0143254	0.0111587	0.00440225	0.00237819	0.0016131	0.00131815	0.00136574	0.00466018	0.00425637	0.00940003	0.0264467	0.0465175	0.0184304	0.0296997	0.0464051	0.0570066	0.065134	0.0497524	0.254285
est	0.0734439	0.0456593	0.0440332	0.0479034	0.0408034	0.0343349	0.0370789	0.0283911	0.0281015	0.0253976	0.0246028	0.0158747	0.0119789	0.00859039	0.0148144	0.0199911	0.0114872	0.00899712	0.0114899	0.0239006	0.0104384	0.0273307	0.0395881	0.054634	0.0604771	0.0791668	0.171491
déjà	0.0763975	0.0530526	0.0387487	0.0329746	0.0276016	0.0178773	0.0175229	0.00776305	0.00442407	0.00441728	0.0030625	0.00332331	0.00336502	0.0027034	0.00337417	0.00651906	0.00561056	0.0105728	0.0349601	0.0612061	0.0515721	0.0628265	0.073057	0.0883453	0.0856831	0.0767896	0.14625
trop	0.151793	0.112873	0.0744356	0.0554415	0.0285968	0.0134726	0.0137344	0.0062689	0.00484798	0.00529643	0.00497726	0.00695055	0.00647498	0.00335403	0.00207719	0.00270787	0.00108268	0.00348136	0.00890367	0.0364801	0.0180744	0.028156	0.0405597	0.0532167	0.0720265	0.0800804	0.164636
cuit	0.0868275	0.0653047	0.0480356	0.0453379	0.0301061	0.0192368	0.01709	0.0118069	0.00927669	0.0112803	0.00760216	0.00794997	0.00508364	0.00281001	0.00301872	0.00332447	0.0038469	0.0181216	0.0171671	0.0509399	0.0170232	0.031173	0.0602832	0.0790742	0.0746097	0.0692274	0.204442
</S>	0.0541556	0.0629201	0.0546394	0.0472674	0.0342523	0.0190157	0.0105534	0.00864424	0.00597657	0.00629479	0.00758021	0.00519106	0.00597914	0.00549623	0.00926524	0.0134547	0.0161887	0.019774	0.0219323	0.029625	0.0266581	0.0267665	0.0629636	0.0868233	0.0963243	0.101842	0.160416
