 	a	t	ó	i	á	b	h	i	b	á	a	p	i	i	g	h	á	a	s	w	é	</S>
les	0.141864	0.0482054	0.0292355	0.0180696	0.0195018	0.0148434	0.047256	0.039313	0.0660181	0.0364225	0.0290982	0.043048	0.0276664	0.0257556	0.0328611	0.0407348	0.061162	0.07473	0.0688465	0.0664484	0.0426456	0.0262739
pêcheurs	0.0665354	0.0819653	0.101813	0.1255	0.108176	0.0800335	0.109946	0.0562752	0.0827977	0.0499979	0.0340861	0.0262846	0.0135217	0.00497433	0.00446755	0.00233234	0.00804429	0.011659	0.00928396	0.0074848	0.00948128	0.00534007
sont	0.0710528	0.0623959	0.0647588	0.0642311	0.054745	0.082871	0.0900686	0.089438	0.0663292	0.0617167	0.0583072	0.0439435	0.0320243	0.0275516	0.0201722	0.0131684	0.0222248	0.0185689	0.0162156	0.0124338	0.0125145	0.0152682
en	0.0262617	0.0399604	0.0392833	0.0606466	0.0569906	0.0661216	0.0734532	0.058804	0.0455669	0.0437314	0.04811	0.0449539	0.0542522	0.0673219	0.0524857	0.0260569	0.0319325	0.0316349	0.0347156	0.0335954	0.031356	0.0327653
train	0.0586888	0.0403077	0.0348714	0.0293848	0.0345492	0.036301	0.041949	0.0388793	0.0619768	0.11431	0.0911985	0.0587688	0.0519974	0.0468982	0.0373932	0.0290385	0.0324064	0.0286715	0.0292605	0.0178737	0.0268579	0.0584175
d'	0.0416148	0.0451321	0.0357948	0.0260969	0.0280882	0.0381515	0.0380765	0.0361562	0.0428192	0.0461093	0.0442149	0.0413975	0.0416835	0.0321086	0.0224928	0.0266629	0.0344366	0.0405333	0.056555	0.112673	0.0690489	0.100154
attraper	0.0567487	0.0320166	0.0198972	0.0226848	0.0296178	0.0347607	0.0410479	0.0409832	0.0294277	0.0392247	0.0538922	0.0429358	0.0407879	0.0322933	0.0378132	0.0426069	0.0489472	0.0490808	0.0441187	0.0620319	0.0664543	0.132628
les	0.0389217	0.037333	0.0367019	0.0359637	0.0372111	0.0375099	0.0371569	0.0365847	0.0377134	0.0384931	0.042095	0.0339464	0.0329572	0.031096	0.0361808	0.061681	0.0576508	0.0391846	0.0529295	0.0503995	0.0566705	0.131619
poissons	0.0209747	0.0209634	0.0243479	0.0334155	0.0393339	0.0364536	0.04123	0.0386668	0.0444615	0.0453899	0.0327782	0.0262799	0.0275895	0.0246343	0.0308515	0.0512999	0.0558765	0.0431698	0.0687113	0.0907643	0.0675777	0.13523
</S>	0.0365739	0.0468675	0.0527188	0.0556897	0.0550906	0.0528902	0.050844	0.0440247	0.0484756	0.0455912	0.0366734	0.0294802	0.0253177	0.016074	0.014467	0.0236478	0.0299409	0.0338864	0.0508444	0.0593132	0.0498817	0.141707
