 	e	d	u	u	l	ú	y	é	é	d	u	ú	w	a	n	g	á	é	d	z	e	e	b	é	</S>
la	0.00829122	0.00737128	0.00560178	0.00735155	0.0108234	0.0161939	0.0273959	0.0307858	0.036951	0.0492438	0.0547765	0.0901669	0.0767959	0.0690807	0.075865	0.032076	0.0401661	0.0610901	0.0371307	0.0448536	0.0322049	0.0476527	0.0495611	0.0536811	0.0348891
manière	0.0293085	0.0905653	0.0708334	0.0687712	0.0662043	0.0556441	0.0364141	0.0370417	0.0500415	0.0319324	0.0995165	0.0841853	0.0781949	0.0368129	0.0279985	0.0168735	0.0254722	0.023602	0.0245072	0.0186634	0.015877	0.0050376	0.00230083	0.00207015	0.00213145
dont	0.0942564	0.0355195	0.041716	0.0785312	0.0620595	0.0501866	0.0464906	0.0362159	0.0345807	0.0313031	0.0461225	0.0742623	0.0337595	0.0159046	0.0366671	0.0302149	0.0366835	0.0528972	0.0336699	0.0103544	0.0176753	0.0179681	0.0149109	0.0292849	0.0387653
elle	0.0579272	0.0904958	0.106373	0.0304166	0.0339792	0.037933	0.0606229	0.0285458	0.0307436	0.0327468	0.0426612	0.037198	0.0299843	0.0228388	0.0265049	0.0489161	0.0196397	0.0365128	0.0328223	0.00761494	0.0120432	0.0170185	0.0165195	0.0408853	0.0990568
m'	0.0411882	0.0415272	0.0586003	0.0537087	0.0515568	0.0279433	0.0166067	0.018904	0.0224694	0.0157909	0.0131797	0.0260296	0.0265919	0.0225656	0.0673028	0.082508	0.113096	0.0791909	0.0532389	0.0230574	0.0227451	0.0276303	0.0138486	0.0290863	0.0516338
a	0.0260451	0.0441751	0.0573805	0.077571	0.11877	0.0986744	0.0326554	0.0188736	0.0137299	0.016245	0.0106144	0.0146285	0.0215399	0.0118476	0.0156304	0.014529	0.0410488	0.0739744	0.070617	0.0273582	0.0302702	0.0355371	0.0196061	0.0327828	0.0758957
demandé	0.118917	0.103303	0.135863	0.0883906	0.0769239	0.0450781	0.0264402	0.0148771	0.00962246	0.0117148	0.00626197	0.00515428	0.00756293	0.0077525	0.00755642	0.00640469	0.0161966	0.0273536	0.0247381	0.0231013	0.0275756	0.0250851	0.0286499	0.0537296	0.101747
était	0.0689463	0.0618312	0.0848131	0.0785665	0.0528337	0.0377716	0.0231029	0.015069	0.00753051	0.00571974	0.00454798	0.00408455	0.00469601	0.00165757	0.00285509	0.00198255	0.0112323	0.0178061	0.0275234	0.0634885	0.0632029	0.0573872	0.0697127	0.0746142	0.159024
mauvaise	0.0445726	0.073694	0.112373	0.0799727	0.0603657	0.0440119	0.0301513	0.0185952	0.0114226	0.00746435	0.00411857	0.00263333	0.00175527	0.00151733	0.00151934	0.000959284	0.0072934	0.0178776	0.026545	0.055849	0.0631924	0.0667972	0.077539	0.0758657	0.113915
</S>	0.0328942	0.0700081	0.0744209	0.0460751	0.0416731	0.0350405	0.0253639	0.0167665	0.0152344	0.0112574	0.00760384	0.00380987	0.0026846	0.0047894	0.00468179	0.00190728	0.0158736	0.0322364	0.0360806	0.0462215	0.0385564	0.056728	0.0864796	0.0795075	0.214106
