 	i	y	a	n	g	a	í	m	o	t	ó	á	m	ó	k	i	a	</S>
le	0.122681	0.0981191	0.084479	0.0539792	0.0543059	0.0588467	0.0350558	0.054674	0.0476912	0.0442071	0.0318679	0.0325073	0.0380507	0.040639	0.0942559	0.0424312	0.0342588	0.0319498
poisson	0.0702254	0.0798124	0.104819	0.106905	0.111878	0.277205	0.115309	0.0464374	0.0298906	0.0138061	0.0136703	0.0175583	0.00272089	0.00297048	0.00184309	0.00270655	0.00140391	0.00083769
en	0.0275233	0.0346594	0.0550088	0.0343412	0.0536514	0.0559618	0.106282	0.0482895	0.0596171	0.0758111	0.0884531	0.0960431	0.0883473	0.0539664	0.0597607	0.0378326	0.0153015	0.00914965
forme	0.0578815	0.0757761	0.173488	0.120404	0.106746	0.0787316	0.0445405	0.0115814	0.0238269	0.0344265	0.0641837	0.0582779	0.0240668	0.0217872	0.0219189	0.021859	0.0155264	0.0449782
de	0.0743895	0.0451422	0.0639143	0.101123	0.0530924	0.0267191	0.02521	0.0246972	0.0237883	0.0434863	0.0508798	0.0895342	0.0714324	0.0427269	0.0484242	0.0547036	0.068393	0.0923437
carpe	0.0272777	0.0270051	0.0214305	0.0344507	0.0361828	0.03334	0.0299002	0.0216815	0.0202	0.0249139	0.0367098	0.0571241	0.0758523	0.0672126	0.080351	0.106433	0.100355	0.19958
est	0.0646077	0.0430898	0.0369996	0.0392054	0.0299383	0.0281488	0.0263927	0.0219818	0.0212154	0.0206845	0.0347877	0.0481542	0.0783749	0.0760087	0.103926	0.108711	0.0760203	0.141753
pris	0.121082	0.0781396	0.0605211	0.0556547	0.0518391	0.0377089	0.0166798	0.00726528	0.00951992	0.0132862	0.0243138	0.0542547	0.0648574	0.0648639	0.0441245	0.0678564	0.0775337	0.150499
au	0.148297	0.0964776	0.0821582	0.0710882	0.0268617	0.0161465	0.00685724	0.00517326	0.00712004	0.00706547	0.00985751	0.0207048	0.0554317	0.0533641	0.0583856	0.0820654	0.0524129	0.200532
filet	0.175324	0.114559	0.0946304	0.083855	0.0412649	0.0191289	0.00607687	0.00305257	0.00437954	0.00638496	0.0117223	0.021129	0.0565926	0.0610586	0.0305578	0.0424764	0.059468	0.16834
</S>	0.161253	0.102052	0.089928	0.0932484	0.0405279	0.0141623	0.0057621	0.00504305	0.00648443	0.00787256	0.0106752	0.0198335	0.0510042	0.0457418	0.0379181	0.0318277	0.0478168	0.228849
