 	m	w	á	n	a	w	ó	a	d	í	e	b	é	d	í	a	b	v	ú	u	i	b	ó	r	o	í	t	s	ω	í	m	i	k	ώ	n	d	ώ	o	k	y	έ	έ	l	é	w	a	</S>
cet	0.00217441	0.00171873	0.00645821	0.0064864	0.00559995	0.0107982	0.0023819	0.00513911	0.00471119	0.0137707	0.0129314	0.0235399	0.0395653	0.0306002	0.0368719	0.12121	0.087228	0.0496713	0.0648915	0.0414518	0.036297	0.0232457	0.0239066	0.0227556	0.0264254	0.0225183	0.0149631	0.0256978	0.0197678	0.0172198	0.0120479	0.0103065	0.0119351	0.00826192	0.00734402	0.00863443	0.0104751	0.0119206	0.0109984	0.0120733	0.012275	0.0117273	0.0137029	0.0145946	0.0155487	0.0131704	0.0149867
enfant	0.0251234	0.0556243	0.0660707	0.111039	0.237366	0.0958067	0.125568	0.113217	0.0531143	0.0333606	0.0191642	0.0102032	0.00495722	0.00230956	0.00266865	0.00024286	0.000126494	0.000331386	0.000181425	0.000160912	0.000166471	0.000289366	0.000223947	0.000100842	0.000205483	0.000376186	0.000208684	0.00169843	0.00121764	0.00171514	0.00390983	0.00336195	0.00338314	0.00470745	0.0028876	0.00121284	0.00170072	0.000751109	0.00316379	0.00380436	0.00117903	0.00152547	0.00190623	0.00114303	0.00195156	0.000351627	0.000222925
est	0.0362975	0.0549213	0.0362525	0.0696592	0.0500361	0.0378239	0.0611921	0.0427319	0.0438859	0.0532276	0.0535994	0.070099	0.0488775	0.0222313	0.0186067	0.00872268	0.00955795	0.0165491	0.00833396	0.00983244	0.0121451	0.0141344	0.0121497	0.0135865	0.00941786	0.010883	0.00936391	0.00591974	0.00485161	0.00726316	0.00653324	0.00883277	0.00757339	0.00606101	0.00599455	0.00546673	0.00786844	0.010623	0.0117454	0.00962995	0.00680284	0.0127577	0.00943008	0.01167	0.00934323	0.00987972	0.00763525
un	0.0119169	0.0127978	0.00612067	0.00923706	0.0129637	0.0133485	0.018791	0.0175407	0.0222599	0.0298587	0.0645057	0.048617	0.0553702	0.0621391	0.0394259	0.0450086	0.0322929	0.0352955	0.0217631	0.0159414	0.0171526	0.0216802	0.0187239	0.0104369	0.012538	0.0192293	0.0136177	0.0131232	0.0119412	0.0187433	0.0164334	0.016449	0.0121691	0.0132092	0.0147876	0.0139548	0.0217408	0.0126737	0.0176657	0.0194259	0.0125609	0.0121217	0.0102419	0.0134841	0.0143367	0.0273565	0.0190081
mauvais	0.00863683	0.0123377	0.0109794	0.00907548	0.00878595	0.00808205	0.00798391	0.00810755	0.00921303	0.00905449	0.00730012	0.0105834	0.0124791	0.0152173	0.0163226	0.0153057	0.0116056	0.0148464	0.0140254	0.0143122	0.0155569	0.0248359	0.0286703	0.0232474	0.0268744	0.0385666	0.0287239	0.0330713	0.0295064	0.0392203	0.0369579	0.0374265	0.0303101	0.0343981	0.0377138	0.0378541	0.0394177	0.0356272	0.0351415	0.0282893	0.025005	0.0251036	0.018876	0.0122721	0.0172293	0.0161338	0.0197165
garçon	0.0155853	0.0190927	0.0144274	0.0158121	0.0168922	0.0129226	0.0197319	0.0171489	0.0169448	0.0152222	0.0156204	0.0276639	0.0259779	0.030394	0.0508491	0.0339989	0.0202231	0.0189162	0.021129	0.0271456	0.0322452	0.0379399	0.0330194	0.0254242	0.03233	0.0356606	0.0210117	0.0406057	0.0195253	0.0316363	0.0207636	0.0273809	0.0198152	0.0165675	0.0298945	0.0223956	0.0149116	0.011514	0.0115246	0.0123778	0.0102042	0.00981962	0.00934658	0.00724394	0.00733735	0.00632938	0.0174769
c'	0.0236256	0.0326718	0.0203997	0.0232106	0.0196848	0.0117559	0.0184274	0.0142306	0.0142089	0.0164259	0.0293511	0.0169018	0.0191123	0.0191199	0.0237105	0.02805	0.0199218	0.0190512	0.025088	0.0327007	0.03423	0.0511686	0.052929	0.0330694	0.0484171	0.0294599	0.0118506	0.0370946	0.0244943	0.023243	0.0267633	0.0209587	0.0196753	0.0221779	0.0201388	0.0149797	0.00957448	0.00780145	0.0109231	0.0155533	0.0108811	0.012693	0.00911539	0.00556406	0.00656653	0.00447606	0.00855285
est	0.0228664	0.0136815	0.00975321	0.0101058	0.00886511	0.00569261	0.00917122	0.00773076	0.00877808	0.00920183	0.0078182	0.00876717	0.0121405	0.00777401	0.00532789	0.00639436	0.00549949	0.010091	0.0113978	0.0151265	0.0184341	0.028744	0.0492695	0.0511355	0.0511197	0.0414818	0.0578727	0.045278	0.0450044	0.0366924	0.0433383	0.0285156	0.0304586	0.0288051	0.0254128	0.0235608	0.0190311	0.0182193	0.0213909	0.0175766	0.0184178	0.0289218	0.0174478	0.0146652	0.00568339	0.0127147	0.0246247
pourquoi	0.0652138	0.0305136	0.0317121	0.0365565	0.0421611	0.028899	0.0217296	0.0103031	0.0060861	0.00505275	0.00681052	0.00354515	0.00373786	0.00433737	0.00638312	0.00780143	0.00592481	0.00873623	0.0192611	0.0161805	0.0167284	0.0356157	0.0354067	0.0313924	0.0355916	0.0311956	0.0483235	0.0436142	0.0314098	0.0322	0.0281898	0.0289042	0.0167582	0.01673	0.0130386	0.0107431	0.00991306	0.0113577	0.0144104	0.0092786	0.014408	0.0124146	0.0173773	0.00595364	0.00664995	0.0171657	0.0642834
tous	0.0446754	0.0263242	0.0251356	0.0205283	0.0159423	0.0123325	0.0163808	0.015295	0.0148119	0.0109188	0.0119658	0.00816283	0.00616692	0.00704766	0.0134667	0.0158022	0.0158082	0.0157369	0.0182538	0.0181519	0.0153489	0.020916	0.0324356	0.0347293	0.0320841	0.0300396	0.0390024	0.0299811	0.0281029	0.0190472	0.0207973	0.0179816	0.0141331	0.0177706	0.0136985	0.0128636	0.0146182	0.0148292	0.0188309	0.0185608	0.0257503	0.0262457	0.0394177	0.0175742	0.0191735	0.0261782	0.0669819
