 	m	w	á	n	a	á	k	i	n	i	b	e	a	</S>
l'	0.0143831	0.0202014	0.0113866	0.00838299	0.00768347	0.0321111	0.0488173	0.0678626	0.128673	0.153378	0.164032	0.140444	0.0897604	0.112883
enfant	0.136029	0.169813	0.244092	0.160849	0.170462	0.0695729	0.0144293	0.00729406	0.0113824	0.00691837	0.00410899	0.00340428	0.00107564	0.000569157
n'	0.0651833	0.0730621	0.11682	0.134496	0.123452	0.102048	0.068688	0.018323	0.0361927	0.0168972	0.0303245	0.046748	0.0397522	0.128013
est	0.0680332	0.0504227	0.0996053	0.0650249	0.0749469	0.149688	0.122468	0.0655237	0.0752347	0.0595747	0.0548432	0.0411405	0.0228032	0.0506913
pas	0.068858	0.0642201	0.0529933	0.0412107	0.0368422	0.0412261	0.0344286	0.0423664	0.0785523	0.0844536	0.104133	0.107955	0.105272	0.137489
content	0.0974447	0.0613761	0.0396645	0.0439749	0.0315599	0.0427007	0.0452667	0.0792621	0.0663782	0.0540858	0.0572478	0.0619693	0.115948	0.203121
de	0.0582499	0.0486645	0.0485058	0.0479879	0.0517165	0.0632059	0.0486002	0.0404419	0.0750087	0.0845755	0.0759437	0.133321	0.0783186	0.14546
sa	0.109687	0.0683062	0.0635244	0.0784736	0.0945539	0.116258	0.0574314	0.0269281	0.0359273	0.0438922	0.0508929	0.0560504	0.0718733	0.126201
part	0.233829	0.168779	0.159323	0.106051	0.0463783	0.0427284	0.0278937	0.0140519	0.0196115	0.0178008	0.0231494	0.0242446	0.0192504	0.0969095
de	0.165175	0.10829	0.115621	0.0965255	0.0771669	0.05654	0.0281336	0.0116978	0.0123744	0.011601	0.0235735	0.036264	0.0489247	0.208112
nourriture	0.225946	0.170653	0.174429	0.0955149	0.0413422	0.0242626	0.0187133	0.0141151	0.0180934	0.0215836	0.0365561	0.0476078	0.0491271	0.0620561
</S>	0.202912	0.134963	0.129295	0.0712772	0.0424439	0.0360055	0.027895	0.0161324	0.0215555	0.0162141	0.0257049	0.039569	0.0652389	0.170793
