 	a	k	u	m	é	á	m	i	k	ώ	n	d	ώ	o	b	h	é	m	b	a	m	b	é	á	l	i	k	i	l	í	b	á	k	á	n	d	z	a	</S>
akumé	0.128398	0.0934818	0.0309076	0.0144164	0.0262946	0.0379339	0.0366362	0.0530939	0.0572524	0.0421742	0.0372516	0.0252817	0.0166356	0.0247017	0.015373	0.0144933	0.0114943	0.0084319	0.00931187	0.00635379	0.00909718	0.00810975	0.0101157	0.00969729	0.0133581	0.00763487	0.0162615	0.0109966	0.0107977	0.0176299	0.0152064	0.0206955	0.0213921	0.0232741	0.0205758	0.0322444	0.0195177	0.0230613	0.0204158
n'	0.0205936	0.0276778	0.0426369	0.024353	0.0220297	0.0268175	0.0270454	0.0330168	0.0335805	0.025813	0.023646	0.0254509	0.0154613	0.0370304	0.0377808	0.0365867	0.0395174	0.0316812	0.0478065	0.0361976	0.032727	0.0265575	0.0289146	0.0466192	0.0321081	0.0378086	0.0146026	0.017679	0.0100063	0.0113295	0.0150493	0.0177755	0.0154399	0.0136982	0.0164216	0.0142608	0.014091	0.0123669	0.00782152
arrive	0.0366447	0.0320235	0.0459651	0.0817123	0.0559496	0.0566203	0.0944361	0.0619562	0.057221	0.0522455	0.0233905	0.0173852	0.00899968	0.0128061	0.0108069	0.0100752	0.0117664	0.0120128	0.0183835	0.0177286	0.0186323	0.0199641	0.0205183	0.0223621	0.018262	0.0214368	0.0157432	0.0204933	0.0157248	0.0166877	0.0125627	0.0153863	0.0115672	0.0104387	0.00928111	0.00893272	0.00747432	0.00797556	0.0084276
plus	0.029878	0.0270107	0.0359908	0.0419522	0.0328794	0.0362563	0.0408879	0.0242918	0.0223836	0.0253396	0.0320459	0.0335008	0.0324778	0.0424471	0.0430165	0.0436012	0.0433223	0.0374958	0.0424175	0.0321986	0.0288375	0.0305396	0.0255764	0.0226485	0.0210713	0.025709	0.0185595	0.0159041	0.00876297	0.00970372	0.00716638	0.00841919	0.0068404	0.00595012	0.00836494	0.00796612	0.0114938	0.0156256	0.0214669
à	0.0279486	0.0203737	0.0189404	0.0222566	0.0270487	0.0302319	0.0263132	0.0135741	0.0115531	0.0093177	0.00846757	0.00888766	0.0125212	0.0120067	0.0239236	0.020703	0.0268307	0.0347204	0.0271892	0.0363919	0.0320179	0.031843	0.0369581	0.02155	0.0348035	0.0453544	0.0405607	0.041674	0.0305187	0.0357073	0.0208513	0.0202203	0.0251234	0.0268155	0.0255617	0.0229924	0.022142	0.0255871	0.0405189
marcher	0.0328109	0.018321	0.00967425	0.0109503	0.0137189	0.0212624	0.0170072	0.00891189	0.00813937	0.00985857	0.0126767	0.0126063	0.0142395	0.0144339	0.0199875	0.0152225	0.0163599	0.0197591	0.0201766	0.0297783	0.0254225	0.0291006	0.0283029	0.0234907	0.0270849	0.0327902	0.0371374	0.0450996	0.0408111	0.0381957	0.0320291	0.0358413	0.0406636	0.0398752	0.0397678	0.0336417	0.0347446	0.0389801	0.0511261
à	0.0232099	0.013602	0.00802393	0.0101183	0.0137943	0.0222338	0.0261855	0.01731	0.0159328	0.0130541	0.0147322	0.0133271	0.0139202	0.0150322	0.0200872	0.0158665	0.0155485	0.0183113	0.0185844	0.0284827	0.0300378	0.0348032	0.033488	0.034459	0.0347167	0.0327234	0.0386349	0.0347632	0.034687	0.0298753	0.0266659	0.0298306	0.0346842	0.0338541	0.0349411	0.0304916	0.0325548	0.0404929	0.0609392
cause	0.0161787	0.0116611	0.0137431	0.0181631	0.021871	0.0258678	0.0187348	0.0124204	0.0122746	0.0133919	0.0167919	0.0174855	0.0242319	0.0218517	0.0317363	0.019373	0.0182337	0.0184471	0.016846	0.0235637	0.0220981	0.0263075	0.0230075	0.0242131	0.0281437	0.0245939	0.02878	0.0276979	0.0260281	0.0304183	0.027433	0.0312316	0.03429	0.0294073	0.034058	0.0381445	0.0439047	0.0561292	0.0712463
des	0.0182366	0.014645	0.0142418	0.015288	0.0166131	0.0175565	0.0149734	0.00964764	0.0107566	0.0107463	0.0106605	0.0112802	0.0141861	0.0130744	0.017116	0.0128155	0.0127118	0.0143701	0.0143186	0.0226462	0.0205328	0.0248155	0.0239809	0.0274699	0.0312257	0.0366567	0.0353029	0.0368499	0.039669	0.045105	0.0392408	0.0403423	0.0426859	0.0402083	0.0439237	0.0441603	0.0450615	0.045992	0.0508928
chiques	0.0209081	0.0170613	0.0198192	0.0156991	0.0130482	0.0128321	0.0117925	0.00879475	0.00873636	0.00793289	0.00866364	0.00850006	0.00948608	0.0117108	0.0190174	0.0182737	0.0205103	0.0263331	0.0385179	0.0450608	0.0438599	0.0503015	0.053317	0.0591462	0.0491252	0.0556373	0.0348181	0.0245687	0.0136494	0.0133069	0.0132897	0.0154043	0.0229612	0.0225015	0.0322722	0.0280894	0.039339	0.0349266	0.0507874
