 	w	a	l	á	a	b	h	í	á	ω	s	a	b	h	í	í	n	á	o	b	ó	o	</S>
il	0.0327023	0.0978035	0.188192	0.251026	0.254205	0.125842	0.027787	0.00558618	0.00128915	0.000548902	0.000434864	0.000577387	0.000515792	0.000896588	0.0016015	0.0024677	0.00198205	0.00213234	0.00123224	0.00103611	0.000777776	0.00101001	0.000354612
appuie	0.00398583	0.00663405	0.00659573	0.00744503	0.00419077	0.00773511	0.0140415	0.0404802	0.0892748	0.119544	0.149475	0.104589	0.0946839	0.0821654	0.0577365	0.0555582	0.0383896	0.0335165	0.0357007	0.022756	0.0116755	0.00639003	0.0074362
son	0.03019	0.0481982	0.0554184	0.0685961	0.0371029	0.0548102	0.0495599	0.091892	0.0596212	0.037276	0.03996	0.0374864	0.0334894	0.0378589	0.0428445	0.0491223	0.0457756	0.0354991	0.0440307	0.0369484	0.0213902	0.022289	0.0206407
doigt	0.00945813	0.0123857	0.00880813	0.0144387	0.0142869	0.0160685	0.0234388	0.0270908	0.0321196	0.0371171	0.0687385	0.0943405	0.0884546	0.124898	0.102019	0.0542053	0.0325443	0.0238633	0.044654	0.0307266	0.035976	0.0548315	0.0495355
dans	0.0103342	0.00694933	0.00666024	0.00926253	0.00942958	0.00868729	0.0105311	0.00909956	0.0211834	0.0293384	0.0182261	0.0271155	0.0214046	0.0233821	0.032692	0.0244734	0.02205	0.0308351	0.0609272	0.0388859	0.0816558	0.22288	0.273996
la	0.0138019	0.0199616	0.0231642	0.0250957	0.0161512	0.0133829	0.0089503	0.00722836	0.028042	0.0261572	0.023658	0.0329417	0.0369931	0.0476824	0.059249	0.0547933	0.053123	0.0750006	0.102097	0.079114	0.0812298	0.071242	0.100941
pâte	0.018148	0.0214965	0.0227635	0.0280626	0.0261386	0.0240718	0.0230148	0.0261479	0.0206965	0.0203422	0.0205379	0.027425	0.0248932	0.0403075	0.0456545	0.0501683	0.0583223	0.0717671	0.0801851	0.0848481	0.0887588	0.0808719	0.095378
de	0.025763	0.0307764	0.030155	0.0477941	0.045198	0.0380083	0.0441928	0.0498741	0.0439596	0.0460846	0.0512444	0.0491873	0.0283449	0.0302675	0.0360633	0.0484061	0.0622729	0.0517464	0.0503182	0.0291504	0.026094	0.0330862	0.102012
manioc	0.0235579	0.0245138	0.0237	0.0211721	0.0151019	0.0158311	0.0128566	0.0112317	0.0109791	0.0107883	0.0110192	0.0120569	0.011467	0.0157809	0.0248535	0.0418382	0.0640661	0.0731161	0.0848908	0.0906408	0.101652	0.108816	0.19007
</S>	0.0239307	0.0200904	0.0203218	0.018346	0.0154795	0.0158632	0.0260745	0.0236527	0.0213778	0.0200634	0.0181975	0.0147389	0.00835702	0.0129752	0.0237885	0.0352604	0.0573259	0.0541193	0.065603	0.0495463	0.0532268	0.0967507	0.304911
