 	i	k	ω	n	g	ώ	l	í	í	d	í	a	n	g	y	ε	k	a	á	í	d	í	o	d	u	r	u	k	a	á	</S>
une	0.0370703	0.0323025	0.017534	0.0317281	0.0305543	0.0328408	0.0418306	0.049416	0.0546509	0.0548148	0.0551107	0.0517377	0.0510276	0.0469032	0.0290305	0.0184006	0.0121561	0.0189044	0.0180671	0.0189707	0.0213993	0.0186825	0.0234229	0.027653	0.0340777	0.0348226	0.0399954	0.0375827	0.0221568	0.0198443	0.0173121
lance	0.0523144	0.0278489	0.0420356	0.0269754	0.0392434	0.0572196	0.0344217	0.0410538	0.0343507	0.0174124	0.0141754	0.0107641	0.0117098	0.0149003	0.0115774	0.0176056	0.0211326	0.0189938	0.0462681	0.0685049	0.081564	0.0651037	0.0484396	0.052423	0.0394804	0.0361118	0.0434186	0.0143739	0.00194161	0.0039875	0.00464813
qui	0.141666	0.0905051	0.050921	0.0210931	0.0144665	0.0153687	0.0191531	0.0123675	0.0115677	0.0117957	0.0229568	0.0294216	0.0248662	0.0428341	0.0220104	0.0240024	0.0394321	0.0291608	0.0498924	0.0485576	0.0373684	0.058302	0.0395979	0.0336801	0.0223306	0.0237047	0.0213111	0.0141486	0.0100922	0.0106025	0.00682339
ne	0.0332208	0.0433657	0.034472	0.0685551	0.11269	0.0898534	0.0530061	0.0680486	0.0456681	0.0559251	0.0524208	0.0329967	0.0367546	0.0324833	0.0155069	0.0209912	0.0151552	0.0095028	0.0150696	0.0143358	0.0106207	0.0270658	0.00821671	0.010821	0.00997954	0.00787123	0.0111371	0.00532747	0.00623081	0.0108311	0.0418764
porte	0.0364268	0.0289004	0.0363036	0.0264929	0.0405435	0.0427767	0.0492652	0.0379364	0.0328415	0.028474	0.019286	0.019713	0.0208374	0.0218198	0.0210873	0.0359869	0.0639539	0.0425691	0.0634994	0.0584751	0.0433524	0.0691856	0.0438715	0.0249037	0.0114676	0.00732914	0.00626415	0.0035648	0.00573412	0.013007	0.0441313
pas	0.0753157	0.0385537	0.0352833	0.0300177	0.0334523	0.0304711	0.027748	0.0252037	0.0181835	0.0225826	0.0189187	0.0200971	0.0161572	0.0131583	0.0135521	0.0192623	0.0457355	0.033998	0.0456077	0.043892	0.0481987	0.0382502	0.0362595	0.0242711	0.0245014	0.023605	0.0257504	0.0225073	0.0222634	0.0428537	0.0843488
d'	0.0562429	0.040453	0.0337108	0.0338146	0.0354702	0.0386665	0.0366806	0.0276645	0.0304509	0.0294733	0.0258781	0.0280484	0.0234486	0.0184893	0.0178077	0.0234645	0.0310892	0.0215611	0.0255324	0.0225036	0.0255382	0.0275068	0.0327149	0.0271657	0.0256777	0.0256264	0.0306643	0.025069	0.024594	0.0469111	0.108082
anneau	0.0512854	0.0325296	0.0273158	0.0321592	0.038003	0.0330732	0.0160651	0.00807634	0.00854805	0.00782305	0.00818507	0.0101523	0.0115802	0.0117792	0.0106703	0.0108506	0.0155354	0.0144698	0.0126954	0.0176811	0.0270094	0.0262079	0.0410648	0.0544149	0.0543503	0.0632362	0.0482314	0.0459368	0.054267	0.088351	0.118452
est	0.0449198	0.0332728	0.0267032	0.0374502	0.0560843	0.0489894	0.035458	0.041041	0.0270328	0.0261666	0.0249972	0.0239554	0.0159099	0.0139735	0.00934987	0.0109332	0.013142	0.0124974	0.0100312	0.0102246	0.0239784	0.0248581	0.0429104	0.0307779	0.02758	0.0311576	0.0214735	0.0260699	0.0324143	0.0675766	0.149071
légère	0.0459123	0.0505953	0.0490929	0.0537595	0.0467419	0.0316376	0.0125055	0.0104107	0.00979223	0.00991173	0.0102452	0.0101772	0.0107084	0.0111645	0.0107787	0.00931572	0.0121278	0.0120551	0.0106808	0.0120721	0.0200325	0.0173159	0.0152225	0.0240556	0.0385087	0.0468355	0.0459607	0.0727263	0.0604692	0.0841084	0.145079
</S>	0.063454	0.0576621	0.0508524	0.0595089	0.0817573	0.0564949	0.0399014	0.0460752	0.0238307	0.0248879	0.0213059	0.0178866	0.0143455	0.0143362	0.0130071	0.0172822	0.0213522	0.0148142	0.0137935	0.0104948	0.015513	0.014138	0.00840645	0.00759883	0.00692204	0.00768949	0.0077069	0.0202777	0.0147652	0.0461442	0.187795
