 	o	b	a	l	e	l	á	a	k	y	é	n	á	n	d	z	á	l	é	m	é	s	ε	n	g	í	</S>
le	0.0106418	0.0227574	0.0196943	0.0112485	0.00963823	0.0159284	0.0393218	0.0521029	0.0284629	0.034386	0.0573727	0.0654858	0.0798935	0.0755286	0.0588595	0.0520055	0.0487283	0.0461073	0.0426394	0.0293906	0.016614	0.0191353	0.0258558	0.0195746	0.0366895	0.035427	0.0465103
récolteur	0.0104726	0.0232383	0.0221599	0.013045	0.0137253	0.0141764	0.0447129	0.100141	0.0443808	0.165798	0.153562	0.0892912	0.0758707	0.0557177	0.0503536	0.032966	0.0318321	0.0218886	0.00898384	0.00756362	0.00352215	0.00394469	0.00498648	0.00301438	0.0020856	0.00165769	0.000909734
du	0.107059	0.0315596	0.0532224	0.0458013	0.0495558	0.057254	0.0315639	0.0250804	0.0308097	0.0210776	0.0188511	0.0248092	0.0371987	0.0454107	0.0525664	0.0589547	0.0449828	0.0431151	0.0298874	0.0424679	0.0284193	0.0227965	0.0286805	0.0202197	0.0145625	0.0139176	0.0201763
vin	0.093115	0.185041	0.196088	0.0900595	0.0547447	0.0276675	0.0207271	0.0183456	0.00819932	0.0103859	0.00800316	0.0073621	0.0122346	0.0133073	0.0183929	0.0205732	0.0213145	0.0217173	0.00911821	0.0230167	0.00896232	0.0140826	0.0179437	0.0126368	0.0175766	0.017289	0.0520954
de	0.163608	0.0421404	0.0464599	0.0284687	0.0287232	0.0278116	0.0212029	0.0168382	0.0183155	0.0162365	0.0158978	0.0213253	0.0239726	0.0182092	0.0186392	0.0177282	0.0166812	0.0180526	0.0228054	0.0373561	0.0462032	0.0412166	0.0418997	0.0354509	0.0535013	0.0502335	0.111023
palme	0.0930778	0.0624278	0.0657364	0.0373011	0.0311427	0.0330323	0.0331165	0.028762	0.0177295	0.0209287	0.0190223	0.017408	0.0296592	0.0259459	0.0275804	0.0222857	0.0205828	0.0203487	0.015202	0.0359618	0.0280294	0.035997	0.0424814	0.0385564	0.0478823	0.0470015	0.1028
traverse	0.0913654	0.0646285	0.0424345	0.0369801	0.0248062	0.0217633	0.0175714	0.0157985	0.0129312	0.0144048	0.0121268	0.0129043	0.0156273	0.0173663	0.0154304	0.0245986	0.0278923	0.0288839	0.025591	0.0414506	0.0278471	0.0495148	0.0395669	0.0456228	0.0572255	0.0632216	0.152446
le	0.0584483	0.0374644	0.03767	0.0277671	0.0233581	0.0200201	0.0227819	0.0218484	0.0204351	0.0216663	0.0163733	0.0205957	0.0178739	0.0147153	0.0165994	0.0137617	0.00995474	0.0121737	0.0184218	0.0255262	0.0306383	0.0380393	0.0396128	0.0585654	0.109992	0.092417	0.17328
fleuve	0.022128	0.0259308	0.0224827	0.0152535	0.0114372	0.0139391	0.018739	0.0190677	0.0162412	0.0185771	0.012772	0.0122701	0.0126765	0.0124955	0.0184031	0.0205581	0.024541	0.0232961	0.0290823	0.0359285	0.0341456	0.0527594	0.0540532	0.0646514	0.0758765	0.101348	0.231346
dans	0.0972999	0.0623612	0.0577167	0.0387381	0.0319199	0.0278945	0.0259929	0.0228182	0.0214092	0.0205623	0.00891209	0.00496269	0.00508505	0.00437421	0.00613261	0.00608187	0.00612342	0.0072925	0.0113747	0.0262239	0.0453616	0.0336965	0.0466798	0.0536357	0.0779796	0.0717338	0.177637
sa	0.087129	0.061473	0.0523895	0.0403873	0.0251906	0.0178149	0.0189207	0.015287	0.0122506	0.0153038	0.00757364	0.00446594	0.00329489	0.00298706	0.0038442	0.00468109	0.00500878	0.00598575	0.00930908	0.0203096	0.0386722	0.0386528	0.0470277	0.0707141	0.103085	0.102767	0.185474
pe	0.121408	0.0536171	0.0420339	0.0255446	0.0144072	0.00646536	0.00718166	0.00628829	0.00599193	0.00621753	0.00463717	0.00570133	0.00433046	0.00300324	0.00294404	0.00305102	0.00492246	0.00930096	0.0209553	0.0349294	0.0329824	0.0489257	0.0464428	0.0822235	0.0974454	0.127634	0.181415
tite	0.106658	0.0346709	0.0274269	0.0227726	0.0200677	0.00842524	0.00723349	0.00478268	0.00470719	0.00423807	0.00322042	0.00289709	0.00263426	0.00238678	0.00313015	0.00319774	0.00651206	0.015007	0.0447314	0.0410687	0.0498641	0.0486526	0.0403282	0.0596014	0.078781	0.135485	0.22152
pirogue	0.0819623	0.0520459	0.0450559	0.0308183	0.0223106	0.0144652	0.0148408	0.0106292	0.0089822	0.0094197	0.00411169	0.00304772	0.00308394	0.00271051	0.00318389	0.00510987	0.0059821	0.00674892	0.0135093	0.0164792	0.0282757	0.0267075	0.0320197	0.0542346	0.0917535	0.122901	0.28961
</S>	0.0584517	0.0319879	0.0232828	0.0219538	0.0135594	0.00597167	0.00645614	0.0053316	0.00440422	0.00542357	0.0047771	0.00401219	0.00484146	0.00464089	0.00394384	0.00593406	0.00892029	0.015384	0.0251584	0.0359317	0.0419741	0.0591148	0.0503485	0.0964386	0.122259	0.154497	0.185001
