 	o	l	o	o	s	i	m	í	a	m	í	i	m	b	í	m	w	á	n	a	y	a	o	b	i	a	y	a	n	ω	</S>
celui	0.016118	0.0188352	0.015776	0.0128702	0.0112567	0.0113872	0.0168977	0.016335	0.0238693	0.0458324	0.0710099	0.0749832	0.0772414	0.0637823	0.0268956	0.0146901	0.0230102	0.0185596	0.0178261	0.0229585	0.0221971	0.0172541	0.0242523	0.0197656	0.0373281	0.0393919	0.050598	0.051189	0.0516525	0.0382006	0.0480364
qui	0.210507	0.0640698	0.0874793	0.0450687	0.0380748	0.0217057	0.0272645	0.0217482	0.0286502	0.0262864	0.0412128	0.027925	0.0335369	0.0283427	0.00826032	0.00358988	0.00893674	0.0113245	0.00949723	0.0290292	0.0203719	0.0257045	0.0268878	0.0242692	0.0255773	0.0194341	0.0165536	0.0094524	0.00868095	0.012153	0.0384052
allume	0.118209	0.0567218	0.0594995	0.0362217	0.0191151	0.0232972	0.0164053	0.012459	0.0178647	0.0196104	0.0399296	0.017901	0.0183643	0.0240162	0.0135306	0.00787743	0.0153668	0.0280494	0.0281454	0.0683136	0.0322217	0.0325495	0.0307469	0.029723	0.0444011	0.0217571	0.0237064	0.0268318	0.0382584	0.0513632	0.0275432
ce	0.0359371	0.0306597	0.0352446	0.0250664	0.0280242	0.0314764	0.0284694	0.0321523	0.032607	0.0286664	0.0366946	0.0252804	0.0234501	0.0242931	0.048403	0.033856	0.0563495	0.0694488	0.0504167	0.0320863	0.0233185	0.0247223	0.0240063	0.0173756	0.0196188	0.0213798	0.0210908	0.0233918	0.0317929	0.0339877	0.050734
feu	0.0257424	0.0426226	0.0461729	0.0308735	0.0367623	0.0114556	0.0123837	0.0167066	0.0189632	0.0148831	0.0192637	0.0136645	0.017928	0.0441971	0.0745752	0.0807767	0.0579176	0.0456976	0.0536891	0.0588266	0.0430438	0.0236665	0.0144544	0.0217474	0.018362	0.0233317	0.0162728	0.0122666	0.0142281	0.0148471	0.0746777
c'	0.0196047	0.0336421	0.0290109	0.0336721	0.0494981	0.0670158	0.0787304	0.0830214	0.071375	0.0574312	0.0431079	0.0589861	0.0495805	0.041754	0.0410002	0.0421017	0.0250781	0.0188533	0.0169002	0.015923	0.0131267	0.0093749	0.00531564	0.00761795	0.00492556	0.00507244	0.00686599	0.00794701	0.0119123	0.0107589	0.0407958
est	0.0288669	0.0270546	0.0266591	0.0327614	0.0382061	0.0608	0.061899	0.0690369	0.0687096	0.0614825	0.047508	0.0645136	0.042686	0.027673	0.0336877	0.0354372	0.0334227	0.0204984	0.0157691	0.0146532	0.0124206	0.008794	0.00590313	0.0093161	0.00604318	0.00805098	0.0117757	0.0142942	0.023761	0.0273171	0.060999
le	0.120257	0.0887275	0.0894882	0.0548534	0.0343329	0.0175264	0.0212254	0.0345692	0.0497974	0.0508896	0.0516296	0.0298363	0.0428177	0.041751	0.0292727	0.0164316	0.0107597	0.00868561	0.00848417	0.00724448	0.0062257	0.00345882	0.00322189	0.00620183	0.00450428	0.00874906	0.00676726	0.00543209	0.0117572	0.0152287	0.119874
fils	0.0867036	0.0392325	0.0386755	0.0297482	0.0321227	0.0214633	0.0302215	0.0497642	0.0775684	0.0653671	0.0708093	0.0555554	0.0754541	0.0442253	0.0320058	0.0188791	0.0171034	0.0129949	0.0164542	0.0158795	0.0124694	0.00629361	0.00653231	0.00884608	0.00745395	0.0137473	0.00946096	0.00677106	0.0111643	0.0143175	0.0727153
de	0.124696	0.0426907	0.0387097	0.0250807	0.02225	0.023283	0.0214965	0.0203018	0.0234145	0.0231163	0.0223584	0.0162148	0.0148358	0.0159654	0.0214384	0.0186645	0.0159089	0.0170974	0.018588	0.0207498	0.0170165	0.0107988	0.0090177	0.0103273	0.0130008	0.0265921	0.02881	0.0399531	0.068492	0.081015	0.148116
ton	0.151699	0.0533081	0.0501894	0.0260668	0.011813	0.0150002	0.0151968	0.0218363	0.0236745	0.017627	0.0141868	0.00704949	0.00569213	0.00436958	0.00703723	0.00873062	0.00678312	0.00736254	0.00885688	0.0117101	0.012642	0.0130818	0.0157035	0.0200958	0.0185562	0.0398218	0.0405334	0.0489117	0.071738	0.0831035	0.167623
ami	0.129294	0.0438064	0.0300444	0.0163561	0.0122723	0.00980024	0.0112992	0.0204919	0.0178686	0.014421	0.0128494	0.00716045	0.00927975	0.00736171	0.00724533	0.0059163	0.00573717	0.00578012	0.00933718	0.0141672	0.0129231	0.00767369	0.0111465	0.0194381	0.018075	0.0430238	0.0418724	0.055307	0.0901729	0.08644	0.223439
</S>	0.162957	0.0668065	0.0626114	0.0394627	0.0285436	0.0213349	0.0204051	0.0267705	0.0208051	0.0170657	0.0149762	0.0109341	0.0129205	0.0114334	0.0130548	0.0133416	0.00948397	0.0100079	0.0131411	0.0161731	0.0178317	0.01833	0.0197307	0.0208355	0.0269527	0.037179	0.0334428	0.0382381	0.0518745	0.0574888	0.0858671
