 	m	a	á	l	á	a	m	a	m	á	b	e	a	w	á	á	í	p	ώ	r	i	o	k	w	á	</S>
maman	0.00978285	0.0207579	0.0315805	0.0196005	0.0402478	0.0347992	0.0321391	0.0415893	0.0539137	0.0458115	0.0452982	0.0424127	0.0386647	0.0486132	0.0306054	0.0602923	0.0774983	0.0385052	0.0365207	0.0446293	0.0315523	0.0404116	0.0522218	0.0396797	0.0279229	0.0149493
goûte	0.0802339	0.0871283	0.0661106	0.0539518	0.025022	0.015505	0.0280959	0.0159395	0.0160377	0.0147264	0.0228508	0.0287074	0.0310741	0.116621	0.0670842	0.0563762	0.0706668	0.0624386	0.0456218	0.021492	0.0170836	0.0153619	0.0108049	0.013106	0.00967387	0.00828599
la	0.0601996	0.0281053	0.0373172	0.0239865	0.0200098	0.0209804	0.0307544	0.0308453	0.0297759	0.0343926	0.0188305	0.022342	0.0319527	0.0280208	0.0362487	0.0264984	0.059125	0.0515495	0.055968	0.0458895	0.0581695	0.0353022	0.0361409	0.048653	0.0746153	0.0543269
nourriture	0.0298408	0.0452	0.0896002	0.079383	0.0744316	0.0767542	0.0447454	0.032605	0.0339851	0.0388748	0.0445367	0.01839	0.0346738	0.0578922	0.0672733	0.0570253	0.0244051	0.0491218	0.0145096	0.0109387	0.0100491	0.0075174	0.00654283	0.0083747	0.0139314	0.029398
pour	0.0436707	0.0627156	0.0629576	0.069658	0.0534324	0.0324042	0.0459639	0.112529	0.0643018	0.0910332	0.066291	0.0390906	0.0536175	0.0291834	0.0246429	0.0127936	0.0144614	0.00921594	0.00709198	0.00856406	0.0130754	0.00878429	0.0085708	0.0100779	0.0156064	0.0402668
voir	0.0273545	0.0234846	0.0583811	0.0477695	0.038288	0.035935	0.0354742	0.0357617	0.0325514	0.0285043	0.0227656	0.0145578	0.029678	0.040811	0.047697	0.0210075	0.0340561	0.0485858	0.0397693	0.0474093	0.0598447	0.0371551	0.0554652	0.0374283	0.0445334	0.0557316
si	0.029456	0.0383616	0.0502171	0.0588096	0.0754245	0.06311	0.055722	0.0535275	0.0485454	0.049586	0.0259583	0.0128128	0.0209718	0.0139079	0.0431983	0.0146781	0.0246285	0.0412826	0.0309621	0.039053	0.024853	0.0149003	0.0205709	0.027034	0.0340426	0.0883863
elle	0.0485764	0.04876	0.052072	0.0589528	0.0606641	0.0601115	0.0506591	0.0523075	0.040918	0.0381695	0.020184	0.0136805	0.0223913	0.0154928	0.0220902	0.0205777	0.0225319	0.0308539	0.0239102	0.0413742	0.0237786	0.0172853	0.0199201	0.0376263	0.0642249	0.0928872
est	0.109477	0.0786299	0.0545981	0.0449535	0.0391492	0.0270244	0.0232718	0.0301739	0.0250145	0.0276095	0.0204064	0.016359	0.0183116	0.0167694	0.0148375	0.0121598	0.0129179	0.0185191	0.0206785	0.0238201	0.0192244	0.0164213	0.0302427	0.0523366	0.0678707	0.179223
suffisamment	0.0465392	0.0316062	0.0272225	0.0294427	0.0319966	0.0255854	0.0201746	0.0318077	0.021658	0.020881	0.015167	0.0128199	0.0148208	0.014589	0.0194739	0.0170534	0.0179884	0.0334273	0.0499811	0.0658108	0.0467072	0.0388798	0.0510118	0.0676815	0.0811668	0.166508
salée	0.0556186	0.0410313	0.0331918	0.0336071	0.0294205	0.0160408	0.0139768	0.0171345	0.0140799	0.013798	0.0104425	0.00947786	0.00977517	0.00967112	0.00904067	0.00905065	0.00917649	0.0185425	0.0225063	0.0420436	0.0361166	0.0435048	0.0652258	0.0889958	0.0945176	0.254013
</S>	0.0508967	0.0441695	0.0365039	0.0377649	0.0292081	0.0152653	0.0108993	0.0140391	0.00975789	0.00888167	0.00806262	0.008065	0.00830724	0.00786901	0.00738215	0.0083052	0.00835295	0.0123438	0.0206304	0.041918	0.0573813	0.0804981	0.0793786	0.0912723	0.109386	0.193461
