 	m	w	á	n	a	o	y	ú	r	u	w	ó	á	m	i	k	a	n	á	o	b	v	u	r	ú	m	é	l	é	n	g	é	</S>
cette	0.00658534	0.0138798	0.0134407	0.00813708	0.00536663	0.00342503	0.00480202	0.00981842	0.0283036	0.0559477	0.0611677	0.0541632	0.057865	0.0317319	0.0363301	0.042371	0.0434408	0.0555795	0.0290355	0.0463126	0.0314975	0.0360303	0.0201995	0.0174173	0.0146658	0.022011	0.0193677	0.0234698	0.0228579	0.0308264	0.0603444	0.0489504	0.0446584
jeune	0.0150057	0.0133376	0.0260703	0.0739083	0.244138	0.335048	0.136617	0.0263246	0.0054954	0.00364577	0.00584252	0.00515233	0.00676833	0.0130924	0.00747616	0.01054	0.00789954	0.00731554	0.0147228	0.00634681	0.00548955	0.00442545	0.00656972	0.00289789	0.00204113	0.00418469	0.00355835	0.00215095	0.00106082	0.00161786	0.00040769	0.000524933	0.000323471
fille	0.0595826	0.0812911	0.0313214	0.0592909	0.0368854	0.0303866	0.0282485	0.0241629	0.033242	0.0222717	0.0898852	0.0295927	0.0524921	0.0645253	0.0603167	0.0286419	0.0381614	0.0217672	0.0307113	0.0151968	0.0124629	0.0112974	0.0144919	0.012094	0.0120289	0.0185809	0.0162083	0.0149468	0.00837505	0.00890606	0.0064989	0.00879776	0.0173371
a	0.0470419	0.0657641	0.0232832	0.00840951	0.00710559	0.019804	0.0161798	0.0220019	0.0183707	0.0171012	0.021506	0.0109418	0.0208094	0.0349336	0.0250262	0.0152098	0.0330371	0.0204947	0.0178254	0.0439995	0.0322243	0.0766438	0.0449437	0.057403	0.0360686	0.0550564	0.0281636	0.0306745	0.0223276	0.020031	0.02499	0.0291582	0.05347
mis	0.0965881	0.06392	0.039594	0.0320151	0.0161706	0.0114463	0.0224463	0.0183022	0.0173867	0.0183506	0.0231878	0.0170679	0.0203761	0.029809	0.0367151	0.0235935	0.0266846	0.0210755	0.0244056	0.0280499	0.0317103	0.0196291	0.0197481	0.0184645	0.0218984	0.0176095	0.0150256	0.0241417	0.0295852	0.0400161	0.0503984	0.0547965	0.0697921
les	0.0463526	0.0349923	0.0274948	0.0283862	0.00869661	0.00621262	0.0124564	0.013554	0.0184739	0.0183901	0.0303241	0.0206489	0.0171061	0.0264415	0.0319771	0.0232828	0.0210248	0.0180387	0.0215981	0.032628	0.0429608	0.0301742	0.0430308	0.0408927	0.0449528	0.0616132	0.038092	0.0349141	0.0428383	0.043329	0.0367593	0.0385787	0.0437843
cendres	0.0207421	0.014601	0.0252593	0.0227792	0.0124098	0.00926848	0.00812216	0.00581672	0.00679717	0.00734257	0.0127595	0.0149447	0.0120414	0.0119926	0.00875365	0.0171151	0.015417	0.0235105	0.0262633	0.0342985	0.0473942	0.0368548	0.0536674	0.0335156	0.0514808	0.0600415	0.0649178	0.0615842	0.0640814	0.0665433	0.0469965	0.0479192	0.0547687
sur	0.0231651	0.0240029	0.0350248	0.028918	0.0320814	0.0181062	0.0190289	0.0200328	0.0227662	0.0182713	0.0179532	0.0196957	0.0183127	0.0236079	0.0122083	0.0164536	0.0258626	0.0257855	0.0200274	0.0480249	0.0614934	0.0364548	0.0359191	0.0448119	0.0429612	0.0485473	0.0366463	0.0369226	0.0337696	0.0377909	0.0303373	0.0341373	0.050879
son	0.0628057	0.0429829	0.0882775	0.043333	0.0556526	0.0305809	0.0302689	0.0173866	0.00951074	0.00598129	0.00866315	0.0086799	0.0272714	0.0473863	0.0232648	0.0170357	0.023105	0.0120275	0.00922353	0.0162234	0.018854	0.0160753	0.018052	0.027574	0.034842	0.0447948	0.025526	0.0292636	0.0305839	0.0387625	0.0415647	0.0454026	0.0490438
visage	0.0415247	0.0382086	0.0429808	0.0144007	0.01648	0.0104055	0.010131	0.00684137	0.00517427	0.00547692	0.00728942	0.00638784	0.00931389	0.00979801	0.0109188	0.0100071	0.0102056	0.0117245	0.0128716	0.021714	0.0242254	0.0218793	0.0226618	0.0290027	0.0390299	0.0443357	0.0459893	0.0657745	0.0675387	0.0791249	0.0814089	0.084565	0.0926092
</S>	0.0646838	0.0548239	0.0964841	0.0285571	0.0407167	0.0348316	0.0281273	0.0129827	0.00655998	0.00486989	0.00518832	0.00458744	0.0113453	0.0231909	0.0111539	0.00720133	0.01247	0.0100714	0.0132876	0.0206024	0.0245775	0.0337444	0.0270789	0.0418842	0.0436583	0.0343013	0.0194364	0.0429859	0.0350163	0.0426859	0.0483796	0.0525345	0.0619814
