 	e	l	y	é	n	g	í	l	í	y	o	t	é	m	a	m	á	n	g	á	w	á	r	é	i	d	í	i	m	b	y	é	n	g	í	o	p	f	a	k	a	á	</S>
de	0.00898297	0.0128238	0.0167606	0.0257834	0.0353314	0.0237464	0.0174044	0.0233672	0.030853	0.0315521	0.0433356	0.0385657	0.0464052	0.0459336	0.0206665	0.0165279	0.0148712	0.0232301	0.0202966	0.0269662	0.0322819	0.0136433	0.013441	0.00873991	0.00764386	0.00749691	0.0117795	0.0129681	0.00942854	0.00882568	0.0125287	0.0113789	0.0180829	0.0145698	0.0158692	0.0295932	0.0284017	0.034791	0.0453593	0.0500434	0.0315698	0.0270785	0.031081
la	0.191998	0.0826539	0.057886	0.0370979	0.0290947	0.0154389	0.00600726	0.014823	0.0225698	0.0180176	0.0342085	0.0332476	0.026192	0.0327703	0.0176277	0.0338707	0.0222922	0.0404996	0.040889	0.0185628	0.0140423	0.0314784	0.0236795	0.0121646	0.0164094	0.00797104	0.00577403	0.00209779	0.00629648	0.00344418	0.00610532	0.00524529	0.00719908	0.0179255	0.00816223	0.0105742	0.0059136	0.00286475	0.00587577	0.0118908	0.00701901	0.00387125	0.00824759
manière	0.0500364	0.0285848	0.0166642	0.010618	0.018602	0.00849901	0.00517387	0.0124651	0.0247484	0.0271371	0.0335731	0.0310044	0.0355552	0.0406938	0.0186274	0.0256762	0.0341861	0.0184714	0.018631	0.00765538	0.0098996	0.0113452	0.00652069	0.00381513	0.00727537	0.00640636	0.00260447	0.00352058	0.00396973	0.00729707	0.0145999	0.0299824	0.0211501	0.0726784	0.115045	0.0512105	0.0418608	0.0338435	0.0250499	0.016606	0.0171469	0.0119312	0.019638
dont	0.0190846	0.01571	0.015249	0.0102458	0.00579417	0.00543139	0.0039636	0.00279653	0.00245656	0.00287049	0.00364297	0.00442143	0.00630602	0.00907474	0.00909082	0.00997464	0.0112479	0.0113757	0.00807801	0.00663037	0.05675	0.0317532	0.0268682	0.0285566	0.027959	0.0678341	0.0364433	0.0832319	0.0822829	0.0727353	0.0694802	0.0454977	0.0315981	0.0388464	0.0759123	0.0218083	0.00731896	0.00409165	0.00320336	0.00353039	0.00340679	0.00388561	0.0135611
mon	0.0262069	0.0282235	0.0234441	0.017697	0.0363305	0.0201817	0.01233	0.0241298	0.0238364	0.0272506	0.023057	0.0176312	0.0152532	0.0187233	0.0233988	0.036363	0.0315186	0.0427897	0.0268459	0.0260182	0.0347525	0.0449611	0.025026	0.0231868	0.023939	0.027872	0.0224189	0.02823	0.026798	0.0244926	0.022565	0.0336552	0.0278237	0.0218864	0.0200741	0.0100542	0.00475266	0.00756179	0.00453642	0.00631555	0.0112167	0.0131918	0.0334598
coeur	0.0263154	0.0327998	0.0244196	0.0138762	0.0147582	0.00824964	0.00712975	0.0133931	0.014603	0.0137975	0.0136439	0.01515	0.0186717	0.0213893	0.0320638	0.0329725	0.0246134	0.027408	0.0233555	0.0213706	0.0205666	0.02056	0.0215249	0.0184777	0.020016	0.0224873	0.0181927	0.0160779	0.0161166	0.0183957	0.0196972	0.0284993	0.0412161	0.0373017	0.0114879	0.0153099	0.00768793	0.0296117	0.0228768	0.0303283	0.0505683	0.035569	0.0774496
palpite	0.030724	0.0396721	0.0250636	0.0265108	0.0247729	0.0255073	0.0233521	0.0206931	0.0270181	0.0286347	0.0277472	0.0357552	0.0410965	0.0476545	0.0497594	0.0536932	0.0438827	0.0371824	0.0250873	0.0169862	0.0105058	0.00900763	0.0116824	0.0146565	0.010109	0.010417	0.00906392	0.00861209	0.0109206	0.00997031	0.0101316	0.0165447	0.0174816	0.0181385	0.00805846	0.0101525	0.00589794	0.017612	0.0136524	0.0170913	0.0241683	0.0269712	0.0583608
je	0.0306853	0.0226432	0.0230899	0.0263592	0.0578279	0.0494426	0.0309915	0.02221	0.0199653	0.0309538	0.0249589	0.0179458	0.0175877	0.0209606	0.0171658	0.0208031	0.0241007	0.0275746	0.0209274	0.0344308	0.0181771	0.0199278	0.0129234	0.0205659	0.0164678	0.0141345	0.0172862	0.0139263	0.0195154	0.0181241	0.012665	0.0197948	0.0117505	0.00855117	0.0132304	0.0163329	0.0190219	0.0252926	0.023672	0.0227663	0.0254072	0.0267802	0.0630625
ne	0.128105	0.0569568	0.0293949	0.0222487	0.0235533	0.0201459	0.00819723	0.00840817	0.00912519	0.0107838	0.0129065	0.0130134	0.0127413	0.0200741	0.0240254	0.0300473	0.0341507	0.0303141	0.0233917	0.0261102	0.0244347	0.0312615	0.0219339	0.029967	0.0226167	0.0235791	0.0255366	0.0212167	0.0226388	0.0235471	0.0198506	0.0271915	0.0249968	0.02074	0.0213787	0.0123082	0.00695421	0.0106322	0.00804151	0.0107511	0.0127291	0.0134472	0.0205526
tiendrai	0.131114	0.0499183	0.0272687	0.0119461	0.0101467	0.00918654	0.00710561	0.00883518	0.00937806	0.0126148	0.0141075	0.0131868	0.0112223	0.0173173	0.0229833	0.0270654	0.0314935	0.0314689	0.0304406	0.0348448	0.0240571	0.0458298	0.031039	0.0403744	0.0290772	0.022763	0.0250208	0.0214274	0.0217876	0.0207806	0.0153698	0.015098	0.0109195	0.00830852	0.00990616	0.0099718	0.00694879	0.0101775	0.0148121	0.0194317	0.0241931	0.0236745	0.037387
