 	l	ώ	s	ω	w	á	á	í	n	ω	n	g	í	m	í	á	l	í	i	f	u	u	l	a	</S>
le	0.0139135	0.00554893	0.00596892	0.0158852	0.028872	0.0298062	0.0244671	0.0251816	0.0277321	0.0244271	0.0294114	0.0405869	0.0450926	0.0371708	0.0809147	0.145422	0.127008	0.0913341	0.0409853	0.0788492	0.0309052	0.0154474	0.0161004	0.00951549	0.00945316
riz	0.0431095	0.0591464	0.0613893	0.178699	0.117935	0.0453706	0.0659588	0.0335258	0.0212915	0.0258102	0.016524	0.0110627	0.0108039	0.00572122	0.00754398	0.0130686	0.0248261	0.0439083	0.0571331	0.0439267	0.0391383	0.0178994	0.0379197	0.0137668	0.00452073
gonfle	0.0195001	0.027905	0.0276139	0.0269357	0.0302161	0.0247542	0.0263827	0.0406747	0.0168447	0.0184507	0.024197	0.0407506	0.0696992	0.0859842	0.0834599	0.0783482	0.0793029	0.0695959	0.0623958	0.0744902	0.0263645	0.0159924	0.0152959	0.0102684	0.00457691
sous	0.0329219	0.053332	0.0662816	0.0881533	0.045094	0.0425939	0.0299617	0.0339763	0.0371817	0.0313895	0.0439427	0.0469362	0.0478478	0.0478059	0.0483254	0.0258157	0.0301523	0.0205034	0.0136591	0.01515	0.0147526	0.0238903	0.0220218	0.0331023	0.105208
l'	0.0459399	0.0420556	0.0482012	0.049552	0.0349598	0.0373113	0.0283931	0.0265303	0.0288531	0.0251998	0.0282008	0.0269963	0.0274038	0.0302404	0.0300049	0.0138174	0.0169439	0.0160641	0.0166976	0.0175601	0.021404	0.0707856	0.0780718	0.0766056	0.162208
effet	0.033201	0.0261969	0.0233546	0.0288782	0.0208208	0.0300482	0.0395164	0.0429826	0.0475941	0.0655548	0.0857755	0.0617471	0.0453788	0.0498177	0.0307815	0.0146701	0.024598	0.0182842	0.0282878	0.0283928	0.0221957	0.0379832	0.0483624	0.0584082	0.0871693
de	0.0700083	0.0576016	0.0464474	0.0386796	0.0327683	0.033094	0.0558345	0.0937899	0.0473361	0.0725897	0.0596009	0.0332943	0.0328922	0.0247049	0.016629	0.011482	0.0157584	0.0119498	0.0101132	0.00857845	0.00838595	0.0204813	0.0192758	0.0378677	0.140836
le	0.0690128	0.0557973	0.0365794	0.0368944	0.0360498	0.0323886	0.0460862	0.0654301	0.0449078	0.0427329	0.0415317	0.0375955	0.0228481	0.0143199	0.013332	0.0125965	0.011655	0.0131795	0.0123233	0.011939	0.0177766	0.0449854	0.0468715	0.0602446	0.172922
chaleur	0.0952016	0.081079	0.0683738	0.0614352	0.0388705	0.0319756	0.0160219	0.0206911	0.0227246	0.0118844	0.00880216	0.00548456	0.00335344	0.0037804	0.00639022	0.00462478	0.00547373	0.00373042	0.0122479	0.0156656	0.0256243	0.054369	0.0815178	0.0748959	0.245782
</S>	0.0754184	0.0661529	0.0605114	0.0496307	0.0341473	0.0302659	0.0326383	0.0371057	0.0345057	0.0213678	0.0237182	0.0176184	0.0162531	0.0113192	0.0064888	0.00760586	0.0142437	0.0137441	0.0141366	0.0170641	0.0254365	0.041256	0.0341095	0.0645762	0.250686
