 	n	g	á	m	w	á	s	í	á	s	ó	m	b	i	o	t	s	a	a	g	h	é	m	b	v	á	a	o	k	u	b	h	a	</S>
ma	0.0123287	0.128429	0.159089	0.0410452	0.0210431	0.0153739	0.0201212	0.0200876	0.0455809	0.0343016	0.122098	0.0427871	0.0269488	0.0468403	0.0333652	0.0286059	0.0189524	0.00921734	0.0106876	0.00640656	0.00680454	0.00534297	0.00708699	0.0063803	0.0086964	0.00957563	0.0116328	0.0143381	0.0126982	0.0154678	0.0152382	0.01679	0.0139735	0.0126656
femme	0.044613	0.0243238	0.0661456	0.141812	0.140722	0.28719	0.124902	0.0609107	0.036585	0.013149	0.00324747	0.00276868	0.00175172	0.000884105	0.00071353	0.000436604	0.000866306	0.000710042	0.000573367	0.00103739	0.00169231	0.00139271	0.00348443	0.00118183	0.00465268	0.00440391	0.00483379	0.00836602	0.00767458	0.00293927	0.00222997	0.00265583	0.000700749	0.000449588
a	0.0214269	0.0226616	0.0782829	0.0302118	0.0390487	0.0497199	0.062039	0.0896283	0.0773438	0.057159	0.0351686	0.0111178	0.0237054	0.0136905	0.0219339	0.0421834	0.0281225	0.0240638	0.0170834	0.0121632	0.0200084	0.0115049	0.0125762	0.0131347	0.0163878	0.0182209	0.0266347	0.0222441	0.0198216	0.0176759	0.0180972	0.0205238	0.0149293	0.0114862
acheté	0.044114	0.0156515	0.017931	0.0177063	0.0202126	0.0169426	0.0173768	0.0125701	0.0208945	0.0189712	0.0277376	0.0429626	0.072757	0.0272833	0.0237501	0.0201721	0.0278563	0.0432462	0.0245985	0.0234411	0.0182522	0.0232844	0.0215087	0.0348352	0.0306545	0.0260028	0.0340066	0.0336715	0.0285937	0.0339011	0.0387607	0.0425892	0.0484895	0.0492746
une	0.0894937	0.0293348	0.0215931	0.0213463	0.0225951	0.0199547	0.0169864	0.0180453	0.0214386	0.0175481	0.0184248	0.0231205	0.0234587	0.0261779	0.0326559	0.0342764	0.0374446	0.0299427	0.0422188	0.0202046	0.0478314	0.0417653	0.039674	0.0270556	0.0212698	0.0220795	0.0166717	0.0190586	0.0167611	0.0203314	0.0283924	0.0252762	0.0370693	0.0705026
houe	0.0309289	0.0146887	0.0163484	0.0177224	0.0178605	0.0135001	0.0145373	0.0185469	0.0146719	0.0130947	0.0163687	0.0196514	0.0164998	0.0289351	0.036158	0.044183	0.0316321	0.0360279	0.0384409	0.0307966	0.0328832	0.0277001	0.0368324	0.0259692	0.0365597	0.0548487	0.0245625	0.0456033	0.0486117	0.0351031	0.0209919	0.035238	0.0470361	0.0574666
chez	0.0216058	0.019828	0.0199767	0.0170497	0.0107972	0.0119984	0.00711262	0.018815	0.00784496	0.0161268	0.0236052	0.0288889	0.0126537	0.0290667	0.0284335	0.0255858	0.0248002	0.0621027	0.055776	0.0485226	0.0359669	0.0672477	0.0560455	0.0454808	0.0486754	0.0391435	0.0335283	0.0338755	0.0291964	0.0162406	0.0117626	0.0178742	0.0341566	0.0402155
le	0.0355381	0.0334589	0.0306212	0.027529	0.0209106	0.0279408	0.0149343	0.0286003	0.0136729	0.0142547	0.008519	0.00880441	0.0154864	0.009686	0.0107954	0.0096208	0.01134	0.0324299	0.0300335	0.0236275	0.0261526	0.0335552	0.0252201	0.0306769	0.041677	0.0398781	0.0476011	0.0468897	0.0490247	0.0477764	0.0508476	0.0483515	0.0502182	0.0543274
forgeron	0.0517219	0.0493648	0.033613	0.034997	0.0253218	0.0228839	0.011613	0.0121175	0.0108776	0.0135102	0.0154064	0.0225968	0.0243365	0.0238538	0.0273474	0.0262229	0.0281126	0.0576838	0.0417135	0.0369228	0.0244813	0.0346082	0.0272834	0.0171027	0.0200467	0.0177259	0.0118699	0.0180053	0.0210377	0.022619	0.0181409	0.0439054	0.0629637	0.0899928
</S>	0.0455788	0.045069	0.0364079	0.0434348	0.0373424	0.046824	0.0242052	0.0312761	0.0269415	0.0276315	0.0176544	0.0172694	0.0388825	0.0191492	0.0269854	0.0380778	0.0270372	0.0445375	0.0529697	0.0326994	0.0213846	0.017309	0.0176267	0.0133917	0.0193898	0.0172068	0.0120774	0.0120802	0.0127994	0.00961667	0.00866805	0.0236134	0.0434378	0.091425
