 	o	k	i	a	m	á	n	d	z	á	a	b	á	a	t	i	m	b	á	m	ó	p	ω	s	ώ	</S>
le	0.00775987	0.00733659	0.00412471	0.00400298	0.00460442	0.00511584	0.0313969	0.0376954	0.0311768	0.062161	0.118511	0.0890732	0.102236	0.10231	0.0869684	0.07468	0.0551582	0.0386129	0.0219017	0.0175104	0.0166063	0.0148298	0.0187381	0.0158871	0.0173478	0.0142552
filet	0.0306263	0.0269384	0.035466	0.0435466	0.0202159	0.0202868	0.0329951	0.0697537	0.131712	0.108303	0.20233	0.127059	0.0655444	0.0172435	0.0169113	0.0138607	0.0104419	0.00904265	0.00393405	0.00476663	0.00276452	0.00286879	0.00202905	0.000729934	0.000487405	0.000141307
pour	0.0959976	0.085739	0.0979356	0.0789284	0.095268	0.0700846	0.0428375	0.0423676	0.0191611	0.0271861	0.025317	0.0216127	0.0295727	0.0339314	0.0338179	0.035722	0.0433064	0.0391353	0.0213095	0.0180753	0.00835551	0.0086934	0.00852864	0.00666153	0.00754309	0.00291217
la	0.021807	0.0326114	0.0334683	0.0425927	0.0396012	0.0444593	0.0494696	0.0333357	0.0322887	0.0380358	0.0352554	0.0247897	0.0289612	0.0363009	0.0365355	0.0393598	0.0470438	0.0330962	0.0296115	0.0259423	0.0322662	0.0454861	0.0522443	0.0454863	0.0547116	0.0652394
chasse	0.0237816	0.00902756	0.010179	0.0203773	0.0211417	0.0258141	0.041448	0.0453428	0.051396	0.056752	0.0441538	0.0278865	0.0239473	0.0263705	0.0416181	0.0537297	0.0884005	0.0602764	0.0555252	0.0543462	0.043488	0.0489617	0.0457522	0.0340456	0.0296194	0.0166189
aux	0.0580678	0.0766083	0.058468	0.0413101	0.0299837	0.0265479	0.0232182	0.0289455	0.0299157	0.0445997	0.0339904	0.0253618	0.0213167	0.0078653	0.00638131	0.00611553	0.0099575	0.007719	0.0129301	0.0157438	0.0274468	0.0330603	0.05163	0.0625782	0.0836417	0.176597
buffles	0.0417619	0.034083	0.019983	0.018923	0.0245628	0.0351938	0.0512527	0.0432665	0.0462133	0.0382	0.0347999	0.0324765	0.0263673	0.0166918	0.0212487	0.0295336	0.0349699	0.0374067	0.0397909	0.0444184	0.0506749	0.0497678	0.052174	0.0483994	0.0526725	0.0751677
est	0.0637476	0.0482927	0.0366826	0.0285789	0.0283692	0.0290365	0.0315343	0.0210887	0.0223843	0.0193228	0.0167239	0.0200674	0.0207682	0.0378746	0.0534566	0.0725238	0.0860723	0.0391125	0.0326811	0.0303909	0.0342987	0.0340212	0.0396254	0.0421997	0.0442039	0.066942
fabriqué	0.113874	0.0562033	0.044481	0.0283154	0.0106609	0.00680841	0.00631591	0.00349682	0.00408192	0.00392376	0.00347056	0.00456079	0.00540317	0.0144874	0.0128808	0.0178708	0.0242293	0.0416225	0.0517953	0.0592811	0.0634557	0.0593707	0.0572103	0.106327	0.110289	0.0895839
avec	0.177589	0.068342	0.0450773	0.0224224	0.0193036	0.0189488	0.0198723	0.0150621	0.00979744	0.00654885	0.00442184	0.00530602	0.00833957	0.0194229	0.0247265	0.0346208	0.0390709	0.0542669	0.0485287	0.0497808	0.0333503	0.0280584	0.0366307	0.0473911	0.0557182	0.107402
l'	0.113541	0.060198	0.0404894	0.0223662	0.0165601	0.0104907	0.0102925	0.00533663	0.00433904	0.00418469	0.003226	0.00287568	0.00300447	0.0053658	0.00359885	0.00717231	0.0100523	0.0255477	0.0324753	0.0417091	0.0606114	0.0627987	0.0652348	0.106744	0.10228	0.179506
écorce	0.0603658	0.0343163	0.0296612	0.0201585	0.00860224	0.0049108	0.00385804	0.00357658	0.00290368	0.00360784	0.0028077	0.0027415	0.00326583	0.00619463	0.0085428	0.0126045	0.0315927	0.0548283	0.0586334	0.0834778	0.115149	0.0864566	0.0535195	0.0897077	0.0756241	0.142893
de	0.134674	0.0559389	0.038605	0.0244324	0.0221541	0.0137241	0.0155156	0.00685413	0.00626791	0.00652893	0.0053433	0.00627137	0.0085488	0.0210623	0.0176494	0.0245091	0.0338857	0.0400483	0.0387134	0.0402192	0.0474874	0.049076	0.0578359	0.0785692	0.0738003	0.132285
l'	0.114151	0.0587473	0.0394489	0.0274396	0.0182718	0.0113948	0.013354	0.00709559	0.00560149	0.00589008	0.00521371	0.0038007	0.00495144	0.00863274	0.00691891	0.0134594	0.0189537	0.0332637	0.0400941	0.0456197	0.0693489	0.0830949	0.0788	0.0918611	0.0702488	0.124343
arbuste	0.0653042	0.0255134	0.018455	0.0167768	0.00584343	0.00329469	0.00254533	0.00170484	0.00174461	0.00161983	0.00236369	0.00297534	0.00380886	0.00837051	0.00760048	0.0132257	0.0241569	0.0357756	0.0545562	0.0563922	0.0867258	0.0898618	0.0897239	0.128465	0.10755	0.145646
leposo	0.0542765	0.0179807	0.0125893	0.0172193	0.0139123	0.0129418	0.0108507	0.00641024	0.00752924	0.00584965	0.00925781	0.0122566	0.0155632	0.0289586	0.0201449	0.0296039	0.0411243	0.0467471	0.051588	0.0634258	0.0988857	0.0881378	0.0543253	0.0867699	0.0600713	0.13358
</S>	0.0891125	0.0603105	0.0457607	0.0294746	0.0331709	0.0299881	0.0337722	0.0178449	0.0139836	0.0158368	0.0125648	0.0108983	0.0120883	0.020341	0.021796	0.0285227	0.0583459	0.0426622	0.0377709	0.0380658	0.0484431	0.0444026	0.0449606	0.0494232	0.0498827	0.110577
