 	m	w	á	n	a	i	b	a	a	w	ó	l	á	a	p	f	ú	r	á	k	ώ	n	g	í	y	í	t	ώ	ω	</S>
ce	0.00496938	0.0044943	0.00723615	0.0042681	0.0056163	0.00501256	0.00565805	0.00708805	0.00898368	0.0109796	0.00974372	0.0118666	0.0264131	0.0514116	0.0575805	0.0741535	0.0928771	0.135679	0.123146	0.043217	0.036289	0.0305092	0.0347029	0.0336378	0.0269767	0.0328752	0.0286813	0.0297853	0.033237	0.0229114
jeune	0.0410283	0.0483765	0.14596	0.128383	0.186256	0.13814	0.0985364	0.0437955	0.0150301	0.0275809	0.00725462	0.0210134	0.0038293	0.0182739	0.0181211	0.00741918	0.00254427	0.00822656	0.00439033	0.00323858	0.00314998	0.00250757	0.00224807	0.0033021	0.00282467	0.00697343	0.00494526	0.0035613	0.001093	0.00199658
garçon-ci	0.0147424	0.0235673	0.0199328	0.0235067	0.0198394	0.0464676	0.0545759	0.117639	0.0957171	0.0982398	0.0560236	0.117267	0.0508311	0.039493	0.0401058	0.0133434	0.0121065	0.0248498	0.0282245	0.0130832	0.0135566	0.00756375	0.00739235	0.0136438	0.00640446	0.013134	0.00802569	0.00545139	0.00653403	0.00873856
recherche	0.0510093	0.062963	0.038022	0.0289451	0.0278295	0.0248586	0.0333361	0.0312945	0.0211008	0.00977955	0.0214515	0.010665	0.0192322	0.0144012	0.0359321	0.0260515	0.0268519	0.0323967	0.0234893	0.0316411	0.0265437	0.0486853	0.0616491	0.0551424	0.0661446	0.0386576	0.0498154	0.0298155	0.0233823	0.0289133
une	0.109962	0.0662028	0.0311655	0.0368549	0.0480278	0.02714	0.0360786	0.026289	0.012871	0.024637	0.0136966	0.0248429	0.0195209	0.0157598	0.0284538	0.0311448	0.0186052	0.0246382	0.0359669	0.024282	0.0193688	0.0106994	0.0264311	0.0251746	0.0169078	0.023243	0.0372989	0.0471556	0.0521641	0.0854171
carafe	0.0381457	0.0435229	0.054536	0.0468148	0.0398965	0.0201994	0.0204457	0.0226171	0.0183405	0.0250451	0.0169485	0.0264341	0.0241749	0.0225321	0.0220576	0.0222456	0.0185771	0.0192391	0.0122801	0.0186086	0.0216415	0.0201662	0.0500988	0.0470943	0.0422817	0.0356482	0.0693227	0.0565777	0.0465474	0.07796
en	0.0457982	0.0574178	0.0721634	0.0683886	0.0527404	0.0204333	0.024048	0.0267903	0.0165627	0.017479	0.0164489	0.0236149	0.0352772	0.0223662	0.03082	0.0257146	0.0202376	0.0129966	0.00518878	0.0128231	0.00949897	0.0203869	0.0309087	0.0299323	0.0559546	0.0247767	0.0512505	0.0538033	0.0559398	0.0602387
porcelaine	0.0625277	0.0667946	0.058515	0.0724074	0.0456316	0.0210365	0.0301951	0.0434541	0.0267283	0.0250851	0.0263148	0.037851	0.0307213	0.037253	0.0713237	0.0811599	0.0452643	0.0277413	0.0124642	0.018499	0.00640051	0.00579311	0.0133324	0.0107866	0.0145319	0.0111386	0.0165747	0.0188944	0.0276616	0.0339185
pour	0.0667061	0.0552913	0.0387403	0.0384149	0.0355373	0.0159392	0.0253892	0.0247811	0.0239188	0.0110248	0.0164105	0.0151248	0.0178875	0.0165521	0.034298	0.0273559	0.0211127	0.0116809	0.00765015	0.0167689	0.0185822	0.0255147	0.0327697	0.0295638	0.0501836	0.0253419	0.0424892	0.0561016	0.0818198	0.117049
la	0.0592977	0.0557782	0.044588	0.0301597	0.0294029	0.0178308	0.0242624	0.0165833	0.0133904	0.0120429	0.0113877	0.0117528	0.0154351	0.00607232	0.0146679	0.0164558	0.0150296	0.0157352	0.0146493	0.0267698	0.0202135	0.0286817	0.034311	0.0481783	0.0691208	0.0450661	0.0685966	0.0734051	0.082379	0.0787561
dot	0.0608272	0.0911733	0.0790455	0.0693092	0.0487259	0.0546495	0.0407348	0.042207	0.0371398	0.0400789	0.0309414	0.0318319	0.033259	0.0121475	0.028915	0.0191192	0.0386189	0.00907526	0.00617972	0.0170436	0.00800787	0.0210955	0.0244629	0.014498	0.0189655	0.0164726	0.0158061	0.0202294	0.0400891	0.0293504
</S>	0.0849928	0.0488815	0.0379398	0.0301815	0.0409916	0.0370134	0.0361802	0.0384677	0.0286875	0.0207647	0.0247224	0.0266538	0.0207155	0.0167138	0.0157727	0.0221843	0.0126522	0.0125307	0.0133471	0.021856	0.0292082	0.0209677	0.0310452	0.0399365	0.0275137	0.0357432	0.0272454	0.0312678	0.0526896	0.113133
