 	e	k	y	é	n	i	y	í	b	v	ú	a	é	d	í	b	ω	ó	k	ó	ó	</S>
il	0.0170416	0.0500013	0.0713877	0.0693454	0.0740552	0.0476385	0.0442531	0.0872391	0.0766824	0.0635922	0.0447381	0.031397	0.0283686	0.0377302	0.0569566	0.0567934	0.0403097	0.0168577	0.0171997	0.0164454	0.0228802	0.0290868
y	0.152546	0.123332	0.0497453	0.0667538	0.0183349	0.0117163	0.025503	0.0113117	0.00545364	0.00499692	0.00499936	0.0270035	0.0293395	0.0383449	0.0754877	0.0454282	0.0509795	0.0966261	0.068943	0.0312145	0.0234015	0.0385383
a	0.154268	0.121782	0.075422	0.0706807	0.0314475	0.0256732	0.0319299	0.0259562	0.00855783	0.0105861	0.0208611	0.0448693	0.0362126	0.0423189	0.0471125	0.0505325	0.0330565	0.0349448	0.0279421	0.0365385	0.035217	0.0340913
un	0.0719518	0.057899	0.0419592	0.0631564	0.031643	0.045705	0.0664437	0.037394	0.0287669	0.0380471	0.0509667	0.0474885	0.0569416	0.0875977	0.0460272	0.0413468	0.0334809	0.0370367	0.0281772	0.0265262	0.0321259	0.0293184
morceau	0.0455875	0.0419079	0.0381119	0.0468559	0.07799	0.0980106	0.0579619	0.0524447	0.0391592	0.0354742	0.051349	0.0507554	0.0400741	0.0307341	0.0200852	0.0261173	0.0279998	0.0233541	0.0381923	0.0491743	0.0398769	0.0687837
de	0.0767307	0.0526845	0.0324203	0.0300723	0.0345734	0.047456	0.0368888	0.0247113	0.0152494	0.0108764	0.00710568	0.00821558	0.00840013	0.022258	0.0270483	0.0361704	0.030337	0.0526933	0.0571703	0.0705669	0.0865579	0.231813
bois	0.134424	0.0943827	0.0368545	0.0260486	0.0169187	0.0263286	0.0185738	0.0131515	0.00902383	0.00577535	0.00545047	0.00908516	0.00784342	0.0144871	0.0287763	0.05015	0.0608269	0.0556054	0.0713908	0.0761352	0.0731292	0.165638
sur	0.0544979	0.0396254	0.0313175	0.0256643	0.0219879	0.0192191	0.0123271	0.0064918	0.00789163	0.0122641	0.0186647	0.0135993	0.019998	0.0224264	0.0474618	0.0244816	0.0322346	0.102584	0.072272	0.130133	0.104745	0.180113
la	0.105882	0.0814024	0.0463723	0.0446676	0.0154457	0.0122774	0.00673993	0.00517871	0.00339778	0.00251728	0.005838	0.00905376	0.0086073	0.0134841	0.0187287	0.032639	0.0721796	0.0756606	0.108762	0.0912848	0.102604	0.137277
route	0.0722197	0.0549674	0.0241908	0.0218282	0.00917128	0.0067323	0.00361839	0.00495172	0.00422235	0.00603391	0.0104568	0.0106906	0.019908	0.0140359	0.0274478	0.0220619	0.0292732	0.066748	0.13475	0.141816	0.139013	0.175863
</S>	0.102284	0.0909786	0.0701018	0.0736796	0.034225	0.0254101	0.0136546	0.0070825	0.00213344	0.00207379	0.00272895	0.0034404	0.00241476	0.004152	0.00633643	0.0122957	0.0250081	0.0378462	0.0908244	0.0940987	0.108982	0.190249
