 	e	l	a	a	n	í	l	í	y	í	i	y	á	m	o	r	o	y	e	e	d	i	p	ó	s	á	o	t	i	a	k	a	á	</S>
cette	0.0181473	0.0258635	0.0247075	0.0314841	0.0181508	0.0134602	0.0125816	0.0157544	0.011101	0.0303004	0.0536417	0.0363605	0.04089	0.0227591	0.0234096	0.0156262	0.0188978	0.0160793	0.0170032	0.0157217	0.0140311	0.0111695	0.0125848	0.0226213	0.0235044	0.0471468	0.0360319	0.046636	0.059671	0.0642854	0.0614162	0.0504619	0.0494479	0.0390516
manière	0.0058585	0.0112148	0.0113911	0.0130724	0.0181365	0.0317561	0.0473702	0.054278	0.0999946	0.063272	0.1581	0.105816	0.0582107	0.0412036	0.0277682	0.0151643	0.0297396	0.00643325	0.00995096	0.0120609	0.0155223	0.0196528	0.00880562	0.0156978	0.0105061	0.0135147	0.0108997	0.00910321	0.00378092	0.0172364	0.0386237	0.00338546	0.00871094	0.00376881
de	0.196098	0.0903818	0.0618376	0.023469	0.0190153	0.018517	0.00805626	0.0034674	0.00428368	0.00390617	0.0160776	0.00996231	0.010732	0.0254345	0.0408788	0.0547793	0.0388246	0.0522422	0.0404756	0.0533733	0.0632122	0.0318772	0.0207081	0.0182684	0.0180673	0.013666	0.016846	0.00922259	0.00403336	0.00331477	0.00428507	0.00391517	0.00664052	0.0141308
dire	0.0574936	0.0520413	0.0414205	0.037993	0.0316973	0.0221041	0.0213479	0.0193435	0.025186	0.0155294	0.0192628	0.0172449	0.0180031	0.0100538	0.0162076	0.0175384	0.0211484	0.0265775	0.0174608	0.0468191	0.0516192	0.0624139	0.035662	0.0191658	0.0373872	0.0212036	0.0234984	0.0288578	0.0256234	0.0314996	0.0205036	0.0136149	0.0186609	0.0758167
au-revoir	0.0488384	0.0338607	0.0320987	0.022991	0.0172594	0.0191405	0.0168635	0.0146313	0.0115285	0.0122895	0.00996517	0.0207164	0.0288946	0.0294109	0.0469499	0.0443447	0.0656763	0.0730374	0.0663703	0.0801962	0.0678691	0.0814077	0.0408908	0.0174153	0.0244288	0.0116754	0.0134757	0.00752566	0.00407112	0.0039065	0.00414995	0.0045127	0.00455459	0.0190531
est	0.0497453	0.0454164	0.0285908	0.0189634	0.0139659	0.0178697	0.0152204	0.0172836	0.020753	0.0230043	0.0120363	0.0165566	0.0188233	0.0180248	0.0276388	0.0366045	0.0558921	0.0697724	0.0578186	0.0612951	0.0417029	0.0577464	0.0384859	0.0273106	0.0526702	0.0306504	0.0477633	0.017535	0.00275941	0.00230254	0.00467998	0.00291182	0.00840962	0.0397967
celle	0.0242854	0.0168115	0.010569	0.00755176	0.00878162	0.0200675	0.0401686	0.0328139	0.0225619	0.0274326	0.0248839	0.0120365	0.0133733	0.0120432	0.0121516	0.021091	0.0158016	0.0201428	0.0226698	0.0336917	0.0485572	0.076622	0.0666251	0.0804516	0.0588289	0.0328336	0.0430997	0.0131413	0.0106727	0.0139608	0.0332262	0.0134385	0.042501	0.0671123
de	0.0305177	0.0368031	0.0255358	0.0259475	0.0328165	0.0331075	0.0393767	0.0364038	0.0413885	0.0500235	0.0313828	0.0195753	0.0139257	0.0126543	0.0114357	0.0168584	0.0124336	0.0307381	0.0161686	0.0360428	0.0209665	0.0461887	0.044728	0.0324819	0.0486483	0.0292574	0.0420104	0.0300992	0.0198823	0.016505	0.0216847	0.011791	0.0248541	0.0577667
quelqu'	0.0539393	0.0352651	0.0337841	0.0249078	0.029973	0.0192719	0.0207258	0.0150012	0.0111541	0.00867272	0.0154749	0.0232098	0.030389	0.0273154	0.0350215	0.0602053	0.052308	0.0578548	0.0456522	0.0431514	0.0292678	0.041508	0.0379493	0.0206438	0.0218635	0.0126079	0.0169817	0.015883	0.0094776	0.0106998	0.0266587	0.0120121	0.0253752	0.0757942
un	0.0499551	0.0365841	0.0614705	0.0317085	0.0357713	0.0256764	0.0234585	0.0209704	0.0106499	0.00935062	0.00734724	0.0153791	0.0185221	0.0173385	0.0269016	0.0519796	0.0510942	0.0441434	0.0366854	0.027854	0.0289522	0.0451887	0.0424516	0.021593	0.0146091	0.0116011	0.0126232	0.0105482	0.00588434	0.00628739	0.0257236	0.00922343	0.039047	0.123427
