 	m	b	ω	n	g	ω	á	k	ú	n	d	á	b	e	a	b	á	á	l	é	m	b	á	ó	t	s	é	y	ó	b	é	é	</S>
mbongo	0.00722739	0.0105336	0.0086294	0.00719446	0.0113784	0.00722362	0.00963192	0.0196578	0.0312566	0.052091	0.0616738	0.0713769	0.0684595	0.0755043	0.0916802	0.100857	0.0599707	0.0407176	0.0345076	0.0255596	0.0211544	0.0170373	0.0153231	0.0143989	0.0135819	0.0128914	0.0120055	0.0136151	0.00950879	0.0118058	0.021836	0.0266234	0.0150867
avait	0.0760801	0.0746994	0.0571016	0.0535333	0.0580345	0.0344828	0.0521222	0.028298	0.0247169	0.0232715	0.0257627	0.0236611	0.014569	0.0130576	0.0178977	0.0189806	0.0207609	0.0390122	0.0307603	0.0381845	0.0366254	0.0187796	0.0305359	0.0209435	0.0165282	0.0141075	0.0133309	0.0221116	0.0132085	0.021496	0.0241399	0.0292273	0.013979
retrouvé	0.128332	0.0676536	0.053332	0.0568803	0.0557924	0.051846	0.0391804	0.0169649	0.00667554	0.00883657	0.00866329	0.0134172	0.0115432	0.013127	0.0147931	0.0170793	0.0264133	0.0392402	0.0338716	0.0376065	0.0288987	0.0338713	0.0435062	0.0419052	0.0284408	0.0192504	0.0288232	0.0315129	0.0120738	0.00859491	0.00945412	0.00775391	0.00466593
les	0.0413733	0.0474637	0.0582391	0.0682323	0.0777649	0.0953564	0.107212	0.0556714	0.0173249	0.0165391	0.0176504	0.0117066	0.0154665	0.028012	0.0264076	0.0227056	0.0218017	0.0178514	0.0137662	0.00990668	0.0114371	0.0127934	0.00997789	0.0117002	0.0161703	0.0127623	0.0180295	0.0141537	0.0177682	0.0217255	0.0187531	0.0207637	0.0435137
objets	0.10511	0.102983	0.0711467	0.0598092	0.0488007	0.046257	0.0396514	0.0191798	0.0145331	0.014862	0.0136893	0.0133078	0.0123166	0.00834056	0.00808988	0.00980305	0.0104285	0.0210928	0.0103426	0.0126122	0.0138557	0.0101375	0.00804347	0.0162525	0.00890491	0.00764683	0.00845949	0.0232991	0.0217353	0.0218824	0.0475743	0.0538216	0.116031
disparus	0.0671505	0.0739902	0.0664634	0.0644407	0.0519759	0.0450901	0.0440335	0.0279533	0.0168556	0.0147702	0.0147677	0.0145221	0.015331	0.0162906	0.0159593	0.0154097	0.0138419	0.0252922	0.027433	0.025551	0.0218773	0.0229887	0.0121761	0.0244024	0.0167635	0.0170027	0.0117472	0.0184159	0.018171	0.0212022	0.0316371	0.0418767	0.0846173
sous	0.0875676	0.0553953	0.04633	0.0401606	0.0329472	0.0300375	0.0310476	0.021988	0.0134134	0.0136132	0.0115228	0.00621987	0.00609918	0.0053944	0.00660808	0.00737714	0.00961163	0.0171883	0.0196363	0.0174017	0.0214796	0.0243368	0.0156449	0.0250247	0.0246573	0.0239295	0.0223613	0.0251949	0.0300729	0.0457038	0.0463517	0.0749377	0.140745
le	0.0642299	0.0380125	0.0355576	0.0365108	0.0310184	0.0410538	0.0409089	0.027305	0.0126168	0.0117576	0.0129042	0.0108424	0.00981255	0.00888497	0.00677498	0.00848314	0.00851541	0.01031	0.0111512	0.0137733	0.0164649	0.0134928	0.0109094	0.0224617	0.0255161	0.027569	0.0232488	0.0320704	0.0352875	0.0601336	0.0596504	0.0734663	0.159306
lit	0.0903658	0.066009	0.0477701	0.0388165	0.0264193	0.0132702	0.00786595	0.00565768	0.00661874	0.00736857	0.00668209	0.00707353	0.00731564	0.0070648	0.00747277	0.00714138	0.00739022	0.0128522	0.0137563	0.0155406	0.0175347	0.00981903	0.010856	0.023782	0.0143596	0.0170456	0.0229113	0.0438402	0.0405674	0.0853737	0.0915869	0.0873315	0.132541
</S>	0.132445	0.0495939	0.0382316	0.0311996	0.0274261	0.0265887	0.0261835	0.0203829	0.0130681	0.0157634	0.0179728	0.0138992	0.00997752	0.00503815	0.00575239	0.00522947	0.00516528	0.00824552	0.0107703	0.0157966	0.0204087	0.0298973	0.022811	0.0334352	0.0401931	0.043807	0.0255911	0.0220494	0.0383597	0.0401395	0.0350383	0.0655516	0.103988
