 	b	í	s	í	l	é	w	ú	r	u	o	k	w	ε	r	έ	n	g	ω	s	í	s	á	k	ω	</S>
nous	0.14161	0.174656	0.118242	0.0544561	0.0394436	0.0172572	0.0306309	0.0183915	0.0259165	0.0247551	0.0137559	0.0242087	0.0199478	0.0245264	0.0293285	0.0410553	0.0302695	0.0411514	0.0213384	0.0135011	0.0209452	0.0159908	0.0185251	0.00937626	0.00802808	0.0226929
venons	0.0135678	0.0166761	0.012944	0.0225761	0.0371198	0.0669865	0.0356574	0.0709676	0.109971	0.121435	0.119419	0.0670811	0.0698881	0.110414	0.0427589	0.0312735	0.00513707	0.00516914	0.0064293	0.0035788	0.00604337	0.00842416	0.00701188	0.00415267	0.0024525	0.00286481
de	0.0497993	0.113564	0.0743518	0.0498054	0.0283451	0.0221633	0.0273367	0.0312831	0.0309615	0.0273172	0.0341729	0.0254577	0.032742	0.0276968	0.0175346	0.0223447	0.0226099	0.0226636	0.0300744	0.0218765	0.0184655	0.0286261	0.0468501	0.0595717	0.10172	0.0326658
couper	0.0203568	0.0188103	0.0213345	0.0215528	0.026152	0.0292443	0.0267584	0.0286934	0.0299179	0.0240011	0.0307439	0.028048	0.0390737	0.0427754	0.0412381	0.0363488	0.035231	0.0451604	0.07314	0.0711617	0.0531015	0.0343096	0.0379572	0.0478287	0.0503195	0.0867412
des	0.0295683	0.0304533	0.0283767	0.0321064	0.0233705	0.0117272	0.016599	0.00971082	0.0110551	0.00653475	0.0101065	0.0181882	0.0299427	0.0259319	0.038721	0.034595	0.0545094	0.0446231	0.0569908	0.0728769	0.0650887	0.0567005	0.0467669	0.0591792	0.0704722	0.115805
lianes	0.0192939	0.0139099	0.0129466	0.0170941	0.0173991	0.0179461	0.0162195	0.0156391	0.0169429	0.0186987	0.0173666	0.0256935	0.0468752	0.0328054	0.0366866	0.0370786	0.0551478	0.0602852	0.0712665	0.0696123	0.045786	0.0443772	0.03973	0.0469646	0.0669652	0.13727
dans	0.0127893	0.00993294	0.00937315	0.0152425	0.0161321	0.0252924	0.0316011	0.0231993	0.0293004	0.0235606	0.0288113	0.0374437	0.0501538	0.0421238	0.0549673	0.0507912	0.0605023	0.0527791	0.0495193	0.0489368	0.0405299	0.0429656	0.0428432	0.0478723	0.0534181	0.0999186
la	0.0310884	0.0193112	0.0179386	0.021191	0.0247143	0.0224323	0.0264159	0.0255505	0.0220625	0.0140143	0.013962	0.0148657	0.0217239	0.0167345	0.0174449	0.0239167	0.0293381	0.0358853	0.054041	0.0589389	0.0797347	0.0718991	0.0706405	0.0784984	0.0783011	0.109356
forêt	0.0268038	0.026724	0.025016	0.0223217	0.0135785	0.0081846	0.00871491	0.00752381	0.00869749	0.00925367	0.0112946	0.00895358	0.0185256	0.0123726	0.0191455	0.0195807	0.0213648	0.029386	0.0476905	0.0408501	0.0765803	0.078601	0.102862	0.12221	0.0923782	0.141386
</S>	0.0355346	0.0274816	0.0221578	0.0186061	0.0151803	0.014879	0.0197819	0.0157529	0.0207773	0.0205038	0.0275596	0.0191488	0.0339417	0.021683	0.0227641	0.0206249	0.0214987	0.0242887	0.0366305	0.0468459	0.0585737	0.058969	0.0715305	0.0986308	0.0951181	0.131537
