 	a	b	v	ú	ε	b	á	a	l	á	á	s	á	n	g	á	p	ώ	ω	y	é	é	d	i	n	g	á	o	y	é	b	h	a	έ	</S>
la	0.0455528	0.0123959	0.00896619	0.00967603	0.0114881	0.0161549	0.0292046	0.0325126	0.0419533	0.0381392	0.0453017	0.0523659	0.0456102	0.0473351	0.0464438	0.0458557	0.0484968	0.0448796	0.0414116	0.0430589	0.0266993	0.023157	0.0192893	0.0119263	0.0126659	0.0179353	0.0246402	0.0198454	0.0182802	0.0183529	0.0191663	0.022702	0.020795	0.0227762	0.014966
belle	0.0573707	0.0292623	0.037993	0.0259498	0.0069467	0.00610343	0.00789939	0.0162102	0.0112791	0.00742678	0.0106751	0.0177517	0.00871545	0.0246162	0.0494235	0.105172	0.116832	0.0877516	0.0451997	0.0401731	0.0438012	0.0374436	0.0434707	0.029334	0.0278266	0.0148913	0.0132829	0.0151097	0.0170108	0.0102553	0.0152789	0.00710397	0.00736072	0.0031265	0.00195144
famille	0.0536451	0.0277807	0.0158855	0.0146828	0.0106029	0.0167145	0.0455978	0.0463683	0.0289052	0.0385787	0.0242879	0.0258485	0.0432849	0.030411	0.0436485	0.0441973	0.024305	0.0274092	0.0319705	0.0223408	0.0248699	0.0299651	0.0236372	0.0417105	0.0383566	0.0356229	0.0202982	0.0440863	0.0427607	0.02471	0.0174787	0.0120392	0.00939923	0.0107815	0.00781891
m'	0.0330922	0.0392022	0.0415056	0.0438921	0.060677	0.0618091	0.0580058	0.0350622	0.0461114	0.0512505	0.0701801	0.0579039	0.0722801	0.0808723	0.0850298	0.0351668	0.0216606	0.0140222	0.00472734	0.0033208	0.00292787	0.00354349	0.0027277	0.00745532	0.00544629	0.00478808	0.00668355	0.0035716	0.00638396	0.00818083	0.00643126	0.00483915	0.00362684	0.00638278	0.0112393
implique	0.0235903	0.017796	0.0204522	0.0208509	0.0194423	0.0198502	0.0225769	0.0196722	0.0165964	0.0192256	0.025879	0.0569534	0.0730772	0.0835761	0.0956634	0.0720361	0.0287265	0.025561	0.0255301	0.0285982	0.0303664	0.0327511	0.0315525	0.0292316	0.0170087	0.0176059	0.0150875	0.00675186	0.00893631	0.0103511	0.0106954	0.0117283	0.0113647	0.022499	0.0284156
dans	0.040738	0.02148	0.0169909	0.0139264	0.0124126	0.0120646	0.0112241	0.0116905	0.00972935	0.00910042	0.0086441	0.0128936	0.0147752	0.0247447	0.0304638	0.0260355	0.0207602	0.0192756	0.0337904	0.041324	0.0487598	0.0603065	0.0518524	0.0600595	0.0408092	0.034232	0.0424161	0.0306944	0.0298051	0.031563	0.0350294	0.0321436	0.0298977	0.0409042	0.039463
des	0.0321959	0.0237635	0.0249577	0.0187044	0.0250023	0.0218537	0.0290127	0.0268019	0.0232311	0.0204833	0.0200358	0.017279	0.0187402	0.0224685	0.0249866	0.024556	0.0268387	0.0232726	0.0285879	0.0291676	0.0393247	0.0429992	0.0399932	0.0309756	0.0196303	0.015332	0.0262818	0.0224539	0.0253596	0.0285415	0.0370366	0.0312088	0.0388789	0.0433676	0.076677
affaires	0.0243111	0.0322412	0.036272	0.0376988	0.0371539	0.0241571	0.0196044	0.0194258	0.0175278	0.0135562	0.0115516	0.0056695	0.00507791	0.00564662	0.0059162	0.00870094	0.010743	0.0129331	0.0115302	0.0129611	0.0190436	0.0264735	0.0198092	0.0210638	0.0240988	0.0247765	0.0142895	0.031599	0.0450428	0.0488492	0.0261026	0.0500132	0.0734077	0.0750838	0.147668
que	0.0255837	0.0331232	0.0348575	0.0350729	0.0384636	0.0317314	0.0338382	0.0350255	0.0320563	0.0284817	0.030101	0.0362012	0.0383422	0.0500066	0.0497193	0.0404352	0.0223254	0.023036	0.016767	0.0186873	0.0193009	0.0104094	0.0109858	0.0119263	0.0123041	0.0101645	0.0155809	0.0126051	0.0140936	0.0179444	0.0203083	0.0196187	0.0350348	0.0330351	0.102833
je	0.0624669	0.0383808	0.0359416	0.0339586	0.0438735	0.0418019	0.0257406	0.0216958	0.0140258	0.0167701	0.00663328	0.00680545	0.0112012	0.0121499	0.015202	0.013855	0.00847773	0.0115318	0.0200472	0.0300516	0.0360798	0.0347262	0.0369587	0.0354756	0.0334523	0.0301357	0.0387771	0.0255693	0.0269396	0.0301929	0.0333138	0.026316	0.0352049	0.0495959	0.0566513
ne	0.0635213	0.0501828	0.0411572	0.0584506	0.0325048	0.0173686	0.0128265	0.0120755	0.0108954	0.00744453	0.00486412	0.00281614	0.0028612	0.00516122	0.00459779	0.00597777	0.0050608	0.00648033	0.0118096	0.0137221	0.0173411	0.015647	0.0172333	0.0287204	0.0284257	0.0302347	0.0484084	0.0215524	0.0357717	0.0489261	0.0449052	0.0390278	0.0557636	0.100115	0.0981489
connais	0.123217	0.0738373	0.050138	0.0420256	0.0240258	0.013375	0.00837999	0.00841747	0.00713688	0.00501456	0.0048323	0.00440221	0.00495292	0.00923122	0.00832293	0.00740771	0.00686523	0.00974062	0.0179513	0.0228412	0.0271457	0.0224154	0.0238354	0.0284069	0.0178958	0.0189073	0.027017	0.0137489	0.0243549	0.0312973	0.0312483	0.0338805	0.0486973	0.0783646	0.12067
pas	0.0622045	0.0509935	0.0446043	0.0287524	0.0343503	0.0243864	0.011443	0.010491	0.00701392	0.00983739	0.00607932	0.00699347	0.00923895	0.0125247	0.0116074	0.0118562	0.00634417	0.00761693	0.00780362	0.0108541	0.0177259	0.0207608	0.0163363	0.0211925	0.0290104	0.0257609	0.0242595	0.0305847	0.0465425	0.0433842	0.044182	0.0549475	0.0710102	0.066515	0.112792
</S>	0.0414547	0.0361154	0.0329915	0.0320951	0.0372709	0.0249335	0.0119255	0.0114672	0.00818831	0.010977	0.00714179	0.00470899	0.00612674	0.0110254	0.00962257	0.00984726	0.0059962	0.00873696	0.00871428	0.00930221	0.0145781	0.0157109	0.0145869	0.0197823	0.0265463	0.0218513	0.0243217	0.0284424	0.0536648	0.0603673	0.053755	0.0613396	0.0867024	0.0825845	0.107125
