 	o	y	ú	r	u	á	l	á	r	i	e	d	z	í	ε	é	d	z	é	w	a	s	á	n	d	é	e	</S>
la	0.0153527	0.0169368	0.0123302	0.0132622	0.00618817	0.00836242	0.0176373	0.0272149	0.0426796	0.0779623	0.0918176	0.0696723	0.0697172	0.0494722	0.0323397	0.0160979	0.0170903	0.0199606	0.0390007	0.0449796	0.0547562	0.0150356	0.0227941	0.0140001	0.0330355	0.0431405	0.0560247	0.0731383
femme	0.144909	0.248118	0.122958	0.043036	0.0235133	0.0231153	0.0610833	0.0535149	0.0269459	0.0580548	0.0690498	0.0687938	0.0282934	0.00711028	0.00317751	0.000729682	0.00111215	0.00125789	0.000971354	0.000958831	0.00203176	0.00109635	0.00134847	0.00219145	0.000971579	0.00138809	0.00216444	0.00210405
a	0.0285679	0.0174544	0.0205103	0.0237253	0.0519995	0.0987396	0.0939268	0.0695305	0.0359528	0.0361078	0.0513324	0.063498	0.0378946	0.0442184	0.0270606	0.0482844	0.0292288	0.0534364	0.0203141	0.019901	0.0150609	0.00933907	0.0196951	0.0186203	0.0148957	0.0188536	0.0213227	0.010529
vait	0.00861601	0.0143268	0.0223887	0.0343737	0.0695854	0.0630349	0.0547585	0.0562312	0.0404433	0.0373044	0.0379172	0.0667826	0.0568665	0.0662067	0.0405715	0.0475375	0.0407175	0.0358534	0.031846	0.0277036	0.0220908	0.0204849	0.0114882	0.0104287	0.00585958	0.0127696	0.0201317	0.0436811
porté	0.0830835	0.0849194	0.0681796	0.0573373	0.0451671	0.0438611	0.0459851	0.0490247	0.0447224	0.0314964	0.0291699	0.0317688	0.0214031	0.0180894	0.0233219	0.0172835	0.0235105	0.0254704	0.0234011	0.0139574	0.0112639	0.00912901	0.0109686	0.017745	0.012158	0.0308975	0.039785	0.0869005
son	0.0466946	0.0413836	0.0379292	0.0445316	0.03088	0.0383348	0.0377116	0.0305086	0.0456106	0.0401161	0.0398785	0.0365307	0.0280454	0.040974	0.060391	0.0383434	0.0448476	0.0532156	0.0372582	0.0133895	0.0146608	0.0089327	0.0102	0.0268143	0.0113831	0.031618	0.0357698	0.074047
pagne	0.102659	0.0681597	0.05599	0.0392249	0.0203209	0.0232458	0.0355189	0.0361815	0.040159	0.0358106	0.0292554	0.0187267	0.0098126	0.0106263	0.0134075	0.00850853	0.0059924	0.017973	0.0137519	0.00633021	0.0104464	0.00999922	0.0127619	0.0360354	0.0214573	0.0707769	0.0859388	0.160929
autour	0.0765937	0.0578569	0.0470362	0.0317518	0.0176333	0.0237119	0.0224643	0.0379732	0.0389833	0.0246122	0.0200712	0.0297589	0.0350689	0.0731256	0.0957897	0.0619423	0.0311554	0.0350331	0.0412989	0.0308082	0.0126134	0.00903834	0.00723596	0.0114506	0.0100355	0.0216367	0.0284053	0.0669152
de	0.0706784	0.0542579	0.0415782	0.0307466	0.0190052	0.0178548	0.0190226	0.0233911	0.026023	0.0140228	0.0118232	0.0129878	0.01471	0.0180626	0.0397099	0.0388389	0.0569971	0.0445106	0.0511897	0.0250519	0.0266965	0.0258096	0.0254869	0.0178132	0.023784	0.0437175	0.0620923	0.144137
la	0.0661689	0.0523721	0.03526	0.0238651	0.0185053	0.0169588	0.0154905	0.0182396	0.0163602	0.0099597	0.00749781	0.00765207	0.00723106	0.00999612	0.0224998	0.0166907	0.0242845	0.022656	0.037312	0.0274403	0.0403152	0.0361255	0.0502536	0.0418362	0.031702	0.0680582	0.0943234	0.180945
poitrine	0.0322744	0.0272406	0.0235473	0.0230659	0.0257235	0.0208064	0.0192858	0.019439	0.0199908	0.0165602	0.014477	0.00891813	0.00660001	0.00546864	0.0107044	0.00438583	0.00453208	0.00659589	0.00721703	0.00701565	0.0227308	0.0258215	0.044465	0.0532402	0.0719102	0.122945	0.177292	0.177747
lorsqu'	0.0382929	0.044252	0.0339976	0.0294773	0.0281066	0.0188362	0.0108722	0.0109468	0.00911916	0.00739415	0.00550507	0.00338207	0.00495756	0.00760972	0.020057	0.0143364	0.0120259	0.0183046	0.0199553	0.0293956	0.029344	0.0285691	0.0447317	0.0251325	0.05122	0.10042	0.147931	0.205827
elle	0.0354987	0.0360121	0.0347722	0.0274558	0.0152126	0.0100082	0.0079696	0.00878992	0.0069	0.00451685	0.00391366	0.00436102	0.0056536	0.00729798	0.0173132	0.0174813	0.0266581	0.0302833	0.0443358	0.0434328	0.051734	0.0536325	0.0784812	0.0538661	0.0761933	0.0834705	0.0856777	0.129078
était	0.0611336	0.0390919	0.0350982	0.026816	0.0131493	0.0114201	0.0145935	0.0154502	0.0179267	0.011154	0.00796842	0.00825034	0.00917545	0.0114447	0.0225371	0.0217299	0.0298002	0.0408732	0.0565029	0.034183	0.0497903	0.0487891	0.056811	0.0425823	0.0414722	0.064676	0.0783203	0.12926
dans	0.0258504	0.0229919	0.0159397	0.00893963	0.00652714	0.00538919	0.00545714	0.0055615	0.00542067	0.00474527	0.00463487	0.00326573	0.00271916	0.00213373	0.00554428	0.0029771	0.00472065	0.00555099	0.0125696	0.0211088	0.0367692	0.0356541	0.0787382	0.088437	0.10392	0.146561	0.161553	0.176321
la	0.0303639	0.0276869	0.0226024	0.0240993	0.0248217	0.0355097	0.029695	0.0240461	0.0198506	0.0189896	0.0125449	0.0152211	0.0156548	0.0176401	0.0316039	0.0327713	0.0325651	0.0434151	0.036746	0.0281634	0.0353751	0.0532063	0.0605876	0.0505215	0.0393834	0.066544	0.0771212	0.09327
maison	0.0342097	0.0270182	0.0240129	0.0177623	0.0108464	0.0101509	0.0102649	0.0105318	0.0101488	0.00841304	0.00690289	0.00436406	0.00401878	0.00316896	0.00707919	0.00473651	0.00747381	0.0108025	0.0228355	0.0294426	0.0420727	0.0418643	0.0683491	0.0623829	0.06406	0.107757	0.137731	0.211599
</S>	0.025108	0.0228154	0.0234747	0.0210515	0.0197752	0.0164574	0.0159571	0.0174433	0.0136532	0.00806726	0.0078403	0.00559145	0.00503278	0.00363138	0.00876707	0.00453352	0.0141657	0.0134931	0.0282606	0.0515591	0.0576411	0.0783795	0.11436	0.0697274	0.0458844	0.0732101	0.0805025	0.153617
