 	e	l	έ	r	í	r	í	y	é	é	l	έ	r	έ	w	a	s	a	á	n	i	l	í	i	t	y	έ	m	έ	ó	t	s	ω	k	y	έ	n	έ	n	έ	</S>
de	0.0163059	0.0174819	0.0180983	0.012924	0.0158321	0.0231118	0.0297571	0.0356123	0.0470784	0.0561856	0.0557047	0.0574562	0.0624117	0.0207473	0.0123079	0.0171406	0.0151602	0.0134186	0.00836242	0.00892186	0.011089	0.0161669	0.00834762	0.0126117	0.00808468	0.0143883	0.0138536	0.0164382	0.010462	0.0212019	0.0175432	0.0240883	0.0185766	0.0242289	0.023266	0.0293648	0.0326837	0.0459228	0.0402276	0.0334596	0.0339758
la	0.101364	0.0937264	0.0759961	0.0359057	0.0246808	0.0225468	0.0203655	0.031884	0.0266526	0.0242465	0.0211567	0.0206844	0.0277447	0.0196082	0.0174853	0.0348874	0.0329183	0.0350838	0.013749	0.0211938	0.0284116	0.0188703	0.015714	0.0154846	0.030708	0.0207954	0.0218191	0.0189946	0.0172399	0.0161083	0.0149866	0.0116584	0.0121943	0.0145169	0.00589661	0.0073444	0.00673561	0.00863518	0.00414326	0.00244611	0.00541747
manière	0.0207775	0.0143827	0.0276738	0.0170638	0.0257719	0.02289	0.0215225	0.0125564	0.00930809	0.0153383	0.0227495	0.0197864	0.0321275	0.0199152	0.042996	0.0708757	0.100125	0.0357415	0.045214	0.012554	0.0244526	0.010826	0.0137961	0.0140215	0.0199809	0.0148245	0.016584	0.0205724	0.0243522	0.0227318	0.0243654	0.0308328	0.0257163	0.0386644	0.0207813	0.0281529	0.0187274	0.0153652	0.00791819	0.00869475	0.00926907
dont	0.0256073	0.0218642	0.0139361	0.0123758	0.0124789	0.00932761	0.0111573	0.00910347	0.00846023	0.00686425	0.00623977	0.0122697	0.0177067	0.0181917	0.0353675	0.0717395	0.0940313	0.0845994	0.0631182	0.0482582	0.0542475	0.0357755	0.0495204	0.0378988	0.0627225	0.0146237	0.0255832	0.0407404	0.0139382	0.0179069	0.00726939	0.00396479	0.00268084	0.00288359	0.00322086	0.00305414	0.00311383	0.00511711	0.00632221	0.00717347	0.0195456
il	0.0155737	0.0250115	0.0434537	0.0589221	0.0690973	0.0633949	0.0636944	0.0593083	0.0543529	0.0427743	0.0315147	0.0156845	0.0186807	0.0123054	0.0120402	0.0187242	0.0340316	0.036558	0.0198634	0.0211494	0.0170045	0.0152766	0.0134507	0.01244	0.0137072	0.00886781	0.0105454	0.00932987	0.00948247	0.00810479	0.00791439	0.00693721	0.0086008	0.00663951	0.00565796	0.00588779	0.00551856	0.0116147	0.0273888	0.0239909	0.055505
lèche	0.0305684	0.0320191	0.0335223	0.0282432	0.0209409	0.0166296	0.015275	0.0144648	0.014884	0.0155328	0.0168775	0.01581	0.018752	0.0164027	0.0124124	0.00687277	0.0103143	0.0099214	0.00745717	0.0123119	0.0159501	0.0133875	0.0130694	0.0148245	0.0119499	0.0133447	0.0117564	0.0105971	0.0149803	0.0197052	0.024441	0.0207279	0.0285615	0.0248492	0.0251654	0.0270418	0.0363866	0.0491916	0.0808555	0.0855298	0.108472
l'	0.0396591	0.057389	0.0556856	0.0534195	0.0434042	0.0345992	0.0277544	0.0204741	0.0235394	0.023605	0.0291379	0.0216447	0.0156564	0.00665945	0.0044916	0.00417633	0.00507596	0.00546995	0.00392246	0.0035816	0.00404436	0.00526753	0.00450011	0.00427551	0.00394755	0.00457762	0.00589585	0.00568472	0.00689725	0.00954958	0.00846659	0.00674354	0.00954335	0.00627763	0.00891988	0.010508	0.0143747	0.025753	0.0669795	0.0878977	0.22055
assiette	0.0563653	0.0749738	0.0569177	0.0468094	0.0160635	0.0195608	0.0212112	0.023875	0.0267755	0.033152	0.0397554	0.0411471	0.0349862	0.02299	0.0137811	0.00988176	0.00760608	0.00728815	0.0042754	0.00353871	0.00340306	0.00335659	0.003296	0.00507957	0.00255741	0.00253903	0.0042019	0.00255722	0.00440702	0.00553173	0.00639116	0.00560445	0.00940551	0.00949877	0.00751193	0.0167103	0.0220516	0.0322328	0.0652736	0.0672045	0.160232
elle	0.06169	0.0500188	0.0406965	0.0435719	0.0369583	0.0341399	0.0416807	0.0341731	0.0404317	0.0389892	0.0373017	0.0326035	0.024123	0.0137666	0.00814675	0.0070483	0.00563469	0.00588802	0.00261325	0.00334082	0.00302148	0.003844	0.00351702	0.00372943	0.00372756	0.00499414	0.00602006	0.00544339	0.0103249	0.0117184	0.0103147	0.00747567	0.00695324	0.00854911	0.00547335	0.00927003	0.0121826	0.0215789	0.0375129	0.0570985	0.204434
sera	0.0877324	0.0383025	0.0279565	0.0213	0.0105171	0.00851208	0.0100762	0.0123679	0.0184571	0.0199968	0.0156747	0.0165557	0.0256704	0.0192933	0.0148502	0.0130252	0.0154667	0.0150097	0.00999197	0.0106117	0.0109149	0.0113402	0.00861575	0.00965599	0.0102761	0.0120123	0.0100582	0.0114331	0.0201881	0.0226608	0.0218049	0.0253541	0.0266363	0.0318724	0.0242369	0.0300176	0.0425358	0.0470445	0.0505886	0.0702017	0.0911837
