 	o	y	ú	r	u	y	e	e	d	z	w	é	o	t	s	í	m	á	i	k	ώ	ώ	s	á	n	g	o	n	d	a	á	y	í	i	o	l	o	m	i	d	z	é	e	ó	k	ó	ó	m	i	l	ω	n	d	ω	ω	l	á	w	a	</S>
la	0.0111637	0.00553618	0.00578825	0.00386325	0.00692273	0.00385263	0.00465356	0.00312886	0.00367467	0.00926584	0.0392528	0.0264013	0.0249383	0.0160414	0.0148159	0.00613848	0.0098782	0.00992204	0.00835716	0.0146032	0.0157161	0.0116208	0.0129236	0.0209332	0.0156147	0.0212824	0.0161045	0.0117306	0.0105979	0.0177083	0.00910558	0.0122753	0.0290556	0.0172153	0.0148102	0.0162663	0.0199549	0.0197841	0.0342935	0.0274266	0.0227345	0.0243018	0.0214078	0.0200419	0.0170689	0.0164974	0.0148075	0.0137512	0.0134984	0.011419	0.0126468	0.0121201	0.0149543	0.0253212	0.02922	0.0290377	0.0294723	0.0273841	0.0267898	0.0349072
femme	0.138197	0.143925	0.173592	0.0973013	0.0286124	0.016952	0.0159999	0.0223963	0.0143795	0.0444414	0.0805344	0.0502546	0.00923691	0.00455438	0.00320694	0.00846335	0.00107947	0.000428696	0.000330073	0.000308071	0.000293796	0.000222381	0.000230417	0.000408722	0.000348451	0.000362054	0.000327876	0.000506975	0.000504322	0.000361219	0.000568855	0.000893387	0.000849756	0.00105102	0.000677282	0.000603034	0.00112063	0.0014567	0.00108411	0.00105611	0.00137054	0.00125003	0.00172712	0.00122449	0.00248593	0.00399576	0.00543806	0.0170157	0.00898898	0.0129476	0.0109688	0.00712538	0.0063843	0.0184253	0.0186637	0.00726732	0.00359796	0.00225863	0.000825261	0.000918607
qui	0.0357383	0.0298429	0.0216335	0.0203485	0.00784794	0.00968011	0.0133048	0.00811143	0.0148261	0.0162635	0.0238055	0.0308454	0.0160719	0.0218464	0.0179962	0.0132224	0.0146876	0.0150005	0.0149418	0.0159144	0.0152528	0.0182143	0.0225065	0.0209989	0.0222185	0.0204501	0.0135991	0.0196435	0.0197924	0.0113669	0.0148477	0.0155203	0.0130168	0.01671	0.0162817	0.0162863	0.0178214	0.0172865	0.0169341	0.0158836	0.0153312	0.0171438	0.0212716	0.0184388	0.0252767	0.0170087	0.0212954	0.0189655	0.0198945	0.0129722	0.0166415	0.0139023	0.0112299	0.00934063	0.01027	0.00733987	0.00959154	0.00991997	0.0110731	0.00653249
est	0.0230919	0.0275742	0.0492579	0.0381842	0.0288194	0.0231281	0.0168041	0.00994948	0.0177315	0.0118782	0.0133585	0.0188368	0.00987559	0.0145598	0.0251318	0.0123877	0.0227443	0.0140795	0.0141061	0.0188153	0.0204171	0.0120263	0.0180651	0.0221128	0.0167064	0.0121862	0.00977848	0.0191029	0.0145708	0.00944632	0.01087	0.00689635	0.00960644	0.00804046	0.00787439	0.0110325	0.00617428	0.00952316	0.0134967	0.0184623	0.0120822	0.0246017	0.010527	0.0167494	0.0254	0.0177651	0.0233652	0.0265479	0.0211615	0.0134914	0.00837276	0.00625234	0.00869295	0.0134093	0.0152895	0.0126385	0.0127007	0.0161528	0.0208239	0.0272726
partie	0.00865222	0.0141248	0.0188584	0.0149331	0.0101774	0.00785574	0.0122308	0.0121978	0.0102284	0.0178591	0.010684	0.0131406	0.00620201	0.00567888	0.00476019	0.00569679	0.00847844	0.00620252	0.0106548	0.00666112	0.0151929	0.0100133	0.00530172	0.00838391	0.00388077	0.00977813	0.016913	0.0124532	0.00955076	0.0182623	0.0115767	0.0115855	0.0203107	0.018241	0.0138071	0.0178947	0.0150333	0.0163535	0.0231014	0.0199562	0.0182549	0.0156577	0.024643	0.0190269	0.0282271	0.0319856	0.0343396	0.0369618	0.0272299	0.0277464	0.0357761	0.0324959	0.0243606	0.0197258	0.0310038	0.01395	0.0179034	0.0269795	0.0211763	0.0296886
récolter	0.0116483	0.00923535	0.00494381	0.0066898	0.00548109	0.00697553	0.00891884	0.00821779	0.00695342	0.00601519	0.00503775	0.0048526	0.0107959	0.0128704	0.0138457	0.0137425	0.0153054	0.0176931	0.0246589	0.0180047	0.0186973	0.0230838	0.0194714	0.0204282	0.0153529	0.0157527	0.0183671	0.0325878	0.0290512	0.019297	0.0293749	0.0238492	0.0176887	0.0293731	0.0192782	0.0240789	0.0194276	0.0266396	0.0311758	0.033227	0.0134936	0.021616	0.0311103	0.0222685	0.0241117	0.0336212	0.0372415	0.0321874	0.0204204	0.0152392	0.0136824	0.0085742	0.00950838	0.00682161	0.00481112	0.00466218	0.00544464	0.00481311	0.00494779	0.00733604
du	0.0124448	0.0104868	0.0104572	0.0117337	0.0148319	0.0194088	0.0132679	0.00977217	0.00738526	0.0122052	0.0146255	0.0116357	0.01085	0.00908451	0.0068099	0.00349102	0.0059694	0.00398629	0.00874212	0.00829203	0.009083	0.00610071	0.00775159	0.0089309	0.00391661	0.00558977	0.0108631	0.0118432	0.0154425	0.0150481	0.0206902	0.018598	0.018371	0.0262847	0.0148373	0.0224074	0.0248436	0.0256632	0.0337814	0.0319489	0.0172695	0.0210987	0.0434428	0.0210049	0.0226674	0.0438401	0.0337638	0.0468292	0.0331641	0.0376861	0.0227304	0.0206345	0.0202738	0.0200937	0.0127732	0.0118284	0.0076525	0.00561565	0.00861305	0.0115426
manioc	0.0103266	0.0105832	0.00932137	0.00863903	0.00619617	0.00641617	0.00718379	0.0078221	0.00831926	0.00916571	0.00894091	0.0057316	0.00985719	0.0115683	0.0150782	0.0202381	0.0162431	0.0183876	0.0163063	0.0170775	0.0146809	0.0236037	0.0204434	0.0234516	0.019233	0.0272437	0.0251039	0.0345018	0.0347701	0.0247432	0.0228796	0.01957	0.0212163	0.0150227	0.0105952	0.0130208	0.0119467	0.011021	0.0124749	0.0139204	0.0118772	0.015158	0.0146255	0.0147395	0.0161081	0.0169217	0.0189272	0.0190143	0.0157622	0.0176606	0.0245622	0.0158828	0.0245981	0.0256736	0.0187872	0.0170579	0.0195935	0.0149893	0.0179902	0.0372255
au	0.0116545	0.00883686	0.00530446	0.00424337	0.00269313	0.00196986	0.00260928	0.00304912	0.00202517	0.00148165	0.00160968	0.000862131	0.00220604	0.00458908	0.00788296	0.00815426	0.00988243	0.0122143	0.01787	0.0153123	0.0149119	0.0327855	0.019355	0.0210942	0.0203241	0.0360709	0.0390426	0.0548071	0.0477171	0.0351636	0.0417716	0.0417747	0.0284856	0.0329438	0.0335155	0.038897	0.0248306	0.0280492	0.0271609	0.029643	0.0148986	0.0226089	0.0207142	0.0217947	0.0182421	0.020483	0.0181816	0.0148738	0.00799956	0.0070749	0.00961605	0.00567856	0.00762937	0.00502485	0.00403058	0.0035573	0.00430802	0.00520976	0.00451428	0.0107654
champ	0.0093943	0.00611165	0.00545785	0.0045173	0.00415917	0.00448152	0.00485076	0.00593853	0.00499173	0.00502458	0.0044148	0.00395854	0.00650862	0.00937729	0.0102967	0.0112525	0.0156568	0.0207062	0.031353	0.0167531	0.019747	0.0295081	0.0183748	0.0195221	0.0145638	0.0230298	0.0284155	0.0266878	0.0194724	0.0189389	0.0292004	0.0289512	0.0244839	0.0295283	0.0248664	0.0248821	0.0278598	0.0266374	0.0205499	0.0185538	0.0224387	0.019111	0.029226	0.0193706	0.0208133	0.0170462	0.0172399	0.0120593	0.0148695	0.0100905	0.0208989	0.0115386	0.00752301	0.00845983	0.00734555	0.00708355	0.00762738	0.00711773	0.0202792	0.0608833
a	0.0397591	0.0231434	0.0172389	0.0163668	0.0116402	0.00937277	0.0079176	0.00598593	0.00459429	0.00339355	0.00497653	0.00223169	0.00327119	0.00627844	0.00549214	0.00475941	0.00585143	0.00544809	0.00973138	0.0086342	0.00810884	0.0172858	0.0129811	0.0110945	0.0130169	0.0230655	0.0222478	0.0362478	0.0367188	0.0251506	0.0407553	0.0456181	0.0219454	0.0372973	0.0341963	0.0314417	0.0332539	0.0316847	0.0288224	0.0292324	0.0176418	0.0190852	0.0229947	0.0151993	0.0127501	0.0240403	0.0136655	0.0170168	0.0125546	0.0210932	0.0168937	0.0153907	0.0127151	0.00650185	0.00539177	0.0041249	0.00385911	0.00400653	0.00386706	0.0149554
