 	o	t	ó	n	g	i	n	d	é	e	á	b	v	ú	r	u	o	y	ó	l	í	s	á	o	n	ω	ω	m	á	n	d	é	e	</S>
le	0.0136972	0.0172885	0.0145464	0.0135193	0.0155796	0.0155841	0.0205872	0.0218948	0.0227412	0.0298787	0.0352514	0.0376424	0.0600842	0.0558994	0.0322035	0.0265523	0.033241	0.0339239	0.0373298	0.048496	0.039403	0.0426611	0.0323257	0.0309665	0.0197582	0.0240129	0.0231404	0.0163681	0.0183144	0.019278	0.0331974	0.0275446	0.0372948	0.0497939
maçon	0.012488	0.0299476	0.030434	0.0344816	0.0295114	0.0654636	0.0904179	0.22382	0.174921	0.0997094	0.0541807	0.0348317	0.0182178	0.0163761	0.0129484	0.0146074	0.00544497	0.00409824	0.0014946	0.00136706	0.00100602	0.00107861	0.00116984	0.00125379	0.00163275	0.00344437	0.00689562	0.00764945	0.00591477	0.0041945	0.00456312	0.00371329	0.0012	0.00152178
a	0.0261855	0.0227015	0.0122455	0.0104148	0.0137708	0.0234724	0.0327371	0.032485	0.0294539	0.0198722	0.0240594	0.0179364	0.022237	0.0245913	0.0555957	0.0489672	0.0574835	0.0635859	0.0370792	0.0426953	0.0358882	0.0292825	0.0387478	0.0257784	0.0298625	0.0235413	0.0257074	0.0156519	0.0209417	0.0264153	0.0210017	0.0336685	0.0378018	0.0181414
encore	0.0509043	0.0529437	0.0505451	0.0587518	0.0600766	0.0452816	0.0331358	0.0338634	0.0294726	0.0295831	0.0185174	0.011506	0.0145633	0.0165544	0.026417	0.0322883	0.039337	0.0324363	0.0206171	0.0165054	0.0127454	0.0241968	0.01294	0.00538811	0.0066101	0.00630482	0.00854947	0.00830976	0.0148747	0.0167499	0.0188823	0.0380644	0.0528299	0.100254
élargi	0.0444069	0.0335208	0.0316401	0.0359344	0.035148	0.0284444	0.0230981	0.024271	0.0309374	0.0266653	0.0223759	0.0195152	0.0190555	0.01772	0.017144	0.0138607	0.0221027	0.0254617	0.0225774	0.0233641	0.0267069	0.0453785	0.0298281	0.0209239	0.0236076	0.0210863	0.0205403	0.0155754	0.0284725	0.0304528	0.0312014	0.0568694	0.0500635	0.0820496
la	0.0204921	0.0180584	0.0199176	0.0167886	0.0163667	0.0177811	0.013489	0.0129595	0.0144052	0.0142403	0.0197827	0.0213905	0.0213556	0.0191729	0.0195608	0.0212577	0.028399	0.0414203	0.029261	0.0345695	0.0316036	0.0400131	0.0302593	0.0185237	0.0219533	0.0253518	0.0320561	0.0252059	0.050043	0.0461858	0.0445376	0.0655178	0.0678033	0.0802773
porte	0.0232318	0.0179192	0.0179259	0.0128668	0.0120149	0.0138995	0.0100996	0.00668444	0.00701624	0.00539258	0.00718655	0.00591172	0.00513229	0.00466619	0.00641216	0.00963773	0.00995497	0.0142038	0.0191982	0.0240191	0.0302604	0.0586207	0.0361879	0.0305833	0.0359727	0.0375765	0.0519032	0.0596496	0.0591662	0.071113	0.0699767	0.0753662	0.0727714	0.0774784
de	0.0426331	0.0266709	0.0214599	0.0219806	0.0214069	0.0231248	0.0232484	0.0202052	0.0130106	0.00853171	0.00740678	0.00569821	0.00495945	0.00515417	0.00931897	0.0132904	0.0152219	0.0208891	0.0371477	0.0361358	0.0786151	0.0714298	0.0753712	0.0809425	0.0407475	0.0362764	0.02869	0.0176515	0.0255457	0.0200248	0.0257837	0.0256792	0.0235541	0.0721939
la	0.151483	0.0709408	0.0434375	0.0243825	0.018159	0.00900864	0.007172	0.00654004	0.010099	0.0109212	0.0135448	0.0117278	0.0055564	0.00474762	0.00439976	0.00355499	0.00903893	0.00655629	0.0100746	0.0106788	0.018388	0.0298982	0.0148818	0.0507659	0.0295969	0.0340737	0.0311366	0.0236253	0.0296432	0.0364599	0.0305357	0.0468382	0.0670721	0.125061
maison	0.0661752	0.0369622	0.0288454	0.0163791	0.0104117	0.00450585	0.0038079	0.00355179	0.00419803	0.00437614	0.00545116	0.00659246	0.00510946	0.00456365	0.00456449	0.00313208	0.00675161	0.00583651	0.00809959	0.0105274	0.0161501	0.0290985	0.0150985	0.0410084	0.0364635	0.0558123	0.0553377	0.045808	0.0452829	0.0574532	0.0575309	0.0680701	0.0972907	0.139753
</S>	0.103394	0.0635923	0.049006	0.0304691	0.0144445	0.00526984	0.00345735	0.0023012	0.00463483	0.00556783	0.00656506	0.00644263	0.00372712	0.0038388	0.00510256	0.00686362	0.00856632	0.00697952	0.00877228	0.00995889	0.011495	0.0192239	0.0129989	0.0251094	0.0351917	0.0326644	0.0317505	0.0241969	0.0359487	0.0526084	0.0426262	0.0497645	0.0793473	0.19812
