 	e	k	a	b	h	í	l	í	y	á	w	a	y	á	b	e	a	é	d	i	e	b	é	</S>
elle	0.0119791	0.0235271	0.0316804	0.0323656	0.0249021	0.00724467	0.0129329	0.021995	0.0562588	0.0647766	0.105344	0.128323	0.0750138	0.0655535	0.0483462	0.0449124	0.02726	0.0245332	0.0288543	0.0315865	0.0466002	0.0344878	0.0306995	0.0208233
a	0.180957	0.109798	0.119103	0.0837078	0.0433371	0.0380397	0.0174147	0.0286788	0.0179855	0.0182271	0.0122705	0.0106008	0.0169887	0.0146071	0.0193905	0.0498299	0.0300128	0.0405627	0.058547	0.0415829	0.0167503	0.0128453	0.00851786	0.0102449
une	0.116902	0.116019	0.0985642	0.0710276	0.0780523	0.0626113	0.0528069	0.0563234	0.0232328	0.0162104	0.0176332	0.0220015	0.0361177	0.0432218	0.0288261	0.0209246	0.0167567	0.0201251	0.0188072	0.0135938	0.0191643	0.0245923	0.0177073	0.00877781
mauvaise	0.0750746	0.0559634	0.0618457	0.0566967	0.108481	0.0964731	0.120755	0.0473087	0.041611	0.0420033	0.0446044	0.0376791	0.0483612	0.0227054	0.0149797	0.0165022	0.012334	0.0145248	0.00883181	0.0101193	0.00738452	0.0118486	0.0160277	0.0278854
manière	0.0530118	0.0357457	0.0466952	0.0437917	0.0787915	0.0685833	0.0639333	0.0767304	0.0482444	0.0251059	0.0270705	0.0399346	0.0588559	0.0249484	0.0143144	0.0486257	0.0313383	0.0361244	0.0292361	0.0313463	0.0311347	0.027869	0.0268891	0.0316795
de	0.0784129	0.0743145	0.078151	0.0585216	0.0835236	0.0707884	0.123487	0.144447	0.0728835	0.0403958	0.0191766	0.0117282	0.009472	0.0104397	0.00644605	0.0081483	0.00641657	0.00631913	0.0101526	0.00769426	0.0103667	0.0119806	0.0158049	0.0409288
partager	0.245817	0.139502	0.0944604	0.0471524	0.0578798	0.0428138	0.0549737	0.0500936	0.0358228	0.017432	0.016984	0.0123902	0.012763	0.00829395	0.00659132	0.0107691	0.00870664	0.00908889	0.00935231	0.00901414	0.0134628	0.01615	0.0252923	0.055193
la	0.096985	0.0799525	0.0693577	0.0606584	0.0780386	0.0586663	0.0577282	0.0716116	0.0589933	0.0457122	0.0230922	0.0151652	0.0100501	0.01423	0.00759867	0.0197474	0.0139753	0.0138831	0.0173872	0.017002	0.0245045	0.0247298	0.040655	0.0802757
nourriture	0.0603387	0.0794229	0.143391	0.0844361	0.0612455	0.0236893	0.0154388	0.00846911	0.00772029	0.00671735	0.0045062	0.00592936	0.0120335	0.0074856	0.00633441	0.0307622	0.0185128	0.020758	0.0283297	0.040474	0.0679758	0.0735346	0.0817248	0.11077
</S>	0.145255	0.106123	0.109371	0.0818935	0.0714595	0.0473256	0.026274	0.0105908	0.00640521	0.00276205	0.00258405	0.00318735	0.00489281	0.00591671	0.00387961	0.0122499	0.0099906	0.0107018	0.0144473	0.0138843	0.0281713	0.0366891	0.0553478	0.190597
