 	o	n	a	r	i	l	e	k	á	s	í	l	í	í	k	a	n	í	n	g	á	á	d	z	e	n	d	a	</S>
qui	0.00857627	0.01102	0.0109749	0.00997124	0.00768547	0.00919787	0.0132461	0.0132064	0.0333354	0.0294155	0.0292735	0.0362527	0.0458274	0.0383117	0.0447949	0.0413701	0.0452962	0.0464113	0.0347916	0.0305266	0.0395624	0.0414992	0.0488393	0.0473334	0.0525764	0.0895364	0.063218	0.042249	0.0357007
est	0.14609	0.0963054	0.0751955	0.0849622	0.0766224	0.041806	0.0400045	0.0177706	0.0172596	0.0180513	0.0127522	0.0131448	0.015371	0.032937	0.0341853	0.0561855	0.0317401	0.0397257	0.0320547	0.0352413	0.0148614	0.00961238	0.00777165	0.00902793	0.00763052	0.00593056	0.00964366	0.00623662	0.0118798
celui	0.0258387	0.0226072	0.0209672	0.015844	0.0132793	0.0130783	0.0126614	0.0107734	0.014339	0.0124804	0.0120849	0.0114226	0.0190209	0.026855	0.0415409	0.0397386	0.0852168	0.0660013	0.0780939	0.171698	0.109052	0.05247	0.0403352	0.0228105	0.0149998	0.0160845	0.0105284	0.00921116	0.010967
qui	0.0326861	0.0399024	0.0584749	0.0489494	0.0477848	0.0428146	0.023673	0.0297906	0.0198854	0.0288425	0.0261012	0.0274551	0.0246666	0.0269593	0.0252624	0.0300967	0.0291	0.0365392	0.0428208	0.0464188	0.0540475	0.0264883	0.0199448	0.0249931	0.0278494	0.031215	0.0265056	0.0389337	0.0617985
a	0.0229921	0.0367796	0.055157	0.0555126	0.0633699	0.0497755	0.0435961	0.0284122	0.0253281	0.0307319	0.030361	0.0413784	0.0393708	0.0348877	0.0228114	0.0411492	0.0113751	0.0233957	0.0406661	0.0228711	0.0332459	0.0257003	0.0250108	0.0251016	0.0235977	0.0360863	0.0140022	0.0270414	0.0702919
enlèvé	0.0503156	0.0534851	0.0521793	0.0419078	0.0371934	0.0225712	0.0112358	0.008946	0.00920928	0.0100711	0.0110948	0.0138991	0.0189874	0.0220987	0.0237604	0.031802	0.0271568	0.0331566	0.0468542	0.0452799	0.0736906	0.0349017	0.044404	0.0315432	0.0325854	0.0629538	0.0415948	0.0444872	0.0626349
la	0.0214463	0.0217793	0.0283215	0.0255936	0.0267993	0.032228	0.0222081	0.0260529	0.0238083	0.0283859	0.0266882	0.0303715	0.0272974	0.024165	0.0189918	0.0280001	0.0334447	0.0246753	0.0410895	0.054996	0.049812	0.0226758	0.0357243	0.0455558	0.0366274	0.0550516	0.0513954	0.045332	0.0914831
feuille	0.0371968	0.0461375	0.0406012	0.0300695	0.0147403	0.00819219	0.00714356	0.00684632	0.0145275	0.0356065	0.0230374	0.0404959	0.0919009	0.122074	0.06877	0.104026	0.0404251	0.0386301	0.0295945	0.0201611	0.00938085	0.00937107	0.0140507	0.0138184	0.0199755	0.0308498	0.0156855	0.0152931	0.0513986
que	0.0447812	0.0331153	0.0355189	0.0240863	0.0199889	0.0137282	0.0052267	0.00391537	0.00713603	0.0117926	0.0082735	0.0167128	0.0327282	0.0362252	0.0294868	0.0350085	0.0232603	0.0217232	0.0475889	0.0373441	0.0359242	0.0402329	0.0494032	0.0530449	0.0425839	0.0453155	0.0257788	0.0555127	0.164563
j'	0.0572934	0.0494771	0.0475235	0.0365123	0.0256644	0.0170574	0.00716742	0.0082511	0.00805021	0.0135981	0.0072678	0.0093572	0.00865325	0.00765221	0.00888334	0.00650799	0.00949249	0.00922224	0.0269026	0.0275538	0.0369	0.0403942	0.0436682	0.0667156	0.0802333	0.0976075	0.0606598	0.0745298	0.107204
avais	0.139817	0.0638261	0.0457584	0.0342311	0.0168136	0.00983075	0.00618145	0.00581114	0.00519354	0.00901447	0.00466812	0.00817238	0.00905932	0.0102803	0.010367	0.00975999	0.0157521	0.0156912	0.0309453	0.020868	0.0211308	0.0302179	0.0335269	0.0708067	0.0728812	0.0619923	0.0542335	0.0705271	0.112642
affichée	0.204129	0.109416	0.062387	0.0353944	0.019131	0.0107365	0.0100479	0.00689977	0.00809195	0.0106357	0.0071129	0.00981235	0.0145192	0.0190667	0.022952	0.0180521	0.0154505	0.0215993	0.0326677	0.0130932	0.0193725	0.0247659	0.0159655	0.0380898	0.0663839	0.0327935	0.0201416	0.0406075	0.0906853
</S>	0.0531645	0.0308694	0.0249315	0.022769	0.0222758	0.0218233	0.0130557	0.0079721	0.00800228	0.0112758	0.00676042	0.00926451	0.00880337	0.00835095	0.0100331	0.0135061	0.0183669	0.0223331	0.0547038	0.0538378	0.0502187	0.0557654	0.057435	0.0672038	0.0676137	0.0628725	0.0617189	0.0717908	0.0832819
