 	n	g	á	i	d	í	o	k	o	b	h	á	y	é	é	s	ε	r	έ	n	ω	k	a	á	n	ω	l	ó	o	t	i	á	s	ó	n	ω	ω	</S>
je	0.140189	0.100687	0.0948562	0.218322	0.100352	0.0718981	0.010513	0.00390708	0.00253614	0.00189951	0.00206287	0.00234328	0.00175572	0.00428084	0.00601985	0.00644389	0.00752105	0.0122286	0.0155418	0.0147203	0.0130028	0.00985906	0.00990414	0.0137614	0.0139568	0.0147112	0.0136882	0.0111728	0.00928673	0.00835069	0.00873387	0.00568565	0.00506	0.00711785	0.00738102	0.00612376	0.0094521	0.0146734
ne	0.0587526	0.0316559	0.031327	0.0600344	0.0337386	0.038706	0.0967406	0.0538966	0.0866324	0.04964	0.0595687	0.0483555	0.0413931	0.0370901	0.0358755	0.0428464	0.0242178	0.0195424	0.0116568	0.00657936	0.0122393	0.0180951	0.00849838	0.00703355	0.00527288	0.0107402	0.00462573	0.00594707	0.0035585	0.00539589	0.00651291	0.00577156	0.00493807	0.00644626	0.0058765	0.00606018	0.00464586	0.0100923
comprends	0.0570973	0.0623183	0.0497613	0.0260533	0.0198057	0.0153046	0.0188735	0.0297472	0.0340944	0.0284916	0.0411108	0.02962	0.0219985	0.0321935	0.017942	0.0281736	0.0467209	0.0485974	0.0287918	0.0272172	0.0241573	0.0221161	0.019436	0.0291643	0.028804	0.0351202	0.0270631	0.0235484	0.0173718	0.0178731	0.0160076	0.00805432	0.00930649	0.0102693	0.0084268	0.010094	0.0121187	0.0171555
pas	0.0289764	0.0231192	0.0161135	0.00819968	0.022287	0.0275887	0.0354308	0.0287729	0.0352295	0.0257273	0.0292788	0.033722	0.0324996	0.0445972	0.0463637	0.0386757	0.0591043	0.0298396	0.0375828	0.0269559	0.0444772	0.0395581	0.0278745	0.021336	0.0244536	0.0156422	0.0142999	0.0180621	0.0180909	0.0202778	0.0167183	0.0133389	0.0194159	0.0173902	0.0165999	0.0147982	0.0177977	0.00980389
ce	0.0126592	0.0065449	0.0091723	0.0117083	0.0148866	0.0215986	0.0892551	0.0410783	0.084981	0.025247	0.0308375	0.0263158	0.0136485	0.0207171	0.0171434	0.0132139	0.020473	0.0186926	0.0259718	0.0334067	0.0289625	0.0184169	0.0159913	0.0169292	0.0149022	0.015001	0.0222318	0.0203134	0.0251908	0.0306159	0.0316368	0.0205205	0.0265034	0.0253664	0.0372674	0.0339868	0.0402834	0.0383286
que	0.0115672	0.0137453	0.0150131	0.0133402	0.0153602	0.0161465	0.0290759	0.0347849	0.0415272	0.0360119	0.0650536	0.0364157	0.0352088	0.0205418	0.0228886	0.0203416	0.0168827	0.0125314	0.0173156	0.018494	0.0200817	0.0177256	0.0174276	0.016179	0.0149912	0.016127	0.0209159	0.021901	0.0283982	0.0296814	0.0285987	0.026635	0.0235248	0.0354352	0.0297624	0.0398245	0.0435752	0.0769696
tu	0.012547	0.00808981	0.0108759	0.0228898	0.0183024	0.0161218	0.0240967	0.0329435	0.0785827	0.0439628	0.075096	0.0386263	0.0327313	0.018979	0.0205665	0.0137122	0.0227433	0.0170394	0.0263255	0.0429914	0.0355321	0.0178844	0.0205058	0.0145001	0.0123296	0.0116023	0.0162383	0.0163825	0.019386	0.0206423	0.0216587	0.0180306	0.0166379	0.0220563	0.0245544	0.0293544	0.0314031	0.0740779
dis	0.0212088	0.0105227	0.0113028	0.0237566	0.0209056	0.0211347	0.0255774	0.0220304	0.0356334	0.0192836	0.0302847	0.0176887	0.0149986	0.0124263	0.0137974	0.0124321	0.0182147	0.0139079	0.0244089	0.0414228	0.0361931	0.0213046	0.0294561	0.0180738	0.0143972	0.0167765	0.0239925	0.0234724	0.0316304	0.0243233	0.0312481	0.0266083	0.0330346	0.0324151	0.0365514	0.0515231	0.0465266	0.0915351
tu	0.0876595	0.0178522	0.0147139	0.0205397	0.0213318	0.0250094	0.0293589	0.0306607	0.0173527	0.00987777	0.0157924	0.0120275	0.0101339	0.00944499	0.0113786	0.0145781	0.020892	0.0182355	0.031304	0.0355741	0.0445285	0.0535993	0.0229703	0.0150954	0.0126493	0.0182099	0.0119347	0.0177785	0.0230596	0.0243544	0.0215128	0.0267016	0.0270277	0.0418775	0.0431396	0.0419125	0.0379798	0.0619512
bredouilles	0.0450465	0.0269054	0.0243822	0.0178543	0.0160093	0.0203547	0.0520276	0.0157265	0.0305235	0.0101269	0.0116708	0.0115767	0.00803213	0.0103404	0.0110315	0.019502	0.0220139	0.0295867	0.0326383	0.0391944	0.0496459	0.052228	0.0390673	0.0254423	0.0243467	0.0241459	0.0214944	0.0236956	0.0231892	0.0303814	0.0263744	0.0302083	0.0291733	0.0327838	0.0278323	0.0280845	0.0287063	0.0286566
</S>	0.0196515	0.0134418	0.0138795	0.0118239	0.00968637	0.00601999	0.00761827	0.00626184	0.0162305	0.0108675	0.0169431	0.0122251	0.0132342	0.0101839	0.010976	0.0111273	0.0143487	0.0145112	0.0261286	0.040894	0.0326592	0.0308422	0.0333134	0.0386783	0.0452525	0.0405927	0.047799	0.0385162	0.0413781	0.0309186	0.0310215	0.0325963	0.0284366	0.0336925	0.0315127	0.0507092	0.0371992	0.0888288
