 	l	é	b	h	ó	y	á	a	y	ú	r	u	b	á	a	b	h	i	r	á	a	s	w	é	</S>
pendant	0.0276926	0.0238098	0.0242989	0.0293837	0.0339072	0.0256773	0.0551657	0.0564529	0.0623355	0.0564524	0.0483463	0.0434616	0.0388899	0.0401249	0.0380415	0.0402695	0.0446135	0.0498673	0.0700553	0.055779	0.0431884	0.0292879	0.0259022	0.0206371	0.0163597
la	0.0913751	0.0299964	0.0212449	0.0208538	0.0231153	0.0225003	0.0219285	0.0231252	0.0491714	0.0606392	0.0911162	0.0515162	0.044478	0.0413122	0.0416967	0.0550832	0.0478948	0.0409122	0.021836	0.0228449	0.0287601	0.0369586	0.020128	0.0347037	0.0568089
grande	0.0452216	0.0335543	0.0403719	0.0447819	0.0340441	0.0415974	0.0605356	0.0547793	0.0480238	0.080768	0.0635729	0.0602661	0.0703669	0.0764132	0.0303081	0.0482426	0.0274216	0.0248915	0.0140922	0.0152327	0.0150388	0.0188302	0.0121904	0.0196295	0.0198255
saison	0.0142073	0.0132758	0.01926	0.0194182	0.0241848	0.0267848	0.0417964	0.0531722	0.0568882	0.0724929	0.0713537	0.0692807	0.0731639	0.0787496	0.0489743	0.0642661	0.0423467	0.0381902	0.0207954	0.0200708	0.0187669	0.0169022	0.0221257	0.0309758	0.0425575
sèche	0.0297109	0.0267112	0.0303706	0.0352961	0.0446368	0.048727	0.0528305	0.053125	0.0508983	0.0552695	0.0497257	0.052082	0.0418609	0.0407252	0.0323581	0.0415001	0.0272501	0.0251936	0.0197885	0.0184897	0.0243222	0.0326018	0.0381248	0.046865	0.0815362
les	0.0517646	0.0366817	0.0296764	0.0378588	0.0314506	0.0362215	0.0340091	0.0355315	0.0308921	0.0309032	0.0275151	0.0322462	0.0253148	0.0214592	0.0149135	0.0183108	0.022791	0.0328333	0.0388769	0.041701	0.0430032	0.0756942	0.0797457	0.0671073	0.103498
femmes	0.0337236	0.0271374	0.0234951	0.0213898	0.0253745	0.0248171	0.0195822	0.0253601	0.0292859	0.0370711	0.0300631	0.0268656	0.0269655	0.0337332	0.017581	0.0322919	0.0186734	0.0364757	0.0549591	0.0675289	0.0641135	0.070662	0.0833266	0.076436	0.0930878
sèchent	0.0682134	0.0506132	0.0442337	0.0527363	0.0364962	0.0264719	0.0220928	0.0265441	0.0221117	0.0276267	0.0231196	0.0183941	0.0162463	0.020472	0.0147209	0.0151792	0.0119737	0.0197718	0.0252564	0.0377411	0.0508218	0.0741767	0.0838036	0.0966636	0.114519
du	0.049276	0.0383319	0.0336526	0.0403403	0.0381499	0.0468824	0.0452416	0.0481245	0.0391377	0.043239	0.0273956	0.028256	0.0218436	0.0196459	0.0120323	0.0122182	0.00715449	0.0106536	0.014959	0.0230854	0.0352722	0.080139	0.0841523	0.0957506	0.105066
poisson	0.0634775	0.0458342	0.0378942	0.0343722	0.0177942	0.0152561	0.0146949	0.0141618	0.0122028	0.0107246	0.00763652	0.00870663	0.00665427	0.00949683	0.00705657	0.0122427	0.0100875	0.017393	0.0251108	0.036471	0.0642283	0.1155	0.122561	0.131031	0.159412
</S>	0.126027	0.0716595	0.0556656	0.0577947	0.0338706	0.0208072	0.0168555	0.0162653	0.0109802	0.00935344	0.00675009	0.0073077	0.00530771	0.00841722	0.00610222	0.0125971	0.0101017	0.0161115	0.0208734	0.0342247	0.041816	0.0611151	0.0721725	0.116585	0.161239
