 	w	a	l	á	a	w	o	o	s	á	ω	n	g	a	n	g	a	l	a	á	o	n	g	w	e	l	é	l	a	a	w	ú	r	a	</S>
elle	0.0745945	0.0868473	0.0913135	0.0929948	0.0949715	0.0706241	0.0374047	0.0354828	0.0352307	0.0273154	0.0285423	0.0202898	0.0156838	0.0199396	0.0123817	0.0110932	0.0168033	0.0202018	0.0211947	0.0225218	0.0222495	0.0212085	0.0158668	0.0119722	0.00694704	0.00541016	0.006821	0.00894063	0.00777826	0.00963572	0.00815858	0.0133725	0.00959938	0.0106818	0.00592675
oint	0.0344993	0.0381358	0.0310355	0.0362446	0.0301587	0.0372482	0.0405261	0.0628004	0.0408085	0.0478725	0.041113	0.0333035	0.0204738	0.0240601	0.0329923	0.0235327	0.0293676	0.0222397	0.026592	0.0154107	0.0354089	0.0125274	0.00870862	0.0130117	0.00806736	0.0121595	0.026667	0.0298582	0.022802	0.033126	0.0354952	0.020536	0.036534	0.0176068	0.0190759
le	0.0370143	0.0155556	0.00868481	0.0156212	0.0113182	0.0151403	0.0230092	0.0396321	0.0404179	0.0456905	0.0476127	0.0224433	0.0284451	0.0263809	0.0325476	0.0483512	0.0557884	0.0499368	0.0773794	0.0657086	0.0211855	0.0167504	0.0269306	0.0202078	0.0257535	0.0136378	0.0109088	0.0124582	0.0199143	0.0135837	0.0220211	0.0179818	0.0181936	0.0217975	0.0319973
fétiche	0.0335747	0.0519655	0.0196956	0.028458	0.0273442	0.0481371	0.0220079	0.0205935	0.0259696	0.0197361	0.0160068	0.038034	0.0301971	0.0489335	0.0506316	0.0484238	0.0592737	0.050991	0.0593288	0.0541045	0.057195	0.0338223	0.0354539	0.0269182	0.0227028	0.0182721	0.00655353	0.00291276	0.00298447	0.00201802	0.001588	0.00223561	0.00415579	0.00568136	0.0240995
avec	0.0191797	0.00878878	0.0101093	0.00963439	0.00607426	0.00823851	0.0244143	0.0464872	0.0235901	0.0447993	0.035708	0.0470229	0.0620337	0.0392318	0.0394219	0.0512885	0.0423557	0.0380653	0.0221216	0.0222271	0.01397	0.0164008	0.0222817	0.0251739	0.0269979	0.0389897	0.047802	0.0383145	0.0262525	0.0467022	0.018964	0.0220929	0.0154748	0.0163115	0.0234793
de	0.0196943	0.0221977	0.0295982	0.0126578	0.0101282	0.017387	0.0196375	0.0184303	0.0152208	0.0204069	0.0255103	0.0264383	0.0309971	0.0282037	0.0258443	0.0219096	0.0214312	0.0195699	0.0152539	0.0163663	0.016626	0.0350993	0.048088	0.0456919	0.0487342	0.0553049	0.0459076	0.0288639	0.0344721	0.0262763	0.0211033	0.0272085	0.0314912	0.0293966	0.0888531
la	0.0210594	0.0240521	0.0358504	0.0158458	0.0172385	0.0138216	0.0150739	0.0202259	0.0186558	0.0179391	0.020458	0.0178832	0.0176276	0.0159738	0.0144235	0.0108747	0.0113363	0.0106413	0.0114	0.011777	0.0122309	0.0248322	0.0319457	0.0364456	0.0350723	0.0395419	0.0427266	0.0405958	0.0439477	0.0487054	0.0517768	0.0498498	0.0602027	0.0570344	0.0829347
poudre	0.0282906	0.0321014	0.0223814	0.0199173	0.0283682	0.0288889	0.0182093	0.0407013	0.0207944	0.0250663	0.0197043	0.0136729	0.0151554	0.0190067	0.0185461	0.0200848	0.0249435	0.0280235	0.021045	0.0192653	0.0278799	0.0277857	0.0294742	0.0236484	0.0166885	0.0246924	0.0298432	0.0202821	0.0224339	0.0362381	0.0282736	0.0239086	0.059236	0.0472639	0.118185
de	0.0214727	0.0206814	0.0135666	0.0163396	0.0176409	0.0229868	0.0166943	0.0223093	0.0203791	0.0226015	0.0220578	0.018955	0.0181544	0.0224551	0.0190642	0.0161831	0.0171814	0.0130194	0.0113254	0.0109199	0.0106419	0.0171665	0.0298792	0.0296663	0.0427708	0.0428895	0.0544821	0.0465446	0.0506271	0.0483284	0.0286636	0.0309268	0.0575738	0.0599454	0.0859059
bois	0.0290089	0.0184979	0.0145507	0.0185004	0.017836	0.017032	0.0142563	0.021668	0.0177004	0.0189487	0.0131509	0.00758356	0.00606784	0.00638949	0.00493154	0.00426977	0.00513127	0.0061869	0.00675649	0.00645406	0.00583387	0.0105502	0.0165033	0.0223924	0.0281381	0.0553444	0.0621492	0.0640872	0.0593069	0.0632549	0.0614792	0.0631482	0.0686144	0.0742787	0.0899977
