 	i	b	v	u	n	d	z	ε	a	d	í	l	e	k	í	i	t	s	í	n	a	w	a	á	t	έ	i	k	o	l	á	y	a	m	w	á	s	í	y	a	w	a	</S>
ibvunze	0.0221002	0.0134092	0.013773	0.0111053	0.00989267	0.0096053	0.00979868	0.0146187	0.0273545	0.035186	0.0522411	0.0728775	0.0715348	0.0570746	0.0356908	0.0731283	0.024788	0.016363	0.0113174	0.0133416	0.0124472	0.0139965	0.014026	0.0111784	0.0111632	0.011498	0.0170802	0.0173931	0.0128153	0.00988339	0.0108496	0.0116169	0.0116667	0.0093079	0.0107064	0.0128943	0.0311208	0.0287121	0.0337879	0.0354707	0.0273495	0.0229193	0.0269159
a	0.0276046	0.0361433	0.0292418	0.0427618	0.0513763	0.0548849	0.0386497	0.0273723	0.043189	0.030311	0.0587893	0.0277858	0.0335804	0.0434279	0.0622018	0.0743225	0.0244043	0.0280651	0.0252905	0.0156409	0.0163246	0.0127198	0.0134304	0.0282085	0.0318367	0.0362041	0.00950175	0.0158644	0.00716493	0.0111651	0.00713032	0.00714937	0.00401358	0.00443573	0.00418792	0.00232172	0.00236983	0.00155842	0.00189423	0.00288234	0.00181455	0.00117341	0.0016052
le	0.0644883	0.0441119	0.0450744	0.0425089	0.0355987	0.0500575	0.032514	0.0292576	0.038914	0.030226	0.0330743	0.0342641	0.0365224	0.0365082	0.0241748	0.0214051	0.00995923	0.0117395	0.0161858	0.0101645	0.0125513	0.0229317	0.0414867	0.0361713	0.0401626	0.0120184	0.0137553	0.00813178	0.0113546	0.0114945	0.00734752	0.0062651	0.00432582	0.00256355	0.0100834	0.0113167	0.00562264	0.00582213	0.017164	0.00682766	0.00952246	0.0112847	0.0450468
front	0.0611974	0.0796223	0.0849341	0.0854345	0.106166	0.059954	0.0252537	0.0180558	0.0117407	0.00863378	0.0109003	0.0219832	0.0169661	0.0120643	0.0131203	0.0199282	0.0249574	0.0162041	0.0166571	0.0235476	0.0192939	0.0166299	0.0200076	0.010919	0.0156698	0.00961437	0.0127536	0.0129761	0.0136603	0.0160981	0.0221223	0.0154128	0.0192933	0.00661446	0.0043976	0.0049934	0.00563508	0.00721202	0.00496561	0.00670216	0.00359175	0.00527977	0.0288362
fermé	0.0158626	0.0236392	0.0190503	0.0214749	0.0182606	0.017016	0.0193689	0.017544	0.0202058	0.0121523	0.0126967	0.0150306	0.00874457	0.00608	0.00798602	0.0151605	0.0168959	0.041256	0.0291509	0.0307298	0.0286558	0.0215071	0.0317191	0.0358803	0.0388767	0.0416064	0.0321671	0.0274301	0.0324881	0.0291163	0.0418506	0.0410922	0.0149287	0.0133349	0.00531761	0.00717214	0.00865162	0.00797984	0.0169551	0.00605961	0.00783561	0.0224632	0.118606
parce	0.0121065	0.0131186	0.00970937	0.0187458	0.0227046	0.0251456	0.0279353	0.0238309	0.033565	0.025134	0.0215968	0.0131284	0.00818758	0.00832344	0.0143928	0.0185284	0.0231935	0.0339457	0.0294634	0.0305621	0.0334323	0.0272899	0.0379762	0.0280826	0.03395	0.0252275	0.0294558	0.0252601	0.0308638	0.0302516	0.0427792	0.0357266	0.022413	0.0175436	0.0133689	0.0153094	0.0136968	0.0173835	0.021973	0.0117028	0.0174307	0.0246337	0.0309312
qu'	0.00715873	0.00889456	0.0081863	0.0185088	0.0277263	0.0259359	0.0281397	0.0305804	0.0369938	0.0294415	0.0255636	0.0193105	0.0105877	0.00883428	0.0135118	0.013481	0.0171064	0.0256202	0.0365243	0.0363304	0.0417904	0.0372889	0.0417666	0.0387517	0.0369665	0.0287773	0.0242452	0.0234408	0.0274778	0.0286761	0.0382806	0.0395226	0.0218958	0.0230541	0.0101703	0.00908394	0.010886	0.0117482	0.0148198	0.00880595	0.013659	0.0189824	0.0214738
il	0.0161521	0.0157058	0.0193351	0.0292542	0.0352012	0.0234495	0.0320712	0.0299797	0.0337168	0.033014	0.0324061	0.0327411	0.0233064	0.0203966	0.0243673	0.0343593	0.0444795	0.0529751	0.0513876	0.0330518	0.0432267	0.0292313	0.0341044	0.0259119	0.0300948	0.0111004	0.0183547	0.0148723	0.0188529	0.0196749	0.0302434	0.0190997	0.00741609	0.00692238	0.00223607	0.0028385	0.00330429	0.00297353	0.00517314	0.00404269	0.00473235	0.00952677	0.0387163
a	0.0433737	0.0381792	0.0320346	0.0245876	0.0167821	0.00893297	0.0167116	0.0145693	0.011019	0.00789954	0.0117634	0.010398	0.013133	0.0137566	0.0197965	0.0307716	0.037601	0.0512317	0.0335933	0.0255873	0.0251789	0.019017	0.022583	0.0236327	0.0244097	0.019893	0.0181703	0.0144142	0.0226965	0.0244354	0.0329245	0.0294597	0.0226783	0.0126424	0.00770363	0.0130412	0.0154382	0.0124825	0.0198066	0.00941683	0.0115954	0.0418736	0.0947843
vu	0.0439397	0.025038	0.0250099	0.0229701	0.0161519	0.00570426	0.00927866	0.0084874	0.00796987	0.00889048	0.0136354	0.0124048	0.0167544	0.0204659	0.0246429	0.0312266	0.0368187	0.0443525	0.0319616	0.0256862	0.0281199	0.0196813	0.0425224	0.0433705	0.0409053	0.0289606	0.0205003	0.0158222	0.0162694	0.0176265	0.0188644	0.0142123	0.0147818	0.00862535	0.00684355	0.0128314	0.0157072	0.0167679	0.0168062	0.00975166	0.0166118	0.039147	0.103882
l'	0.0246988	0.0249122	0.0194907	0.0171206	0.0135942	0.00706335	0.012879	0.0107566	0.00731227	0.00682782	0.0095496	0.00825859	0.0102855	0.0102301	0.0124068	0.0142998	0.0210344	0.0378035	0.0291122	0.0261088	0.0329733	0.0221641	0.0541855	0.0219644	0.0343632	0.0221494	0.021271	0.0120124	0.0200918	0.0185023	0.0195723	0.0202487	0.0237281	0.00985407	0.00680533	0.015787	0.0286118	0.0251417	0.03371	0.0149054	0.0275119	0.0670386	0.123663
amant	0.0169839	0.0163924	0.0154256	0.0149811	0.0134263	0.00906239	0.0101876	0.00754504	0.00533448	0.00614091	0.00646487	0.00733182	0.00821746	0.0094368	0.0106387	0.0130541	0.0172281	0.0229707	0.0214313	0.0304358	0.0341491	0.0249271	0.04216	0.0320174	0.0301081	0.0207455	0.0297119	0.0223466	0.0206848	0.0242166	0.0269164	0.0179174	0.0229807	0.0107384	0.00325153	0.0150682	0.0263657	0.0304986	0.0364812	0.0124174	0.0387688	0.0777458	0.137093
