 	b	í	s	í	l	a	n	ω	l	é	m	i	k	á	n	a	a	</S>
il	0.0837176	0.124943	0.265389	0.1604	0.0798859	0.0307028	0.0335697	0.0189481	0.0255215	0.0292892	0.0317418	0.0280494	0.0227083	0.0106715	0.0147793	0.0155232	0.011256	0.0129039
y	0.143305	0.266211	0.0602522	0.0230249	0.0412708	0.0541925	0.047356	0.0544274	0.0844127	0.0384075	0.0294753	0.0192939	0.0211655	0.029422	0.0277687	0.0191686	0.0216628	0.0191839
a	0.0546639	0.0672299	0.101565	0.101866	0.0593086	0.0325377	0.0318278	0.0962642	0.0801288	0.0677825	0.077088	0.055712	0.0295634	0.0296244	0.0332698	0.0333585	0.0247818	0.0234275
belle	0.0280897	0.0206702	0.016593	0.0141421	0.0223307	0.0248094	0.0294557	0.0481589	0.0410061	0.0554243	0.104598	0.0751192	0.0899064	0.104269	0.0584193	0.0880949	0.100146	0.0787674
lurette	0.028754	0.0333072	0.0229153	0.0309417	0.0446643	0.0248044	0.0257846	0.0363316	0.0480068	0.054312	0.0721705	0.0767465	0.117285	0.119597	0.0806835	0.0637719	0.0442968	0.0756274
qu'	0.0914605	0.0863823	0.048109	0.0328226	0.0360758	0.0398936	0.041841	0.0518288	0.052789	0.0454213	0.0577988	0.0621509	0.0429593	0.0455272	0.0420949	0.0520249	0.071575	0.099245
on	0.112823	0.111386	0.0672259	0.0522698	0.0508707	0.0500341	0.0439165	0.0818294	0.0639496	0.0399475	0.0259319	0.0228758	0.0295483	0.0349279	0.0373983	0.049126	0.0420807	0.0838592
s'	0.16936	0.114366	0.0383503	0.0162091	0.0166717	0.0139705	0.0142335	0.0438126	0.0525857	0.0392943	0.0409174	0.0309889	0.0454463	0.0540325	0.0649406	0.0713455	0.0715219	0.101954
est	0.0970471	0.0512231	0.0262526	0.0101714	0.0129483	0.0140118	0.0188272	0.0589635	0.0601616	0.0464729	0.0442908	0.0380628	0.0391127	0.0544931	0.102681	0.1069	0.0966754	0.121705
vu	0.0897909	0.0309028	0.0173374	0.00815999	0.0154204	0.0179556	0.0200873	0.0623068	0.0829329	0.0642083	0.0702725	0.0493315	0.0425832	0.0522729	0.0789007	0.0844887	0.0772438	0.135805
toi	0.0484103	0.0215597	0.0123988	0.00764858	0.00772136	0.00541623	0.00516596	0.0128931	0.0162625	0.0103248	0.0171838	0.0368432	0.113669	0.182782	0.151122	0.14692	0.112468	0.0912107
et	0.0488383	0.0315577	0.0218212	0.0114944	0.0129528	0.00973668	0.00973779	0.0329503	0.0342282	0.0255094	0.0372696	0.0527768	0.0922981	0.117743	0.117237	0.117993	0.112268	0.113588
moi	0.048997	0.0333211	0.0244213	0.0124426	0.018588	0.020413	0.019801	0.0462762	0.051086	0.0293035	0.048443	0.0655835	0.0635902	0.0833262	0.107079	0.105993	0.103588	0.117748
</S>	0.0852991	0.047222	0.0340174	0.0174126	0.0287167	0.0228934	0.0282146	0.0388514	0.0412485	0.0283915	0.040484	0.0583529	0.0514784	0.0695143	0.0962231	0.0897003	0.101251	0.120728
