 	m	í	w	ó	m	i	s	a	l	ó	k	á	n	d	á	l	ó	o	b	á	n	d	á	o	f	ú	n	d	á	m	u	a	</S>
pour	0.0125457	0.0139743	0.0170524	0.00738697	0.00490837	0.00790125	0.0107662	0.0112856	0.0189344	0.0234449	0.034197	0.0521214	0.0533706	0.0563191	0.0525187	0.0516883	0.0401937	0.0301602	0.0300814	0.0320593	0.0350379	0.0396535	0.0293691	0.0296223	0.024439	0.0255117	0.0335501	0.0409974	0.0441336	0.0399397	0.0360863	0.0372595	0.0234902
sécher	0.185452	0.0790156	0.0564587	0.0523182	0.0360306	0.0418699	0.0322216	0.0314846	0.0557653	0.0473094	0.0358523	0.0217643	0.0161648	0.0163187	0.034096	0.0407461	0.0428542	0.0246353	0.02282	0.0198781	0.00814218	0.00903563	0.00830929	0.00812081	0.00716761	0.00834055	0.0140419	0.00907081	0.00907267	0.00430681	0.00776498	0.00551731	0.00805397
un	0.0500118	0.0300648	0.0222917	0.00998232	0.0116901	0.0174013	0.0251718	0.0306853	0.0520677	0.0507384	0.0428777	0.0441654	0.0444995	0.0549984	0.049913	0.0375662	0.0330786	0.0271625	0.0236173	0.0335269	0.0256423	0.0238792	0.0270373	0.024989	0.0191293	0.0230982	0.0213391	0.0182821	0.0227804	0.015439	0.0282493	0.0335952	0.025029
habit	0.0334038	0.0555674	0.0662075	0.0532434	0.0822287	0.0541433	0.0447381	0.0358896	0.0338365	0.0263748	0.0240984	0.0240636	0.0294072	0.0329924	0.0401431	0.0343067	0.0295089	0.0232516	0.0228265	0.024977	0.0255475	0.0242313	0.0253168	0.0237617	0.0206488	0.0175798	0.0102492	0.00792421	0.00978864	0.00786078	0.0105162	0.0134854	0.0318814
il	0.0365776	0.0273945	0.0274388	0.0304349	0.042471	0.0368606	0.0378847	0.0515498	0.0487519	0.0408713	0.0380746	0.0320371	0.0276676	0.0298486	0.0329774	0.0277485	0.0260281	0.0312657	0.0248813	0.0289404	0.0355218	0.0288415	0.0330982	0.0355501	0.0254403	0.0220028	0.0126073	0.0100778	0.0109918	0.0111869	0.0121212	0.017013	0.0658427
faut	0.0321927	0.0384561	0.0225731	0.0335583	0.0384729	0.035169	0.0293626	0.0265822	0.0235716	0.0204121	0.0191347	0.0122458	0.0125328	0.0144514	0.0210333	0.0319212	0.0494466	0.0451625	0.0487945	0.0371339	0.0248383	0.0250545	0.0264209	0.0273713	0.0328004	0.0243737	0.021436	0.0231388	0.0240875	0.0266928	0.032501	0.0400514	0.0790262
d'	0.0500756	0.0367547	0.0229657	0.0289722	0.0316712	0.0254087	0.0207676	0.0197396	0.0178156	0.0152048	0.0142981	0.0095858	0.00902172	0.0100068	0.0148009	0.0246579	0.0384345	0.0346276	0.0381803	0.0389054	0.0318117	0.0296685	0.0323651	0.0272865	0.0301659	0.0294447	0.0304067	0.0345231	0.0397161	0.034613	0.0464144	0.0564022	0.0752873
abord	0.0289478	0.0223738	0.0221929	0.0183359	0.0164739	0.0106607	0.00818357	0.00721504	0.00642135	0.00778452	0.00945044	0.00701943	0.00566508	0.00650784	0.00716642	0.00847274	0.0116003	0.0145173	0.0226351	0.033451	0.0380063	0.0405895	0.0450412	0.0370965	0.0430717	0.0435127	0.0443688	0.0482454	0.0526675	0.0488477	0.0562596	0.0877333	0.139485
le	0.0571364	0.0286875	0.0252107	0.0228973	0.022057	0.0165461	0.0172044	0.0193689	0.0163837	0.0133798	0.0104454	0.00987526	0.00713568	0.0111141	0.00718414	0.0105225	0.0153753	0.0239351	0.0243693	0.0272227	0.0301269	0.0316759	0.0362074	0.042971	0.0435601	0.0379815	0.0310144	0.0327364	0.0372698	0.0435816	0.0416658	0.0555767	0.149581
mettre	0.0729277	0.0516095	0.0490209	0.0359572	0.0288965	0.0149691	0.0143482	0.014404	0.0142078	0.0164266	0.0188391	0.0136137	0.0118878	0.0112388	0.00933471	0.00715507	0.00569059	0.00677433	0.00574127	0.0096197	0.0119066	0.0108043	0.0179512	0.0300073	0.0264921	0.035858	0.0362892	0.0263962	0.0458868	0.0518949	0.0585002	0.0890384	0.146312
à	0.0613341	0.0488301	0.0481677	0.0390202	0.0337283	0.0200703	0.0206053	0.0210199	0.0192657	0.0167049	0.0125418	0.00834787	0.00707831	0.0084117	0.0084837	0.0123088	0.0163774	0.020092	0.0219069	0.02948	0.0336753	0.0304029	0.0332675	0.0351986	0.035661	0.0354824	0.0358639	0.0351194	0.0377406	0.0389378	0.0429862	0.0476824	0.0842069
l'	0.122131	0.067749	0.0502372	0.0304405	0.0262388	0.0179508	0.0193511	0.0155699	0.0111653	0.00807888	0.00708153	0.0059993	0.00597583	0.00765943	0.00609709	0.00670413	0.00863744	0.0160389	0.0122647	0.0153655	0.0172271	0.0163052	0.0187486	0.0195819	0.0221428	0.0259826	0.0279017	0.0301338	0.0391441	0.0469853	0.0557532	0.0655937	0.153763
envers	0.0803983	0.0606369	0.0417867	0.0396173	0.0262861	0.0130987	0.011267	0.00615749	0.00530365	0.00574721	0.0065183	0.00442965	0.00448332	0.00529656	0.00556739	0.00777507	0.00789221	0.0102907	0.0113229	0.0162499	0.0209329	0.0224236	0.0246166	0.0222979	0.0278456	0.0350296	0.0421	0.0411278	0.0544694	0.0573632	0.0693616	0.0899392	0.122367
</S>	0.0464788	0.0394839	0.0307833	0.0264107	0.0234888	0.0135802	0.0119898	0.0124973	0.0123423	0.0139993	0.0134875	0.00764102	0.0055721	0.0071903	0.0105577	0.0172145	0.0259932	0.0274709	0.0243438	0.0263895	0.0290029	0.0257927	0.0313569	0.0319602	0.040502	0.0420462	0.0424124	0.0430232	0.049194	0.0584764	0.0603369	0.0543366	0.0946447
