 	s	á	b	í	n	í	á	t	s	ω	o	k	a	l	i	i	n	d	é	e	a	d	í	n	ω	</S>
de	0.0123786	0.0224776	0.0265099	0.0184307	0.0209945	0.0150914	0.0159866	0.0213324	0.0267637	0.0446015	0.0475572	0.0780802	0.0947544	0.118661	0.0932073	0.0704128	0.0465487	0.0455589	0.0297886	0.0330236	0.0193306	0.0148523	0.0139694	0.0140104	0.0283029	0.0273754
vous	0.136746	0.0825176	0.0801657	0.0527354	0.0356374	0.0320447	0.0295782	0.0247557	0.0248669	0.019977	0.0194761	0.027184	0.0178094	0.0145182	0.0233595	0.0336707	0.0450863	0.0504228	0.0632564	0.0341272	0.0379165	0.0341631	0.0292775	0.016601	0.0088382	0.0252689
tous	0.0312612	0.0398509	0.0308521	0.0253668	0.0254868	0.0245931	0.0413576	0.0359936	0.0386895	0.0416171	0.0385283	0.0430886	0.0492725	0.0545666	0.0712914	0.0701817	0.0552091	0.0521156	0.0576737	0.0277724	0.0351128	0.0303982	0.028347	0.0164263	0.0233688	0.0115784
c'	0.052673	0.051011	0.0292967	0.0185081	0.0189335	0.0178893	0.0197531	0.0131762	0.0195692	0.0181937	0.0256685	0.0283213	0.0246893	0.0358381	0.0482991	0.0565825	0.0461819	0.0542958	0.0621365	0.0431648	0.0384402	0.0478219	0.0580493	0.0544131	0.0398798	0.0772142
est	0.0196706	0.0278016	0.0302286	0.0409491	0.0524547	0.0514223	0.0560596	0.0556028	0.0564668	0.0607556	0.0509674	0.0508222	0.0577158	0.0520519	0.0277028	0.0187847	0.0241803	0.018163	0.0232409	0.0243713	0.0306142	0.0263823	0.0240851	0.0194351	0.031038	0.0690337
toi	0.0604075	0.089906	0.0750891	0.0572797	0.0340205	0.0324855	0.026835	0.0261534	0.0333183	0.0262191	0.0297463	0.0283097	0.0208253	0.0288123	0.0295614	0.0287389	0.0283482	0.0227195	0.0198359	0.032642	0.0287423	0.029382	0.0409026	0.0438854	0.0512085	0.0746255
qui	0.0403669	0.0849845	0.0587402	0.0564091	0.0717091	0.0537334	0.0421932	0.0370904	0.0304993	0.0287075	0.0309745	0.0307479	0.0222463	0.0152968	0.0179061	0.0147977	0.0201912	0.0156293	0.0144373	0.0126511	0.0163952	0.0322767	0.0343031	0.0418844	0.0349822	0.140847
va	0.0571452	0.116895	0.0602506	0.0455227	0.0513344	0.0370016	0.0282176	0.0281155	0.0293555	0.021764	0.0326824	0.0443975	0.0276929	0.0203107	0.0179427	0.016392	0.0207009	0.0205729	0.01878	0.0180891	0.0177438	0.0316221	0.033777	0.048673	0.0439608	0.11106
rentrer	0.137295	0.0863602	0.0487726	0.0299359	0.0188835	0.0143684	0.0137612	0.0105408	0.0144744	0.0116812	0.0146533	0.0165568	0.0135494	0.0188195	0.0210323	0.0163314	0.0180112	0.0209477	0.0283257	0.0340309	0.0288373	0.0668209	0.0746844	0.0743116	0.0664746	0.10054
à	0.0500045	0.0355473	0.0262603	0.024852	0.0314425	0.0255925	0.0298645	0.0299623	0.0334913	0.0331381	0.0317128	0.0262	0.0240981	0.0249405	0.0250343	0.0239916	0.0330401	0.024947	0.0249839	0.0306336	0.0306135	0.0346481	0.0470442	0.0664232	0.068217	0.163317
la	0.0651162	0.0318762	0.0236875	0.0216081	0.0148556	0.0118216	0.00768738	0.00527579	0.00667279	0.00546747	0.00698758	0.00639098	0.00458662	0.00762497	0.0131071	0.0138851	0.0197106	0.0273919	0.0266665	0.0470794	0.030594	0.0532029	0.0942779	0.135627	0.126518	0.19228
maison	0.0793663	0.0429322	0.0259649	0.0169627	0.00982674	0.00800354	0.00656297	0.00526706	0.00707145	0.00579882	0.00907972	0.00870714	0.00766758	0.0125618	0.0209014	0.022292	0.0223186	0.0301116	0.024651	0.0240046	0.0112413	0.0324612	0.0679692	0.144913	0.144523	0.208839
</S>	0.0526925	0.0335205	0.0250892	0.0228953	0.0195269	0.0182625	0.0123691	0.00889246	0.00980109	0.00733258	0.0103366	0.0112075	0.00818521	0.0154927	0.0231115	0.0250203	0.0356653	0.046241	0.0466016	0.063789	0.0516673	0.071295	0.0826029	0.0901653	0.0907187	0.117518
