 	a	s	ó	m	b	i	n	y	a	m	a	á	d	i	m	ó	l	ω	n	g	i	l	i	</S>
ceux	0.0472004	0.0244123	0.015485	0.0177876	0.021734	0.0201415	0.0364174	0.0415337	0.0449309	0.0605289	0.0697974	0.0684722	0.0615454	0.0611144	0.0650626	0.0504904	0.0470086	0.0416713	0.0482949	0.0361124	0.0370637	0.037514	0.0255239	0.0201569
qui	0.173163	0.113482	0.0694984	0.0451296	0.0441164	0.0207166	0.0193928	0.0182136	0.0804169	0.106674	0.0818789	0.0728976	0.0184622	0.0268325	0.0306552	0.00980492	0.00990804	0.00514212	0.00343983	0.00935299	0.0106318	0.00565104	0.00689698	0.0176427
sont	0.0189057	0.031378	0.0395832	0.0366149	0.053247	0.0407401	0.0556237	0.0597907	0.0540211	0.0704146	0.0674	0.0499443	0.0579364	0.0678534	0.0459508	0.0518356	0.0391602	0.0326681	0.0389093	0.020415	0.0171708	0.0207497	0.0173159	0.0123712
venus	0.0343163	0.0552197	0.0514647	0.05228	0.0647568	0.0633384	0.0369881	0.0225899	0.0543705	0.0465101	0.0403882	0.0327624	0.0534193	0.0535786	0.0406063	0.0298811	0.0229031	0.0252443	0.0301855	0.0221391	0.0211763	0.0281261	0.0269262	0.090829
acheter	0.0427338	0.0367112	0.0355223	0.0373721	0.0488856	0.0529223	0.0437292	0.0456062	0.0450066	0.035199	0.0340606	0.0344077	0.0238971	0.0214153	0.0240226	0.018163	0.0242193	0.0296272	0.0301198	0.0307555	0.0300666	0.0444566	0.0613118	0.169789
la	0.0172099	0.0170952	0.0148242	0.0155954	0.0156004	0.0151597	0.0144567	0.0135772	0.0138144	0.0138885	0.0223897	0.024617	0.0342031	0.0583411	0.0643886	0.0731681	0.0914981	0.0866906	0.0954427	0.0463146	0.05456	0.0708454	0.0747106	0.0516088
viande	0.0456039	0.0476254	0.0427817	0.045126	0.0460082	0.0349405	0.0236346	0.0142788	0.0205128	0.0216201	0.0130214	0.0112732	0.0147353	0.0461867	0.0673392	0.0494668	0.0687307	0.054562	0.0394613	0.0412367	0.0450568	0.0555271	0.0584236	0.0928472
se	0.0268062	0.0234371	0.0308494	0.0365373	0.0413553	0.0402807	0.0386133	0.0389901	0.0388432	0.0417841	0.036618	0.0293852	0.0273415	0.0461599	0.0349656	0.0285608	0.0448974	0.0439256	0.0455664	0.0519952	0.0376152	0.0487462	0.0576984	0.109028
sont	0.0568928	0.0469512	0.045038	0.0484959	0.0476211	0.0391263	0.0252898	0.0126159	0.0113991	0.0100871	0.00975519	0.00857835	0.0112089	0.0121543	0.0225842	0.0273603	0.0301005	0.0390204	0.0590177	0.0751652	0.0849522	0.0908183	0.0854659	0.100301
mis	0.0410273	0.0370747	0.0287295	0.026425	0.0230786	0.00890384	0.0057975	0.0032867	0.00377735	0.00349651	0.00257427	0.002775	0.00601833	0.0175883	0.0411347	0.0304686	0.0571641	0.0599448	0.0802795	0.0835802	0.0931053	0.109564	0.112695	0.121511
en	0.0687199	0.0446389	0.0322062	0.0257741	0.0209989	0.0136526	0.0116395	0.00744615	0.00740084	0.00747802	0.00391374	0.00392537	0.00488801	0.00652474	0.0119456	0.01755	0.0241348	0.0294133	0.0513665	0.066978	0.0646473	0.105	0.150128	0.219629
rang	0.0376578	0.0328371	0.0254043	0.0245901	0.0211937	0.00847129	0.00476707	0.00250164	0.00338434	0.00309317	0.00173303	0.00190969	0.00481956	0.00892554	0.0244934	0.0236239	0.0348565	0.0463769	0.0713741	0.0938928	0.114797	0.131678	0.130622	0.146998
</S>	0.0658144	0.0383227	0.0310156	0.0224488	0.0180755	0.0117286	0.00780634	0.00656297	0.0102022	0.010551	0.00540695	0.00392286	0.0034899	0.00644287	0.0137492	0.0188576	0.0429049	0.0430997	0.0524136	0.0740866	0.0708887	0.100434	0.114008	0.227766
