 	o	t	á	á	n	y	a	m	a	y	é	é	d	i	m	ó	m	í	á	</S>
tu	0.0139201	0.0249933	0.0359732	0.0532372	0.0411796	0.0303022	0.0328045	0.0405611	0.0458987	0.0479866	0.0592146	0.056881	0.0579705	0.0556747	0.0486629	0.0670838	0.1103	0.0854989	0.0603106	0.0315467
feras	0.0820276	0.0482545	0.0743556	0.0995493	0.0875139	0.0800956	0.142438	0.125439	0.108218	0.0336129	0.0171813	0.0195788	0.0136108	0.0230644	0.0119732	0.00486963	0.00434447	0.00400487	0.00731819	0.0125505
attention	0.0730981	0.033568	0.032849	0.0669145	0.0373741	0.0241281	0.0415735	0.0159932	0.0153911	0.00863085	0.0123136	0.0161863	0.0127854	0.0175791	0.035443	0.0544267	0.0809858	0.107574	0.143872	0.169314
à	0.0756544	0.0330439	0.0370499	0.0473589	0.0324896	0.0324457	0.0368141	0.0330164	0.0382653	0.0273223	0.0118348	0.0126353	0.0125509	0.0205744	0.0341563	0.0472562	0.0409721	0.0499839	0.0963265	0.280249
la	0.0605711	0.120151	0.144466	0.112621	0.120589	0.0636052	0.037748	0.028042	0.0281714	0.0140073	0.0104042	0.0155567	0.0136062	0.0113383	0.0173807	0.0130411	0.0156853	0.0135236	0.0253926	0.134099
viande	0.0407255	0.0661172	0.111411	0.110964	0.151497	0.129993	0.0490336	0.0291554	0.0427529	0.0394643	0.0244336	0.0344941	0.0206339	0.0379749	0.0385652	0.0152988	0.0134681	0.00809064	0.0102515	0.0256758
qui	0.0948429	0.100646	0.0723037	0.0533059	0.0390962	0.0214417	0.0106237	0.00857209	0.00983685	0.015884	0.0213074	0.0370865	0.0444282	0.0617117	0.0631672	0.0784303	0.0550519	0.0284718	0.0368555	0.146937
est	0.115383	0.10426	0.0970027	0.082211	0.0845449	0.0515825	0.0198509	0.0142154	0.0130899	0.00562427	0.00706906	0.0208863	0.0200734	0.0300752	0.0654512	0.0246717	0.0282972	0.0188321	0.0438945	0.152985
sur	0.242921	0.144746	0.0741979	0.0403	0.046963	0.0228267	0.0125243	0.00786894	0.00728186	0.00389518	0.00534572	0.0156773	0.0220166	0.0201567	0.0270683	0.0212252	0.0291575	0.0213799	0.0306091	0.203838
le	0.210079	0.11164	0.0595996	0.036759	0.0312144	0.0188057	0.0127671	0.0117009	0.00779936	0.00398934	0.00465151	0.0119724	0.0189358	0.0148165	0.0286396	0.0393605	0.0410624	0.0220806	0.0484399	0.265686
feu	0.203745	0.0944883	0.0738612	0.0551619	0.0352585	0.0213467	0.0109774	0.00769175	0.00588081	0.00453936	0.00504363	0.009427	0.0102626	0.0116456	0.0259623	0.0314174	0.050665	0.0398972	0.0885855	0.214143
</S>	0.0885961	0.0516257	0.0425575	0.0401764	0.0375499	0.0302804	0.0170963	0.0157714	0.0115827	0.00650331	0.00954034	0.0227623	0.0216246	0.0209379	0.0534351	0.0719798	0.0966978	0.0705416	0.0998637	0.190877
