 	b	á	a	á	f	ú	u	n	d	é	e	m	ó	t	s	ε	s	έ	</S>
ils	0.0733679	0.154215	0.231633	0.148638	0.0773008	0.0520164	0.0142669	0.0167552	0.0211603	0.0255712	0.0185873	0.0256154	0.0384773	0.0394364	0.0273711	0.0163854	0.00848572	0.00599245	0.00472472
ont	0.0308909	0.0245946	0.0283185	0.0261711	0.0316508	0.0313728	0.0593992	0.101405	0.116515	0.138154	0.117387	0.106577	0.0619318	0.0536822	0.0309808	0.0156317	0.0142606	0.007485	0.00359154
cou	0.0638876	0.0537292	0.0709779	0.0709265	0.0710403	0.0355552	0.0375226	0.0353903	0.0332991	0.0435173	0.0420239	0.0564572	0.0742025	0.0696488	0.0545783	0.060503	0.0494343	0.0411275	0.0361784
vert	0.0521715	0.0805059	0.0752312	0.0486478	0.0538606	0.048934	0.0336583	0.0334299	0.0538778	0.0466094	0.0795082	0.0451269	0.0291373	0.0266764	0.0278082	0.0307332	0.0472358	0.0757377	0.11111
la	0.0183715	0.0205879	0.0205912	0.0300414	0.0314572	0.0338843	0.0324845	0.0327919	0.0357794	0.0360369	0.0357638	0.0364485	0.0399811	0.0455469	0.0716163	0.10598	0.122185	0.116753	0.133699
maison	0.0162826	0.0223599	0.0199531	0.0160501	0.0162053	0.0180707	0.0212493	0.0261157	0.0301325	0.0442434	0.0546551	0.0582112	0.0870701	0.0845547	0.0775098	0.0792127	0.0902002	0.0830714	0.154852
avec	0.0382953	0.0358564	0.033178	0.0273139	0.0273094	0.0272669	0.0303007	0.0317882	0.0315971	0.0371721	0.0359683	0.0418819	0.0519834	0.0561072	0.0715479	0.0804521	0.102041	0.109702	0.130238
du	0.0847022	0.0612158	0.0341881	0.023574	0.019142	0.0192928	0.0202671	0.017641	0.0191831	0.0207937	0.0226459	0.0197141	0.0186434	0.0203286	0.0294288	0.0387785	0.083947	0.189063	0.257451
chaume	0.116515	0.065577	0.0599368	0.0530821	0.0275038	0.0145062	0.0137811	0.0129463	0.0195832	0.0382627	0.0651326	0.0608353	0.0620594	0.0291217	0.0338737	0.0341722	0.070361	0.0783229	0.144428
</S>	0.0537532	0.0602306	0.0686132	0.0534286	0.033639	0.0303299	0.0265787	0.023532	0.028348	0.0309913	0.027047	0.0251265	0.0180731	0.0190056	0.0293845	0.0414578	0.100983	0.112629	0.216849
