 	n	g	á	í	s	ó	m	b	i	i	k	w	á	á	s	á	r	e	m	í	t	o	n	g	a	l	á	p	f	u	m	b	a	</S>
j'	0.0828521	0.39582	0.188116	0.0943944	0.0711482	0.00213112	0.00161487	0.00111749	0.00275954	0.00278117	0.00300353	0.00467278	0.00698973	0.0109889	0.00990557	0.0088527	0.0104946	0.0118987	0.0120308	0.0047387	0.00389552	0.0066862	0.00493809	0.00498001	0.00466685	0.00472997	0.00505573	0.00535948	0.00573629	0.00535158	0.00581645	0.00566857	0.00577261	0.00503148
ai	0.109867	0.0323462	0.0519457	0.0684073	0.026994	0.0177063	0.0231976	0.0337098	0.0509941	0.040971	0.0540213	0.0546125	0.0575	0.0453272	0.0587929	0.0465141	0.0265526	0.0223014	0.0113552	0.0144957	0.0229413	0.017979	0.0155991	0.00858635	0.0155651	0.0117831	0.00993518	0.00634755	0.00775842	0.00500008	0.00732114	0.00469716	0.00536483	0.0135095
acheté	0.0320133	0.03168	0.0222086	0.0329636	0.0148331	0.0318243	0.0428591	0.0526716	0.035412	0.0740422	0.0334902	0.0300391	0.0474704	0.0470083	0.0298345	0.0385559	0.0523335	0.0341563	0.0327125	0.0305167	0.0286969	0.0169325	0.018252	0.0117566	0.0128811	0.0129122	0.0143328	0.0194156	0.0194928	0.0271911	0.0210851	0.0199658	0.0174018	0.0130586
des	0.0680704	0.0765233	0.0477836	0.035364	0.0170954	0.0295827	0.02061	0.0297418	0.0146278	0.017186	0.0344389	0.0209171	0.0191145	0.0173241	0.0242436	0.0507823	0.0340902	0.0308004	0.0249575	0.0246649	0.0285101	0.0240408	0.0370233	0.0293641	0.0452926	0.0221857	0.0248038	0.0218537	0.0210933	0.0207632	0.0195775	0.012351	0.0268798	0.0283424
tissus	0.0276403	0.0190941	0.0155431	0.0101252	0.0102084	0.0355462	0.0310235	0.0554872	0.0396192	0.0714739	0.0745026	0.0207819	0.030903	0.0219067	0.0218863	0.0295096	0.0199013	0.0171582	0.0187553	0.0170358	0.0196731	0.0224755	0.0198329	0.0235339	0.030448	0.0311048	0.0277299	0.0317577	0.0306867	0.0317662	0.0284916	0.0290139	0.0280481	0.057336
de	0.0128172	0.0172693	0.0118886	0.0133063	0.0122557	0.0116792	0.0159763	0.0302382	0.0339458	0.0433452	0.0539825	0.0181935	0.0196264	0.00994246	0.0152725	0.0143743	0.0145108	0.0199049	0.0291046	0.0275699	0.0298201	0.0386873	0.0302059	0.0325549	0.0242673	0.0468612	0.0371395	0.0457407	0.0453257	0.0486163	0.0414211	0.0421234	0.0374644	0.0745687
raphia	0.0331395	0.0313579	0.0135735	0.0169108	0.0203924	0.0206286	0.017661	0.0248057	0.0243906	0.0344571	0.0410738	0.0167035	0.0184651	0.00958135	0.0229659	0.0193035	0.0158263	0.0151195	0.0155648	0.0155886	0.0190198	0.0217887	0.0204724	0.0266908	0.0305539	0.0391118	0.038263	0.0382285	0.0398695	0.0437409	0.0473413	0.0629855	0.055112	0.0893124
pour	0.0241381	0.0140144	0.0107946	0.013605	0.0129084	0.0181025	0.0194739	0.025704	0.0194686	0.0212395	0.0224855	0.0162815	0.0165974	0.00964989	0.0215718	0.0229215	0.0193927	0.0197457	0.026241	0.0229612	0.0258803	0.0340033	0.0313209	0.0327675	0.0366411	0.0448951	0.0460787	0.0420482	0.0490004	0.0568324	0.0534427	0.0480913	0.0572039	0.0644969
confectionner	0.0388441	0.0343352	0.0297854	0.0284958	0.0194685	0.0166777	0.0186228	0.0222411	0.014889	0.0211765	0.024577	0.0205226	0.0214553	0.022469	0.0264848	0.0255703	0.0280216	0.0304474	0.0262673	0.0246345	0.0247296	0.0267114	0.0218103	0.0251443	0.0202176	0.026685	0.0308148	0.041654	0.0449496	0.0491538	0.0443853	0.0484375	0.0482539	0.0520668
une	0.0476756	0.0406034	0.0258532	0.0309144	0.0197647	0.0156752	0.0181139	0.0209117	0.0120705	0.016853	0.0205771	0.0174174	0.0197293	0.0209045	0.0248576	0.0257684	0.0268569	0.0293265	0.0280462	0.0259746	0.0223454	0.025906	0.0180355	0.0190621	0.0157219	0.0245353	0.024544	0.0362111	0.0422124	0.0505663	0.0473525	0.0570886	0.0604343	0.0680907
robe	0.0192274	0.0144139	0.0110352	0.0149151	0.0168404	0.0301199	0.0205196	0.0365698	0.0167956	0.0184035	0.0347785	0.0186812	0.0210643	0.0301927	0.0332365	0.0362646	0.0279249	0.0269748	0.0297074	0.0294683	0.0282596	0.0337316	0.0254391	0.0321013	0.0208656	0.0292859	0.025653	0.0348642	0.0341325	0.0322402	0.0363499	0.0580631	0.0567294	0.0651512
pour	0.0570764	0.0322388	0.034755	0.0397415	0.0372916	0.0322074	0.0281508	0.0358261	0.0241264	0.0326153	0.0506861	0.0151787	0.0318056	0.0183849	0.051486	0.0643105	0.0373562	0.0222438	0.0186004	0.00803389	0.00876284	0.010476	0.0180352	0.0225446	0.0188984	0.016356	0.0199499	0.0171836	0.0195077	0.0258022	0.0294615	0.022423	0.048248	0.0502359
la	0.0420741	0.0228753	0.0209871	0.0246327	0.0227626	0.0149446	0.00881746	0.0114643	0.00822332	0.0110727	0.0126634	0.00801786	0.0115635	0.00835351	0.0152894	0.0172242	0.0166571	0.0194209	0.0163831	0.0127786	0.0101212	0.0166256	0.013883	0.0185616	0.0204575	0.0336196	0.035987	0.0500841	0.0535809	0.0732105	0.0669355	0.0759966	0.0929709	0.11176
danse	0.0238515	0.0255755	0.0200422	0.0179504	0.0198006	0.0109538	0.00738568	0.00929362	0.00885819	0.00607059	0.0111729	0.0093152	0.0098262	0.0144792	0.0163719	0.021287	0.0179812	0.0263133	0.0295027	0.0253449	0.0249724	0.0349463	0.0239611	0.0354788	0.0175657	0.028562	0.0262456	0.0405865	0.044693	0.048075	0.0509161	0.0726332	0.0925826	0.127405
kyebé-kyebé	0.0156629	0.0122306	0.0102572	0.0216294	0.0249198	0.0194231	0.0116074	0.0142756	0.0103565	0.0121551	0.0201118	0.0088209	0.0138246	0.010851	0.0171632	0.0219979	0.0206217	0.0220675	0.0216566	0.017734	0.0217643	0.0298285	0.0274134	0.0358022	0.0297309	0.0452407	0.0395008	0.0432774	0.0464727	0.0503508	0.0502354	0.0608783	0.0796625	0.112475
