 	o	k	o	n	d	z	i	y	a	p	o	o	á	m	i	b	é	á	a	k	á	n	i	e	y	ú	m	b	u	</S>
le	0.0105973	0.0138081	0.00852183	0.00741371	0.0217755	0.013268	0.0253297	0.0318277	0.0518659	0.0465503	0.0820049	0.0861046	0.0815159	0.0812917	0.0598169	0.0209498	0.0200664	0.0195737	0.0306693	0.0296541	0.0391528	0.0272634	0.0199954	0.0256038	0.0221238	0.0253593	0.0259815	0.0244115	0.0214427	0.0260604
chef	0.0324791	0.0744514	0.109301	0.0633197	0.172955	0.0267531	0.0225117	0.0199822	0.0237736	0.0439842	0.0762671	0.0976318	0.0434349	0.0293168	0.0419357	0.0442333	0.0274905	0.0122318	0.00711956	0.003562	0.00203488	0.00377482	0.00541812	0.00386834	0.00325311	0.00200609	0.00152294	0.00210539	0.00168537	0.00159585
du	0.0330343	0.0204376	0.0212355	0.0149748	0.0136285	0.0115169	0.0115838	0.0104496	0.0105942	0.0208065	0.0162318	0.0194198	0.0317203	0.0256757	0.041113	0.0442759	0.0431383	0.103235	0.168128	0.111624	0.0859826	0.0504419	0.020711	0.0139198	0.0155538	0.013338	0.00978969	0.00621037	0.00834464	0.0028845
village	0.0353771	0.0348765	0.0458036	0.0369826	0.038396	0.0593818	0.065141	0.0614114	0.0427765	0.0356137	0.0314427	0.036828	0.0338381	0.0223222	0.0375439	0.032574	0.018435	0.0280346	0.0336754	0.0364674	0.0278436	0.0379229	0.0314994	0.0300293	0.0166326	0.0174056	0.0141942	0.0119548	0.0131922	0.0324036
a	0.0146935	0.0156174	0.0187532	0.0185532	0.0153507	0.0175332	0.0214226	0.0303552	0.0241716	0.0290493	0.023346	0.0265146	0.0581242	0.0426526	0.048963	0.0472043	0.0312111	0.0725444	0.0487419	0.080652	0.0487657	0.0531579	0.0313526	0.0277102	0.0272435	0.0271048	0.021433	0.0201096	0.0191457	0.0385229
convoqué	0.0150706	0.0140487	0.0237138	0.0246719	0.0361517	0.0378084	0.0544706	0.0482077	0.0447709	0.0326317	0.0373117	0.0417495	0.051988	0.0702634	0.076646	0.0852105	0.0633013	0.0305239	0.0185256	0.0243344	0.00645674	0.0183614	0.0117926	0.0146379	0.0183575	0.0204274	0.0173467	0.0194304	0.0128701	0.0289191
l'	0.0225664	0.0206697	0.0280158	0.0278995	0.0344832	0.038087	0.0406268	0.0422962	0.0328288	0.0304951	0.0154779	0.0208187	0.0217516	0.0263742	0.0255147	0.067468	0.0407827	0.0363844	0.0401579	0.043944	0.0321348	0.0362308	0.0280251	0.0238038	0.0289756	0.0282522	0.0293765	0.0256351	0.0313849	0.0795387
assemblée	0.0546853	0.0568051	0.0512062	0.0285639	0.0290945	0.0166923	0.0139138	0.0192211	0.0200573	0.0223488	0.0182866	0.023047	0.0228249	0.0418337	0.0432849	0.0631644	0.0573343	0.0329404	0.0422791	0.0303019	0.0369924	0.0218044	0.019032	0.0268946	0.0168096	0.0172315	0.0163877	0.00804802	0.0388686	0.110046
des	0.227975	0.0764586	0.0577911	0.0426222	0.0313526	0.0414145	0.0206302	0.0215929	0.0147289	0.0176914	0.0128983	0.0189865	0.0218344	0.014821	0.0281018	0.0670286	0.0423316	0.0317554	0.0328519	0.0207859	0.0124555	0.00922437	0.00543421	0.00932935	0.00726209	0.00775328	0.00876709	0.00481825	0.0178437	0.0734589
anciens	0.0470095	0.0273566	0.0186969	0.0130442	0.0100847	0.00679513	0.00403863	0.00498678	0.00578741	0.00448571	0.00381893	0.00600492	0.00810744	0.0118782	0.013361	0.0290453	0.0448116	0.0539891	0.0715483	0.055785	0.0708787	0.0360593	0.041847	0.0360923	0.0438935	0.0506709	0.0508726	0.0331126	0.0790161	0.116922
</S>	0.0915335	0.0735022	0.0651012	0.0363501	0.0202022	0.0220361	0.0238605	0.0354598	0.036045	0.0414709	0.0260643	0.0306032	0.0376617	0.0246122	0.0291103	0.0222263	0.0149359	0.00851608	0.00943095	0.0149791	0.013313	0.0157514	0.0122609	0.0151907	0.0102903	0.0128216	0.0155082	0.0178687	0.0360363	0.187257
