 	y	é	n	g	o	n	d	a	y	á	n	g	á	y	é	y	á	n	g	ó	l	o	m	i	</S>
celui-ci	0.0515476	0.0555089	0.0374715	0.0329767	0.0302531	0.0591563	0.0631124	0.0321538	0.0285302	0.0377461	0.0496103	0.0462462	0.0776137	0.0589358	0.083107	0.0618458	0.0348559	0.0322909	0.0324614	0.0306051	0.0189677	0.0176479	0.0108536	0.00837647	0.00812566
est	0.2356	0.0991143	0.0963772	0.0569395	0.0349729	0.0364233	0.080214	0.0698217	0.0256338	0.0387532	0.0129543	0.0154619	0.0207146	0.0424206	0.0330509	0.045915	0.012702	0.0107429	0.00455835	0.0109185	0.00408047	0.00361383	0.00254748	0.00297536	0.00349324
mon	0.0279821	0.0176124	0.0293152	0.0382726	0.0298284	0.0183691	0.0206365	0.0260871	0.0296199	0.0381621	0.0482796	0.0650938	0.105538	0.0623638	0.0989737	0.0674204	0.0649691	0.046338	0.0425375	0.0305823	0.0269168	0.0270439	0.0128096	0.0154876	0.0097601
champ	0.0386917	0.0498956	0.0415627	0.0433408	0.0460626	0.0267857	0.0408783	0.0323278	0.0220772	0.0144937	0.0110001	0.0152178	0.0309529	0.0303914	0.0698725	0.0590387	0.0516568	0.0387872	0.0316536	0.0155824	0.0277406	0.0496878	0.0508503	0.0682924	0.0931595
celui-là	0.0282636	0.0379806	0.0426086	0.0579401	0.0602762	0.0401688	0.0370128	0.0418576	0.0599825	0.0514327	0.0312153	0.0205407	0.0373008	0.0350947	0.040132	0.0256752	0.0235735	0.0266542	0.0421691	0.0199154	0.0295394	0.046221	0.0323709	0.0478166	0.0842577
est	0.100364	0.0472028	0.0306155	0.0295609	0.0551458	0.0242037	0.0239135	0.00850287	0.00922782	0.00895246	0.0107809	0.0134517	0.0260577	0.0324266	0.0517578	0.0461874	0.0762895	0.0643078	0.0584832	0.0431056	0.052854	0.059208	0.0504523	0.0369148	0.0400333
à	0.12078	0.066609	0.0493861	0.0505976	0.050004	0.0381648	0.030284	0.0115694	0.00940439	0.00662694	0.00672431	0.00353275	0.011644	0.0322729	0.0297726	0.0346394	0.0346101	0.0346988	0.0382219	0.0332575	0.0503727	0.0525296	0.0543885	0.0539528	0.0959561
mon	0.0293347	0.0217848	0.0192833	0.0228201	0.0224024	0.0372263	0.0303373	0.0406138	0.0376508	0.0528635	0.0180857	0.00927445	0.0182836	0.0427215	0.0749115	0.0823013	0.0755651	0.0716389	0.0514432	0.0332752	0.0390767	0.0391051	0.036785	0.0301451	0.0630704
oncle	0.101788	0.0595661	0.0520003	0.0415064	0.0403176	0.0311676	0.0240438	0.00962215	0.00537154	0.00626628	0.00535167	0.00209388	0.00648426	0.022417	0.0261943	0.042388	0.0280967	0.02641	0.0235584	0.0305051	0.0283754	0.0666514	0.0830823	0.0895488	0.147192
</S>	0.0759786	0.0522016	0.0423256	0.0249153	0.028295	0.0268781	0.0214413	0.0155819	0.0158744	0.0361178	0.0322629	0.0137563	0.0138107	0.0105493	0.0146049	0.0115985	0.0136102	0.0209714	0.0403402	0.0208592	0.0434899	0.0593361	0.0703508	0.107383	0.187467
