 	i	k	ώ	ώ	b	í	í	l	á	m	b	á	a	n	d	z	é	s	i	í	d	í	i	y	ε	l	ε	m	w	ε	</S>
le	0.0200835	0.0217311	0.0164952	0.0129198	0.0239541	0.027758	0.0273667	0.0534273	0.0338304	0.0362715	0.047823	0.0417438	0.0525861	0.0529367	0.0564916	0.0425314	0.0431231	0.0412232	0.0377088	0.0284804	0.0387757	0.0308587	0.0297053	0.0273202	0.0244657	0.0267829	0.0260785	0.0257537	0.0157554	0.0165312	0.0194869
manioc	0.0628721	0.045534	0.0590996	0.107499	0.159671	0.0526331	0.026407	0.0293365	0.0188315	0.0230422	0.0180821	0.00785747	0.00827523	0.00501225	0.00385772	0.00608287	0.0178597	0.0149511	0.0207323	0.0528901	0.0499373	0.0585075	0.0411741	0.0470409	0.0161861	0.013712	0.00858785	0.0167079	0.00276944	0.00167888	0.00317082
préparé	0.0507138	0.0296292	0.0132518	0.0099876	0.00950489	0.00632175	0.0103427	0.0130187	0.0165463	0.0182607	0.0228426	0.0355665	0.0253277	0.0355275	0.036657	0.0318772	0.0291358	0.0548723	0.0430794	0.0639077	0.0591952	0.0617168	0.0546391	0.0642396	0.0448131	0.0486956	0.0431901	0.0290366	0.021503	0.0102027	0.00639694
par	0.0180831	0.0209571	0.0274842	0.032853	0.0184265	0.0140457	0.0140788	0.0119281	0.0132732	0.0105711	0.0137782	0.00927374	0.0108914	0.0112562	0.0158057	0.021784	0.0252186	0.0258282	0.0203258	0.0216458	0.0337747	0.0397916	0.0459542	0.0423611	0.0453991	0.0789462	0.0669765	0.0516082	0.103438	0.0588031	0.0754391
de	0.042236	0.0408801	0.0450794	0.0579493	0.0514709	0.0563189	0.0580448	0.0522228	0.0232502	0.0187282	0.0183064	0.0144186	0.0146373	0.0184713	0.0189334	0.0181277	0.0306414	0.0295337	0.016991	0.0138532	0.0192818	0.0233961	0.0208631	0.034939	0.0381703	0.0286667	0.037939	0.0383201	0.0382948	0.0233578	0.0566766
petits	0.0428979	0.0473017	0.0404527	0.0293395	0.0303324	0.0243112	0.0308759	0.0339595	0.0439952	0.0448955	0.0303676	0.0194524	0.0147643	0.0192359	0.0213496	0.0205008	0.026163	0.0215954	0.0171818	0.010298	0.01055	0.0122126	0.0167896	0.0165645	0.0269483	0.0445385	0.0423972	0.0533512	0.0413439	0.0331306	0.132903
enfants	0.0752033	0.0628094	0.0501747	0.0401481	0.0442983	0.04546	0.0473533	0.0298553	0.0398115	0.0318175	0.0171944	0.00785434	0.00570633	0.00687902	0.00619135	0.00954299	0.00857297	0.00956627	0.00828844	0.010704	0.0139373	0.012561	0.021852	0.0268968	0.036467	0.0240228	0.0395335	0.0353413	0.0350659	0.050367	0.146524
provoque	0.146629	0.092879	0.0679914	0.0450745	0.0295884	0.0168785	0.0148877	0.0100309	0.00965706	0.00767829	0.00600315	0.00524769	0.00468643	0.0057542	0.00711261	0.0164966	0.0118529	0.0125463	0.010093	0.0137204	0.0194821	0.0135815	0.0329864	0.0210304	0.0261059	0.0141856	0.0252384	0.0167313	0.0475048	0.0603848	0.187961
des	0.0607505	0.0358103	0.0329647	0.030003	0.0328548	0.0271109	0.0217197	0.0118936	0.0189379	0.0171967	0.0131866	0.0082882	0.00602884	0.00724761	0.00685492	0.0109452	0.0159015	0.0128719	0.013414	0.0162894	0.0255737	0.0299196	0.0358065	0.0294711	0.0346625	0.0430501	0.0425434	0.0449538	0.0556205	0.071621	0.186508
nausées	0.0778954	0.0505594	0.0425967	0.0305253	0.014331	0.00898944	0.00783722	0.00649721	0.00721328	0.00676493	0.00619473	0.00457936	0.00527296	0.00662496	0.00783568	0.011549	0.00910104	0.011844	0.0108252	0.0123253	0.0167154	0.0197817	0.02723	0.028815	0.039587	0.0371469	0.0755054	0.0649682	0.0849548	0.109644	0.156289
</S>	0.0927787	0.0784436	0.0686322	0.0514455	0.0248747	0.0111678	0.00894283	0.00698951	0.00773797	0.00675363	0.00500671	0.00310446	0.00248642	0.0030392	0.00352978	0.00582143	0.00736018	0.00830673	0.00620662	0.00697657	0.0155147	0.0200117	0.0212824	0.0191674	0.0250853	0.0295123	0.0466876	0.0271246	0.08006	0.126998	0.178952
