 	k	ú	l	a	o	b	i	a	e	t	ú	m	ó	y	á	m	b	é	m	b	é	y	é	é	k	y	e	w	á	l	a	n	ω	</S>
pardonne	0.0126749	0.0176109	0.0249295	0.0314022	0.0272093	0.034691	0.0289286	0.048457	0.0573511	0.063794	0.0763801	0.088341	0.0826993	0.0570968	0.0321705	0.0255324	0.0206673	0.0204405	0.0191453	0.0174679	0.0144145	0.00985111	0.00961887	0.0104616	0.00976643	0.011607	0.0181957	0.0103493	0.0197025	0.0179143	0.020443	0.0200947	0.0212103	0.0193813
ton	0.097323	0.0452513	0.0426747	0.0304512	0.0291061	0.0200241	0.0177675	0.017585	0.024174	0.0197744	0.0266029	0.0408289	0.0257088	0.0297782	0.029329	0.021403	0.0138252	0.020797	0.0244971	0.0352085	0.0137795	0.0288458	0.0309421	0.0261577	0.0184879	0.0490622	0.0511469	0.0173827	0.0366402	0.0227866	0.0123751	0.0295856	0.0237476	0.0269503
ami	0.0422975	0.0602904	0.0647889	0.087114	0.0665109	0.0525973	0.029921	0.0335532	0.0233342	0.0156739	0.0122584	0.0138853	0.0132996	0.00952611	0.0175822	0.01831	0.0195727	0.0160931	0.0257858	0.0238664	0.0398876	0.021384	0.0351062	0.0333436	0.0424325	0.0308057	0.029659	0.0330497	0.0257112	0.00909445	0.0150603	0.0120125	0.0125214	0.0136709
pour	0.0692358	0.0649091	0.0589583	0.0642744	0.0679078	0.0774231	0.0971621	0.0886254	0.0494896	0.0461298	0.0280596	0.0248657	0.0252097	0.020378	0.0151838	0.0126496	0.0216395	0.0124567	0.0136322	0.0137129	0.00896172	0.0174009	0.00630557	0.00712853	0.00694018	0.005558	0.0044592	0.00248836	0.00870845	0.00637207	0.0116257	0.0112741	0.0135016	0.0173726
tout	0.0283809	0.0281382	0.0361428	0.0397591	0.0491522	0.0557922	0.0528816	0.0533739	0.0439575	0.0238372	0.015883	0.0158172	0.0175389	0.0192312	0.028601	0.0245112	0.0171054	0.0224852	0.0385876	0.0257172	0.010622	0.0209304	0.00597284	0.0104213	0.00407406	0.00944514	0.00521944	0.0011954	0.00682002	0.00697935	0.0134174	0.0364254	0.088773	0.142811
le	0.0504007	0.0624242	0.0682749	0.0544347	0.0572101	0.0511525	0.0314055	0.0186901	0.0266587	0.0213533	0.0188191	0.0197107	0.0228958	0.0326615	0.0384063	0.0277845	0.0256509	0.0203766	0.026977	0.0216588	0.0145641	0.0136429	0.0124729	0.0136778	0.0144809	0.0166504	0.0183769	0.00811886	0.0221381	0.013082	0.0173789	0.0377437	0.0430649	0.0576616
mal	0.0690153	0.0667426	0.0571104	0.0466537	0.0541702	0.0439922	0.0311476	0.0219981	0.0335447	0.0283036	0.0315372	0.0345105	0.0351705	0.0569587	0.0375491	0.0290236	0.024023	0.0165574	0.0172675	0.0131842	0.00382833	0.0101315	0.00269325	0.00394683	0.00296545	0.00581668	0.00620675	0.00218194	0.00832664	0.00522445	0.0131775	0.0454814	0.0618206	0.0797384
qu'	0.0325146	0.021344	0.0170327	0.0183904	0.0184876	0.0212379	0.0239584	0.0201437	0.0186414	0.0192583	0.0198554	0.0202834	0.0157973	0.0285688	0.0267548	0.0340287	0.0436258	0.0464328	0.0547502	0.0533004	0.0336557	0.0474492	0.030837	0.0292309	0.0127008	0.0343555	0.0201385	0.00729667	0.032133	0.0308297	0.0291814	0.0446793	0.0415463	0.0515594
il	0.0366407	0.0411821	0.0358375	0.0362542	0.0362443	0.0360245	0.0338826	0.020176	0.0193873	0.0162539	0.0121258	0.0125346	0.0122585	0.0125879	0.0145498	0.0189022	0.0230329	0.0228021	0.0395224	0.0347713	0.0468511	0.0363739	0.052815	0.0477207	0.0568329	0.040217	0.0361029	0.0276019	0.017267	0.0109941	0.0195727	0.0205323	0.0335417	0.0386063
t'	0.0734444	0.0410611	0.0267133	0.0146093	0.012238	0.00991501	0.0125001	0.0141756	0.0138869	0.0197557	0.0197862	0.0184213	0.015263	0.0150325	0.0195683	0.0259174	0.0335774	0.0384155	0.0419539	0.0409719	0.0317239	0.0441361	0.0329084	0.0347057	0.0238542	0.0317908	0.0267087	0.0113026	0.0216841	0.0169478	0.0239459	0.0477069	0.0701981	0.07518
a	0.101907	0.0419886	0.0245409	0.016132	0.0134875	0.0123853	0.0106339	0.0136097	0.0181399	0.0252414	0.0291767	0.0291411	0.0228568	0.0207117	0.0164309	0.0210302	0.0227741	0.0287627	0.0245941	0.0256967	0.0197797	0.0303435	0.0223499	0.0189505	0.0159925	0.0190988	0.0160856	0.0111843	0.0315981	0.0277982	0.0384564	0.0672513	0.0676202	0.0942495
fait	0.114483	0.0637772	0.0417423	0.0263947	0.0161552	0.00980181	0.00598751	0.00745812	0.00907013	0.0133484	0.0177739	0.0226833	0.0216869	0.0191661	0.0150357	0.0169257	0.0133315	0.0171807	0.0160684	0.0140717	0.0109708	0.014377	0.0111852	0.0130606	0.0101608	0.0146815	0.0167316	0.0137144	0.0371252	0.0425185	0.0650161	0.083124	0.0845779	0.100614
</S>	0.126319	0.0807694	0.0512296	0.0366544	0.0228566	0.0125212	0.00709177	0.00833251	0.00921907	0.0119053	0.0148741	0.0200575	0.0251768	0.0266029	0.0192518	0.0235829	0.0119764	0.0175611	0.0148228	0.011894	0.00583723	0.0102234	0.00708544	0.00953426	0.00740803	0.0110967	0.0137958	0.0110761	0.032648	0.0461594	0.0623088	0.0597707	0.0717206	0.0986364
