 	a	y	ú	r	u	b	o	n	g	ó	n	d	z	a	b	ó	b	á	a	s	á	á	b	v	w	o	o	l	a	b	á	a	k	y	a	b	á	a	y	é	m	b	a	</S>
tout	0.180521	0.0382656	0.0224943	0.021451	0.0257631	0.00621073	0.0112651	0.0164533	0.0225698	0.0213351	0.0273168	0.028929	0.0228956	0.0158591	0.00596416	0.0045609	0.00550221	0.00499116	0.00333406	0.00537153	0.00837322	0.00764112	0.00599539	0.00552227	0.00911274	0.00532608	0.00941567	0.00778533	0.0110543	0.0189264	0.00934002	0.0160097	0.0309837	0.0225686	0.0190228	0.0317453	0.037257	0.0384367	0.0460711	0.0457375	0.0332093	0.0397187	0.028849	0.0208448
en	0.0363317	0.0868905	0.0687191	0.0412623	0.033969	0.0400862	0.0247684	0.0455681	0.0329307	0.018341	0.0151516	0.00778788	0.0121208	0.0118828	0.008195	0.0141154	0.0119378	0.0059224	0.0079431	0.00921018	0.00814063	0.0103778	0.016344	0.0119573	0.0126296	0.0106933	0.00942547	0.0164847	0.0113339	0.0130738	0.00818763	0.0151042	0.0167742	0.0194225	0.0170765	0.0276557	0.0287368	0.0232302	0.0471266	0.0609892	0.0186556	0.0282564	0.0200185	0.0151717
chantant	0.0227765	0.0297981	0.0257758	0.0259647	0.0219672	0.0269414	0.0261915	0.0224196	0.0398916	0.0363737	0.042561	0.0235654	0.0358449	0.0546082	0.0357601	0.0241256	0.0183152	0.0180461	0.0172968	0.0141186	0.0152403	0.0114402	0.0108679	0.0189891	0.00592759	0.0155803	0.0238582	0.0199862	0.0231076	0.020675	0.0194222	0.0231576	0.0244629	0.0223236	0.0158061	0.017669	0.0163691	0.0291665	0.0171939	0.0232977	0.0153766	0.0133094	0.017111	0.0173197
les	0.014174	0.0187837	0.0209841	0.0334467	0.0221181	0.0232431	0.0125388	0.00856139	0.0104647	0.0160462	0.0179764	0.0320536	0.0313031	0.0380267	0.0422651	0.0356635	0.0235322	0.0373058	0.0354804	0.0406724	0.0426755	0.0257448	0.0340708	0.0413718	0.0246873	0.0189144	0.0211349	0.0227748	0.0136424	0.0101458	0.0235842	0.0246433	0.0112874	0.0123502	0.0134067	0.0174781	0.0144189	0.0130807	0.0161965	0.0186971	0.00969269	0.0146693	0.0129556	0.027737
femmes	0.0158068	0.0202584	0.0267708	0.0227521	0.0330588	0.0403504	0.0425807	0.0432908	0.0315312	0.0307488	0.0156023	0.0255438	0.0290139	0.0483289	0.027298	0.0669489	0.054459	0.0425626	0.0379333	0.0324432	0.0186572	0.0152009	0.0291366	0.0136298	0.00929791	0.0137881	0.0119686	0.0126762	0.0116001	0.0251615	0.00777405	0.00816076	0.010005	0.0135376	0.0117651	0.0120996	0.0095286	0.0108318	0.00800528	0.0105492	0.00783221	0.00355201	0.00892383	0.0290356
d'	0.00746116	0.00717452	0.00766825	0.00596548	0.0105186	0.0159031	0.0184597	0.0143102	0.0224765	0.0235761	0.0278323	0.0392577	0.0338248	0.0455597	0.0547956	0.0515628	0.0496365	0.0450934	0.0381765	0.0325828	0.0316688	0.0359457	0.0321183	0.0246926	0.0253919	0.023313	0.0273563	0.0278776	0.027585	0.0213281	0.00842846	0.00625298	0.0139837	0.0133888	0.0138537	0.00821683	0.0123144	0.00765582	0.0110389	0.0113303	0.00920663	0.0041105	0.017067	0.0340393
ongondza	0.0107355	0.0146488	0.015249	0.0107978	0.0133834	0.0156303	0.0111858	0.00836817	0.0116111	0.0143687	0.0181992	0.0339771	0.0293429	0.0474268	0.0434696	0.039372	0.0414651	0.0391498	0.0262485	0.0261804	0.0274141	0.0254161	0.0208672	0.0198592	0.0212575	0.0149671	0.0235728	0.0247643	0.0268403	0.0223145	0.00971179	0.00845334	0.0216727	0.0201749	0.0262576	0.0196082	0.0274112	0.0187898	0.0244211	0.0250303	0.0251689	0.00997857	0.029545	0.0356933
sont	0.00747068	0.00772132	0.00955309	0.00746533	0.0107244	0.0142652	0.0156874	0.0123537	0.0190483	0.0183732	0.0234826	0.0256653	0.0240712	0.0245249	0.0281874	0.0244416	0.0248451	0.0272012	0.031255	0.0346723	0.0381786	0.034708	0.047991	0.0284493	0.0444297	0.0227056	0.025992	0.0369892	0.0279186	0.0210217	0.0229689	0.0120193	0.0213301	0.0176031	0.0211751	0.0163807	0.0215836	0.0143678	0.0150069	0.017247	0.022781	0.0154478	0.0280904	0.0346053
en	0.0197578	0.0195435	0.0161563	0.0159154	0.0162688	0.00850086	0.00513307	0.00549205	0.00595951	0.00698435	0.00664898	0.00997227	0.00986384	0.0195012	0.015719	0.0188435	0.0193473	0.0235362	0.0233645	0.0256317	0.0251361	0.0239455	0.0244324	0.0224944	0.0236469	0.022804	0.021115	0.0211316	0.0199245	0.0193381	0.0112477	0.0116011	0.0225283	0.0231854	0.029813	0.034573	0.0419776	0.0361169	0.0486642	0.0483438	0.0474501	0.0237147	0.0499395	0.0547362
train	0.0177338	0.0195015	0.0162448	0.0147787	0.0140002	0.0069106	0.00540227	0.00665776	0.00674375	0.00960772	0.00751476	0.0117017	0.0118314	0.0196042	0.0166024	0.0188474	0.0185394	0.0211516	0.0217142	0.0262413	0.0280605	0.0271974	0.0232471	0.0207912	0.0308837	0.0227617	0.0204999	0.0196124	0.0181821	0.0172492	0.00623608	0.00628234	0.0144108	0.0158197	0.0229239	0.0275655	0.0416499	0.026463	0.0453842	0.0538726	0.0515841	0.0151815	0.0614995	0.0913123
