 	e	n	g	u	s	u	é	t	έ	m	b	i	s	i	a	n	d	z	a	n	d	z	a	m	á	n	d	é	e	y	á	l	e	k	ώ	ώ	l	i	</S>
la	0.00908242	0.013731	0.0163067	0.0159267	0.0132707	0.0126957	0.0163381	0.0276174	0.0341552	0.0339543	0.0368994	0.0421113	0.0468434	0.0785438	0.0472236	0.0545663	0.0245011	0.0244892	0.0178366	0.0164793	0.0186497	0.017521	0.0219028	0.0179176	0.0277901	0.018821	0.0168917	0.0124114	0.0164012	0.0162932	0.02664	0.021211	0.0104525	0.0164984	0.0239939	0.0345761	0.0397586	0.0296415	0.0300556
tornade	0.0486616	0.0912273	0.242983	0.122626	0.0988058	0.0782596	0.0453615	0.0387877	0.0395442	0.0342672	0.0131868	0.0118822	0.00403615	0.00402084	0.00347927	0.00404125	0.00201456	0.00182903	0.00174879	0.00194171	0.00150858	0.00190919	0.00330816	0.00163515	0.00203925	0.00220055	0.00151884	0.00192703	0.00339087	0.00484934	0.00850162	0.018492	0.0084591	0.0171608	0.0174256	0.00749177	0.00465978	0.00360122	0.00121678
a	0.0251575	0.0125328	0.0166056	0.0123977	0.0188927	0.0280991	0.0216469	0.0212019	0.021284	0.0167254	0.0127786	0.00773941	0.0108842	0.00764463	0.0122902	0.0117573	0.0135342	0.0148924	0.022025	0.0432446	0.0297846	0.0469167	0.0460571	0.0507286	0.0625162	0.06452	0.0439032	0.0631996	0.037188	0.0354075	0.0270564	0.0288091	0.0515061	0.0184704	0.0141312	0.00931794	0.00896203	0.00749898	0.00269213
emporté	0.0224206	0.0320277	0.0395762	0.0361079	0.0410124	0.0348703	0.035889	0.0135413	0.0138903	0.015082	0.0111426	0.0112151	0.0123615	0.00956658	0.0130153	0.0125255	0.0150376	0.0193802	0.0315877	0.0582959	0.0640787	0.0660351	0.0758571	0.0484374	0.039885	0.0290421	0.0190765	0.00976813	0.0111154	0.00862552	0.00702902	0.00508162	0.0113317	0.0122178	0.0117708	0.0128598	0.016543	0.0221812	0.0505184
les	0.0387489	0.0288614	0.0163281	0.0124046	0.0140531	0.0163481	0.0189752	0.0190967	0.0175121	0.0193778	0.0218027	0.0179355	0.0128284	0.0160208	0.0121793	0.0105773	0.0206324	0.020902	0.030886	0.0388573	0.0512773	0.0488579	0.0518716	0.0410914	0.0349825	0.0340957	0.0343832	0.0264612	0.0228006	0.0194634	0.0187412	0.0128379	0.0150038	0.0149401	0.0166517	0.0219244	0.0279174	0.0311374	0.0712336
tôles	0.0159934	0.0186904	0.0207354	0.0166018	0.0183446	0.0188505	0.0189458	0.0171968	0.0129507	0.01148	0.0124443	0.0116748	0.0118777	0.0196223	0.0138388	0.0141917	0.0182928	0.0244271	0.0343076	0.0386314	0.0628656	0.0458208	0.0551019	0.0285721	0.0377158	0.0391797	0.0482424	0.0347891	0.0293273	0.0278939	0.0315703	0.0212137	0.0267809	0.0214966	0.0226711	0.0212975	0.021826	0.0254762	0.0290611
du	0.0320781	0.0202993	0.0133692	0.0110112	0.00914915	0.0128302	0.0152802	0.012395	0.0156967	0.0204275	0.0207047	0.0289941	0.041077	0.0655719	0.07352	0.0557218	0.0671869	0.0771125	0.0666708	0.047189	0.046951	0.0330451	0.0349898	0.023662	0.0201266	0.016571	0.0159927	0.0101131	0.0105962	0.00951698	0.00567895	0.00357837	0.00733963	0.00553571	0.00412607	0.00443964	0.00550862	0.00647501	0.0294685
bâtiment	0.0254349	0.0207478	0.0146978	0.0163861	0.0184969	0.0155413	0.0114624	0.00781686	0.0115158	0.015173	0.0146829	0.0219519	0.0146597	0.0167171	0.0170175	0.0130005	0.0156144	0.0169418	0.0192493	0.0188187	0.0233237	0.0259117	0.0440046	0.0267245	0.0396078	0.0375297	0.0548507	0.0469851	0.0408274	0.0410511	0.018871	0.0191724	0.021501	0.0205102	0.025303	0.024925	0.0300925	0.0548932	0.0779886
de	0.0332242	0.0202196	0.0135333	0.0129776	0.0118437	0.0126275	0.0122358	0.00961423	0.0123402	0.0143467	0.0122572	0.0180707	0.0259957	0.031285	0.0417602	0.0439459	0.0477327	0.0412867	0.0429721	0.0363151	0.035309	0.0348514	0.0489163	0.0309409	0.0365636	0.02981	0.0304753	0.025195	0.0203517	0.0220162	0.011991	0.0104124	0.0120666	0.0127409	0.0146215	0.0176723	0.0209843	0.0350444	0.0554534
l'	0.0535719	0.0289155	0.016603	0.0124646	0.0107358	0.0115192	0.0095603	0.00593958	0.00624637	0.00710957	0.00741636	0.00796302	0.00839469	0.00945626	0.012317	0.0148137	0.0225125	0.0200028	0.0245924	0.0256907	0.0312172	0.0368399	0.0560422	0.0341408	0.0377577	0.0343502	0.0414271	0.0327267	0.0253622	0.0256914	0.0179844	0.02084	0.0290014	0.0300177	0.0355737	0.0431851	0.0465659	0.047595	0.0578565
école	0.0205537	0.0157342	0.0160473	0.0142271	0.0118482	0.00534042	0.00425466	0.00265616	0.00259145	0.00292329	0.0026489	0.00293462	0.00344454	0.00392794	0.00554459	0.00783852	0.0130676	0.0132226	0.020853	0.0299727	0.0235103	0.0307064	0.0475737	0.0400342	0.0451367	0.0415989	0.0466798	0.050767	0.0330576	0.0452091	0.025013	0.0370511	0.0413953	0.0332624	0.0441997	0.0408173	0.0468202	0.0611944	0.0663412
</S>	0.0569843	0.0274083	0.0195692	0.0179057	0.0180879	0.0173794	0.019165	0.0188225	0.0174127	0.0184531	0.0193238	0.0144097	0.0130812	0.00702475	0.00901659	0.00778054	0.0105581	0.0133621	0.018381	0.0303243	0.0257091	0.0275526	0.0359374	0.0315153	0.0312002	0.0302323	0.0339526	0.0330028	0.0309559	0.0344951	0.0224301	0.0246444	0.0307052	0.0364365	0.0327224	0.0252701	0.0274983	0.0325531	0.0787364
