 	w	a	l	á	a	s	i	á	t	s	a	n	g	í	m	ó	n	g	ω	n	g	ω	a	k	u	s	a	</S>
elle	0.0579245	0.200435	0.189793	0.264363	0.172262	0.0555736	0.017985	0.00377034	0.00274573	0.00467738	0.00113711	0.0014827	0.00172511	0.00178306	0.00171071	0.00199416	0.00187145	0.00145754	0.00149809	0.00233886	0.00175599	0.00181725	0.00209662	0.00175272	0.00197306	0.00180816	0.00139947	0.000869998
cultive	0.00908138	0.00814595	0.0106752	0.00676531	0.00596613	0.00923633	0.0109493	0.0218473	0.0747554	0.119737	0.144272	0.139565	0.147892	0.0896261	0.0675275	0.0329569	0.0127758	0.0115257	0.010362	0.0106216	0.0121937	0.00559704	0.00689472	0.00371429	0.00338214	0.00300956	0.00584277	0.0150808
les	0.0133619	0.0232832	0.0274185	0.0337284	0.0259192	0.0151928	0.0188847	0.0218496	0.0172863	0.0416593	0.0555791	0.0515312	0.0733205	0.0577681	0.0741246	0.0745854	0.0796718	0.05615	0.044608	0.0328871	0.0267651	0.00975225	0.0166387	0.0176277	0.0198836	0.0137113	0.0233113	0.0335004
aubergine	0.0119945	0.0169011	0.0171407	0.0175249	0.0169674	0.0158766	0.0119886	0.00943965	0.00759475	0.0084477	0.0234247	0.0311791	0.0324945	0.0393836	0.0452417	0.055587	0.0597335	0.0732296	0.0683736	0.0663308	0.0507576	0.0217683	0.0285818	0.0244035	0.0290516	0.0217944	0.0743214	0.120467
dans	0.0338168	0.067061	0.0344252	0.0333771	0.0229361	0.0291485	0.0244984	0.031833	0.0271604	0.0313933	0.0457912	0.0516059	0.0454761	0.0372632	0.051103	0.0320133	0.027933	0.021831	0.0287274	0.0180211	0.0137985	0.00597884	0.0105564	0.0189071	0.0240567	0.024092	0.0605059	0.146689
son	0.0882068	0.0846769	0.057691	0.0640787	0.0762575	0.104789	0.0896405	0.0666715	0.0392144	0.0336054	0.0318152	0.0303831	0.0256903	0.0257447	0.0245044	0.0217597	0.0146385	0.0145533	0.0167821	0.00872548	0.00522711	0.00474947	0.00637446	0.00984546	0.012903	0.0134243	0.0129187	0.0151293
jardin	0.0189718	0.0216892	0.0301537	0.0203014	0.0174286	0.0173138	0.0175423	0.0169224	0.0173446	0.0183976	0.0224652	0.0241745	0.0220968	0.0241131	0.0268916	0.0215676	0.0200124	0.0193567	0.0220057	0.0205767	0.0241583	0.0324805	0.0529444	0.0711496	0.0760458	0.0660586	0.129367	0.12847
de	0.0162052	0.0216339	0.0262992	0.0170896	0.0167051	0.017957	0.0171024	0.0153901	0.0158413	0.0166789	0.0176452	0.018789	0.0187363	0.0217309	0.0255295	0.0202216	0.0188016	0.0179561	0.0180423	0.0131125	0.0133014	0.0228036	0.0393179	0.0651933	0.0952352	0.113266	0.124239	0.155175
case	0.0188444	0.0261644	0.0231135	0.0238443	0.0227619	0.0200684	0.0206028	0.0188927	0.0180015	0.0177976	0.0111905	0.00967527	0.0106875	0.0117537	0.0150115	0.0122946	0.0163686	0.0173641	0.0202956	0.0258143	0.0248107	0.0527735	0.0617584	0.067615	0.0875271	0.0874291	0.110105	0.147433
</S>	0.0148602	0.0178726	0.0181995	0.0170696	0.016407	0.0149036	0.0227206	0.0335021	0.0339372	0.0415272	0.0347285	0.023865	0.031491	0.0279329	0.0295218	0.0171906	0.0179454	0.013553	0.0137224	0.015874	0.013111	0.0223132	0.0258598	0.0335757	0.0592724	0.0703158	0.0877669	0.230961
