 	n	g	á	l	a	l	a	a	n	á	l	a	a	s	w	é	b	í	k	ω	n	y	i	l	a	a	w	á	á	l	í	n	g	á	o	l	ó	m	i	</S>
je	0.205937	0.216562	0.144015	0.113483	0.032648	0.0128002	0.00853696	0.00851828	0.00789315	0.0112182	0.00752767	0.00729738	0.00734871	0.00946762	0.00926055	0.0121287	0.010816	0.0226813	0.0170019	0.00892161	0.00788781	0.00865942	0.00497451	0.00453691	0.00488584	0.00415666	0.00271049	0.00576932	0.00789959	0.00740699	0.00672	0.00656277	0.00590056	0.00666204	0.00756265	0.00696896	0.00711398	0.00709569	0.00615197	0.00631109
n'	0.0124143	0.011012	0.0109398	0.0111641	0.0188233	0.0326578	0.0322231	0.0553032	0.064363	0.0586402	0.0429225	0.0425812	0.0688382	0.0699755	0.0163784	0.0445737	0.0441908	0.0218144	0.0189375	0.0198689	0.0237347	0.0197743	0.0234001	0.0282302	0.0202266	0.0243479	0.0196435	0.0143508	0.025255	0.00795688	0.00717109	0.00278896	0.00179482	0.010587	0.0127242	0.00849489	0.00870199	0.0124758	0.0109912	0.019728
ai	0.0793512	0.0465034	0.0226256	0.0153881	0.0242985	0.0142946	0.0141929	0.0239279	0.0218345	0.0144317	0.0145875	0.0359777	0.0262543	0.0565471	0.0406124	0.0575248	0.037367	0.0498844	0.0494068	0.0665473	0.0309316	0.0181547	0.021096	0.0235155	0.0221218	0.013122	0.0130338	0.0165219	0.0198392	0.0144626	0.0142561	0.0102021	0.00933137	0.0101743	0.00826452	0.00644293	0.00752474	0.00871212	0.0109258	0.00980948
plus	0.0779731	0.0487786	0.0271167	0.0367026	0.0328897	0.0246791	0.0115546	0.00382782	0.00643434	0.00602652	0.00673164	0.0082124	0.0119003	0.0197378	0.0117499	0.104063	0.0398022	0.0496069	0.0558045	0.0652215	0.0404437	0.0220465	0.0404755	0.0486355	0.0335611	0.0109902	0.0252668	0.0172874	0.029407	0.0137051	0.0100147	0.00841829	0.00474821	0.0041975	0.00594269	0.00642273	0.0045742	0.00707982	0.00630902	0.0116606
mangé	0.0285808	0.01121	0.00687608	0.00756991	0.0108583	0.0107331	0.0100863	0.0104971	0.0109837	0.0105397	0.0111492	0.0137398	0.0307218	0.036097	0.0132266	0.0910451	0.0182989	0.0301961	0.0373367	0.0364404	0.0313509	0.0317089	0.0324064	0.0273111	0.0245433	0.0197335	0.0314756	0.0273863	0.0209362	0.0208416	0.0295227	0.0218844	0.0211735	0.0270688	0.0238569	0.0224905	0.0235059	0.0340727	0.0347674	0.0577768
du	0.0119846	0.00861884	0.00536698	0.00782924	0.0153063	0.0157615	0.0179114	0.0170944	0.0181078	0.0196093	0.0209478	0.0224949	0.0290234	0.0313741	0.0129358	0.0320054	0.0211259	0.0301267	0.0227681	0.0255608	0.0300357	0.0401137	0.0235619	0.0290462	0.0202489	0.0113572	0.0174137	0.0182497	0.0166488	0.0272076	0.035701	0.0325273	0.0270765	0.0331018	0.0303369	0.0316803	0.0297	0.0413693	0.0448887	0.0737815
poisson	0.0101219	0.00940013	0.00767806	0.00829916	0.0101345	0.0124405	0.0162061	0.0127007	0.0147968	0.0189567	0.0242692	0.0294568	0.0381927	0.0636511	0.00849596	0.0414935	0.0294975	0.0305787	0.0232358	0.0269329	0.0301462	0.037978	0.0188836	0.0293701	0.0120104	0.00799458	0.00977086	0.0120471	0.0187644	0.0286049	0.0293542	0.0344171	0.0257107	0.029205	0.0217964	0.0278708	0.0196167	0.0374335	0.0345065	0.0979804
d'	0.0135981	0.0165617	0.0151265	0.0098072	0.00509678	0.00686985	0.00803138	0.0106368	0.0112691	0.0138209	0.0211537	0.0294145	0.0325297	0.0472241	0.0135933	0.0363042	0.0332115	0.0282417	0.0275706	0.0303465	0.0389899	0.0343252	0.029177	0.0295023	0.0262011	0.0109249	0.0102747	0.0142483	0.0145594	0.0153086	0.0228971	0.0137878	0.0120434	0.014273	0.0147047	0.0239227	0.032986	0.0650599	0.0611591	0.105247
eau	0.0168646	0.0163857	0.0145392	0.0148715	0.00712783	0.0066432	0.00798581	0.0106122	0.0103459	0.0104585	0.012691	0.0145817	0.0121157	0.0153126	0.00907517	0.019059	0.00978283	0.0131216	0.0177722	0.0203313	0.0248462	0.0245453	0.025195	0.0196012	0.0227546	0.0165439	0.0179113	0.0251084	0.0282528	0.0398497	0.0534948	0.0307271	0.025122	0.0318326	0.0410152	0.0518344	0.0583182	0.0661131	0.0654283	0.0718285
douce	0.0285177	0.0213892	0.0159192	0.0178753	0.00951704	0.00791876	0.00920872	0.0142951	0.014635	0.0129912	0.0146954	0.0162002	0.0136764	0.0146128	0.0126952	0.0236744	0.00824822	0.0129142	0.0189176	0.0221104	0.0282776	0.0202545	0.0212018	0.0116117	0.0168671	0.0144699	0.0154021	0.0258808	0.0290616	0.0322334	0.0378232	0.0219212	0.0205173	0.0208852	0.0318335	0.0435779	0.0533716	0.0689416	0.0800135	0.0958424
