 	l	e	t	á	á	m	á	l	í	í	d	í	l	a	n	ω	d	í	n	ω	ó	d	í	l	a	b	e	a	</S>
avec	0.0121831	0.0142959	0.0130605	0.0239813	0.0217867	0.0260447	0.0285875	0.0480446	0.0411309	0.034317	0.0556467	0.0501618	0.0564402	0.0479331	0.0568099	0.0473935	0.0405234	0.031645	0.0259707	0.0307433	0.0342196	0.0402485	0.0385435	0.0442482	0.0422951	0.0344135	0.0229853	0.0217953	0.0145513
toute	0.0574601	0.0301843	0.0367874	0.0267432	0.0194398	0.025622	0.0130897	0.0403034	0.0354969	0.00642727	0.00886089	0.0119686	0.0311322	0.0143209	0.0177001	0.0164078	0.0209653	0.0148124	0.0231395	0.0519501	0.0597749	0.0864925	0.0515721	0.0850528	0.0600667	0.0601629	0.0268011	0.0296866	0.0375786
l'	0.0429498	0.0226795	0.0186787	0.0173038	0.0265571	0.0284289	0.0137393	0.0271096	0.0247864	0.0208561	0.017548	0.0306874	0.0231747	0.0142934	0.0187377	0.0217364	0.0229273	0.0185026	0.0357718	0.0496582	0.0687449	0.0726975	0.0859383	0.0808049	0.053073	0.041064	0.038391	0.0442364	0.0189233
ostentation	0.0547813	0.06539	0.0376673	0.0210711	0.0217095	0.0169444	0.0149735	0.00942537	0.0224644	0.0199856	0.0473635	0.0489504	0.0360556	0.0434797	0.0376738	0.0681766	0.0510073	0.0393786	0.0491693	0.0419526	0.0413426	0.0300335	0.0380845	0.0236908	0.0212444	0.0166481	0.0213857	0.0156693	0.0442812
dont	0.0434374	0.0372648	0.0494442	0.0528402	0.0554261	0.0536163	0.0425767	0.048822	0.0289619	0.0108899	0.0143092	0.0176404	0.0189671	0.0190034	0.0236404	0.02393	0.0328666	0.0303742	0.0308602	0.0246465	0.0309507	0.0260266	0.0365918	0.0307855	0.0358454	0.031262	0.0363784	0.0339866	0.0786553
tu	0.0423676	0.0270525	0.036076	0.0371473	0.0388282	0.0285132	0.0272798	0.0200294	0.0276982	0.0132535	0.0135826	0.0100723	0.00840967	0.00843359	0.0131038	0.0243815	0.0281147	0.0291032	0.0395083	0.0382562	0.055773	0.0469637	0.0489256	0.0455575	0.0489279	0.041264	0.0387038	0.0691883	0.0934844
fais	0.0937051	0.0461292	0.0376875	0.0337859	0.0312675	0.0193147	0.0144957	0.0151083	0.0141591	0.0132677	0.0135672	0.0124993	0.0105092	0.0100556	0.00916956	0.0137461	0.0131929	0.0134213	0.016992	0.0123064	0.0157828	0.0186022	0.0315337	0.0395654	0.0628625	0.0731292	0.0828779	0.0996874	0.131579
montre	0.100481	0.0643895	0.0549344	0.0384911	0.0219564	0.0157172	0.0147013	0.0140602	0.0113538	0.00598892	0.0100032	0.0110296	0.0365613	0.0261312	0.012577	0.0106818	0.0104906	0.00841006	0.00900635	0.00958394	0.01227	0.0167481	0.0204245	0.0354615	0.0520547	0.0681053	0.0775324	0.0998915	0.130963
as-tu	0.0442135	0.0353437	0.03391	0.0459528	0.0491904	0.049228	0.0420095	0.0665584	0.0230525	0.0318795	0.0356993	0.0363304	0.0254801	0.0300672	0.0226919	0.00717613	0.00635511	0.00527523	0.00606432	0.00823279	0.0123154	0.0149263	0.0183952	0.0220492	0.0282064	0.0229261	0.0308061	0.0470999	0.198565
vraiment	0.0582989	0.0437453	0.0392724	0.0288537	0.022079	0.0183738	0.0192795	0.0186019	0.0241546	0.0152793	0.0193136	0.0127976	0.0131071	0.0109456	0.00894874	0.00572875	0.00586367	0.00455798	0.00480465	0.00676613	0.0082457	0.00977775	0.0125119	0.0181303	0.0394794	0.063591	0.104298	0.119064	0.24413
de	0.0627656	0.0465526	0.0473466	0.0332069	0.0211617	0.0138572	0.0102625	0.0103696	0.0152503	0.00515142	0.00791475	0.00464055	0.00834616	0.00570508	0.00451018	0.00439314	0.00462581	0.00461814	0.0045137	0.00639186	0.0101048	0.0126115	0.0151027	0.02587	0.0434609	0.0662542	0.114017	0.121213	0.269783
l'	0.0456353	0.0325733	0.0393394	0.03647	0.0331037	0.0259297	0.016018	0.0137753	0.013768	0.00568066	0.00778231	0.00484947	0.00619644	0.00525925	0.00452466	0.0047191	0.00547618	0.00509672	0.00696036	0.0142592	0.0250828	0.0350773	0.0412004	0.0504672	0.0601904	0.067137	0.0897786	0.0965813	0.207068
argent	0.0500439	0.0344671	0.0222613	0.0176801	0.0151243	0.0149276	0.0112041	0.0121535	0.0149809	0.0081762	0.0122885	0.00853311	0.00752911	0.00664141	0.00644434	0.00401461	0.00671308	0.00418902	0.0043486	0.00746447	0.00760665	0.0196033	0.022044	0.0384216	0.0546049	0.0698796	0.114706	0.123073	0.280876
</S>	0.0758975	0.049904	0.0507016	0.0485118	0.0441546	0.0381014	0.0172911	0.0180436	0.017949	0.00723846	0.010256	0.00594896	0.00532414	0.00540799	0.00402902	0.0038771	0.0045074	0.00361621	0.00631056	0.00903016	0.0164195	0.0227378	0.0250941	0.0377947	0.0542014	0.0580191	0.0950108	0.0879757	0.176646
