 	m	b	ó	r	ó	y	e	e	d	z	é	b	í	s	í	a	d	z	e	o	t	u	m	b	á	t	u	m	b	a	y	a	b	í	n	í	a	d	i	o	l	á	m	b	á	l	a	m	b	a	</S>
la	0.00680275	0.0141789	0.0106908	0.0152189	0.0214433	0.0208473	0.024032	0.0263909	0.0310664	0.0323046	0.0403021	0.0692915	0.0796672	0.0512121	0.0479213	0.0311339	0.0255897	0.0112074	0.00955304	0.00772572	0.00772637	0.00994492	0.00949414	0.00839899	0.011447	0.00946141	0.00781107	0.00777718	0.0103302	0.00610369	0.005739	0.00674967	0.0045258	0.00783275	0.00712114	0.0046973	0.00553145	0.00510828	0.0127793	0.0123415	0.0144092	0.0191471	0.0208468	0.0171717	0.028731	0.0284545	0.0322835	0.0298417	0.0257123	0.026326	0.019575
carpe	0.0183914	0.0488354	0.0751806	0.109306	0.0774777	0.211342	0.0657287	0.0996467	0.0645066	0.0321116	0.0180651	0.00897449	0.00840319	0.00502774	0.00418968	0.00620901	0.00363135	0.00240431	0.00159593	0.00120432	0.000813623	0.00121679	0.00134559	0.00140067	0.00280114	0.00144341	0.000973452	0.00182079	0.00499403	0.00343514	0.00406214	0.00498891	0.00589959	0.00653126	0.00460086	0.00371259	0.0133075	0.00553332	0.00384715	0.00664849	0.00429869	0.00789068	0.00964771	0.00704692	0.00636417	0.00594264	0.00500402	0.00561068	0.00157275	0.00316596	0.00184722
que	0.07788	0.05284	0.0278079	0.0116823	0.00744238	0.0067284	0.00727235	0.00510985	0.00597937	0.00903521	0.00837368	0.00821574	0.0158922	0.00411717	0.00667496	0.00933256	0.00754212	0.0120958	0.0138298	0.00989645	0.0102682	0.0093165	0.011957	0.0105871	0.0153579	0.0154667	0.0091294	0.0077472	0.0141522	0.0154257	0.0134472	0.0161606	0.012413	0.0166254	0.0168724	0.0131256	0.0134092	0.0159038	0.0269704	0.0462945	0.0528685	0.0535605	0.0977605	0.0475889	0.0441384	0.0316855	0.0242195	0.0109695	0.005164	0.0101247	0.00354189
nous	0.0254823	0.0278971	0.0319728	0.0411482	0.0381175	0.0258442	0.0174251	0.0172493	0.0212219	0.0167304	0.0147049	0.0166897	0.0116276	0.0172789	0.0245214	0.0238476	0.0164245	0.0202083	0.02204	0.0244698	0.0225313	0.019737	0.0191167	0.0162279	0.0133584	0.0167416	0.014461	0.0142146	0.0154028	0.0229883	0.0223087	0.0216469	0.0263588	0.0216092	0.0211959	0.0148962	0.0154364	0.0187592	0.0264625	0.0250591	0.0247022	0.0138435	0.00901886	0.0155131	0.00878149	0.00928235	0.00873955	0.00891024	0.0119716	0.0145244	0.0312988
avons	0.0349593	0.0304577	0.0242663	0.0234795	0.018764	0.0235558	0.0218163	0.0151336	0.0114112	0.00929759	0.00614097	0.00358302	0.00418164	0.00231913	0.0023434	0.00435558	0.00447632	0.00940449	0.0128819	0.0169568	0.0243596	0.0181109	0.0298054	0.0279219	0.0250565	0.0394137	0.0166916	0.0159086	0.0210038	0.0270764	0.0271559	0.0336462	0.0241754	0.0237935	0.0283105	0.0184891	0.0188375	0.0326786	0.0487126	0.0360845	0.031806	0.0204571	0.0145603	0.0113171	0.0101172	0.00973693	0.00892983	0.00668883	0.0113371	0.0130755	0.0449576
mangée	0.0297449	0.0200024	0.0132418	0.00817704	0.0060396	0.00963967	0.0100665	0.00957259	0.00802226	0.0065319	0.00493067	0.00247414	0.00223031	0.00195246	0.00216815	0.00423188	0.00312194	0.00551264	0.00563217	0.00741973	0.0105093	0.0165375	0.0172245	0.0335052	0.0326512	0.0460159	0.0380013	0.0282455	0.0495935	0.0328913	0.0361445	0.0414973	0.0279311	0.0305217	0.0381657	0.0226054	0.0276147	0.0418971	0.0391086	0.0267973	0.0216903	0.0172221	0.0161479	0.0129561	0.0134158	0.0144928	0.0160243	0.0191236	0.0180373	0.0178981	0.0348202
était	0.00853039	0.00712553	0.0061016	0.00577519	0.00669058	0.00764578	0.00763556	0.00732896	0.00686791	0.0080619	0.00819875	0.00552991	0.00643572	0.00345803	0.00296422	0.00467647	0.00407316	0.00594649	0.0088987	0.0162406	0.0230689	0.0348941	0.0310928	0.0433223	0.0348346	0.0440033	0.0277915	0.0310666	0.0329262	0.0295405	0.0441138	0.0439002	0.0356573	0.03291	0.0346719	0.0326709	0.0288284	0.0375339	0.038327	0.0256762	0.0240442	0.017087	0.0153484	0.0115129	0.0114418	0.0136966	0.00850773	0.0137945	0.0164665	0.0145791	0.0285053
cuit	0.0154097	0.0108399	0.0109488	0.00954777	0.0101225	0.00751575	0.00656542	0.00534353	0.00403256	0.00660795	0.00625243	0.00741239	0.0111607	0.00773781	0.00946219	0.0114934	0.0107675	0.0140773	0.0145946	0.0184097	0.0208862	0.0224407	0.0239539	0.0298342	0.0255226	0.0309632	0.0215719	0.0299957	0.0219037	0.0166265	0.0279602	0.0156459	0.0214953	0.0156618	0.0166733	0.00958057	0.0176188	0.0205335	0.0248835	0.0295509	0.0278201	0.0285109	0.0205091	0.0231276	0.0256811	0.0313519	0.021662	0.0355511	0.0390319	0.0364204	0.0687294
à	0.013461	0.010247	0.0121424	0.0101012	0.010072	0.0109803	0.0143566	0.0150203	0.0167706	0.0202517	0.0185526	0.0118874	0.0116098	0.00689496	0.00545775	0.00575707	0.00545698	0.00830924	0.0103143	0.0119149	0.0216845	0.037487	0.0330122	0.0413908	0.026356	0.0522931	0.0342967	0.0407668	0.0218198	0.0164859	0.0325936	0.0148333	0.0192012	0.0178334	0.0209791	0.0143652	0.017115	0.0155087	0.015342	0.0181446	0.020666	0.0236865	0.013828	0.018533	0.0116346	0.0151215	0.00700272	0.010906	0.0253659	0.0257761	0.0864129
la	0.0552888	0.0240761	0.0195307	0.0139574	0.0143408	0.0179209	0.016569	0.0117696	0.00965398	0.00874381	0.00714404	0.0068739	0.00656834	0.00504013	0.00520697	0.00638564	0.00605066	0.00941711	0.00962393	0.0103134	0.0131224	0.0118267	0.0141317	0.0157591	0.0111879	0.0198013	0.0179565	0.0219185	0.0139361	0.0184381	0.0253349	0.0200589	0.0204545	0.0177551	0.0251012	0.0151375	0.018248	0.0210099	0.027112	0.0238321	0.0277737	0.0253432	0.023199	0.0297453	0.0270098	0.0302382	0.0261326	0.0343518	0.038145	0.0375605	0.0639032
braise	0.0365571	0.0219208	0.0193097	0.016135	0.0144905	0.0111733	0.00749579	0.00570583	0.00491774	0.00550034	0.00611921	0.00722415	0.0121578	0.00796714	0.00719684	0.0095733	0.0125974	0.0179084	0.0180127	0.016799	0.0224107	0.0143218	0.021788	0.0309603	0.0231474	0.0365238	0.0221236	0.0360221	0.0244379	0.0191391	0.0402225	0.0224358	0.0234528	0.0140004	0.0150231	0.0112594	0.0214145	0.0250632	0.0215332	0.0149834	0.0115309	0.0128839	0.00904944	0.011989	0.0156492	0.0219025	0.00967915	0.0262763	0.0331904	0.0323798	0.0964445
la	0.0199489	0.0144621	0.0125242	0.0117102	0.011536	0.0108243	0.00870516	0.00927216	0.0110527	0.0102342	0.00935866	0.00662985	0.00556736	0.00327109	0.00228454	0.00278603	0.00345533	0.0057453	0.00734703	0.0103604	0.0193397	0.0231817	0.0253101	0.0362221	0.0447641	0.0560467	0.0481241	0.0348805	0.0419443	0.038948	0.0451693	0.0362023	0.0265855	0.0246739	0.0261243	0.0253718	0.0256997	0.0178581	0.0173671	0.0153156	0.0131195	0.0128957	0.00876083	0.0121493	0.0127506	0.0145345	0.0099337	0.0142551	0.0248445	0.0238291	0.0467228
vôtre	0.0222656	0.0127237	0.0136127	0.0176455	0.0107633	0.00821622	0.00315723	0.00503978	0.00669515	0.00559223	0.00568173	0.00670139	0.00838739	0.00835636	0.00605375	0.00768562	0.0065267	0.00670478	0.00631681	0.0089892	0.0107377	0.0146118	0.00945073	0.0120388	0.0124567	0.0149254	0.0116098	0.0108042	0.0162149	0.00985179	0.0154465	0.0177764	0.0148337	0.0176103	0.014042	0.0105592	0.0204598	0.027132	0.0139601	0.00934817	0.00538806	0.0118955	0.00890852	0.0276731	0.0457025	0.0673772	0.0543075	0.0884992	0.0688375	0.0592873	0.101138
est	0.0261962	0.0189998	0.017188	0.0173992	0.0262477	0.0308074	0.0310376	0.0349647	0.0372433	0.0340084	0.0241998	0.01379	0.00844821	0.0050358	0.00541614	0.00489128	0.00402084	0.00641406	0.00975773	0.0123938	0.0174801	0.0243923	0.0202128	0.0207673	0.0219357	0.0283389	0.0227809	0.0206937	0.0179557	0.0150619	0.0231112	0.0148587	0.0196641	0.0155237	0.017816	0.0176964	0.0168227	0.0166781	0.0199023	0.0190065	0.0195	0.0161538	0.0132127	0.0166077	0.0146576	0.0160889	0.0121276	0.0139193	0.0221172	0.0223316	0.0741247
cuite	0.0584804	0.0309707	0.0255761	0.0187513	0.013715	0.00956939	0.00642701	0.0052832	0.00584661	0.00619369	0.00702128	0.00932212	0.0112718	0.0135406	0.0146095	0.0197029	0.0124168	0.0190998	0.0224725	0.0259113	0.0286659	0.0177459	0.0126925	0.0134287	0.00855754	0.0165623	0.00941279	0.00989573	0.00992248	0.00682361	0.0199856	0.0108877	0.022152	0.0156556	0.0119118	0.011677	0.0154527	0.0185494	0.0219262	0.0109911	0.0196713	0.0143139	0.0111805	0.0221217	0.0203908	0.0291342	0.0131365	0.0218997	0.0396688	0.0406526	0.138751
dans	0.00837384	0.00609414	0.00529979	0.00521415	0.00384947	0.0023903	0.00176874	0.00176828	0.00151474	0.00193765	0.00243677	0.00295906	0.00347794	0.00254452	0.0036391	0.00558273	0.00614622	0.0114972	0.0165242	0.023217	0.0312714	0.0456992	0.0315477	0.0363837	0.0367938	0.0407652	0.0372259	0.0335172	0.0349706	0.0287958	0.0415848	0.0419287	0.0413884	0.0381097	0.0311658	0.0341494	0.0385282	0.0422833	0.0372084	0.0238624	0.0169973	0.0120394	0.00694355	0.0124917	0.0129533	0.0180619	0.00601595	0.00875957	0.014504	0.0170131	0.0308047
un	0.0215776	0.0149784	0.0123294	0.0110753	0.0101569	0.010294	0.0101192	0.010317	0.0121779	0.0118361	0.0129957	0.0126949	0.0114247	0.0107952	0.0103588	0.0118521	0.0111307	0.011577	0.0101854	0.00975634	0.0152949	0.0111983	0.0110826	0.0141628	0.0118186	0.0190092	0.0160969	0.0118147	0.0159529	0.01059	0.024406	0.0215065	0.0320367	0.0287227	0.0182256	0.0232181	0.0224195	0.0342448	0.0316648	0.0137819	0.0135098	0.0183871	0.0107817	0.0224711	0.0217001	0.0332375	0.0196394	0.0327686	0.0504938	0.050885	0.101246
bouillon	0.0135977	0.0131961	0.0141186	0.016102	0.0123886	0.00813126	0.00679255	0.00664083	0.005034	0.0062673	0.00569374	0.00621151	0.00720756	0.00746561	0.00797608	0.00835851	0.00850921	0.00875579	0.00847262	0.00861196	0.0110398	0.0145175	0.0118749	0.02044	0.015843	0.0234054	0.0217954	0.0204424	0.0185455	0.00852282	0.027025	0.0159783	0.0252477	0.0208833	0.0177414	0.0162732	0.0241546	0.0313044	0.0281664	0.0196612	0.0194971	0.0238227	0.0155931	0.0308627	0.0261013	0.0418263	0.0296602	0.0459073	0.0608115	0.0599348	0.0735894
</S>	0.0223932	0.0176706	0.0153946	0.0143984	0.0136931	0.0116389	0.0101693	0.010438	0.010004	0.0107706	0.0115044	0.00858305	0.00839844	0.00617821	0.00487362	0.00653705	0.0088936	0.0121984	0.0161336	0.022012	0.0237677	0.0238296	0.0201313	0.0176159	0.0190367	0.0242895	0.0209092	0.0147055	0.0170699	0.0197376	0.022006	0.0270363	0.0275719	0.0274041	0.0222098	0.024946	0.0189962	0.0265998	0.0273121	0.0146242	0.014983	0.0147636	0.0110521	0.017799	0.0168759	0.021938	0.0194049	0.0263031	0.0447485	0.0426381	0.0878115
