 	m	o	r	o	y	e	é	y	ε	l	έ	e	b	e	m	b	e	w	ó	a	d	i	t	á	á	y	a	y	í	a	</S>
l'	0.0117248	0.0143419	0.00995718	0.0196452	0.0192918	0.0245495	0.0198855	0.0358292	0.036636	0.0391244	0.0445554	0.0496404	0.0644067	0.1014	0.0667937	0.0544812	0.0278702	0.014003	0.0193818	0.017797	0.0211445	0.0215556	0.0323771	0.0251673	0.0249694	0.0293857	0.0463697	0.0275674	0.037183	0.0229596	0.0200059
homme	0.0335366	0.0626913	0.124975	0.219146	0.155034	0.0928184	0.027349	0.0297823	0.0196265	0.0208029	0.0188745	0.0167963	0.0104164	0.0101502	0.0133002	0.0218838	0.0184879	0.00917376	0.00807433	0.00820548	0.00467351	0.00860238	0.0152996	0.0081226	0.00786003	0.00515737	0.0062769	0.0093124	0.00507758	0.00494284	0.00354926
qui	0.0532003	0.043402	0.0355928	0.0134922	0.00976823	0.00944079	0.0124303	0.00865432	0.0115393	0.0142013	0.0153452	0.0180018	0.0172676	0.0106753	0.00914945	0.0141173	0.00905118	0.00555763	0.00391565	0.0238257	0.0649067	0.125779	0.124489	0.117694	0.0696955	0.0577062	0.0449683	0.0199466	0.0214356	0.0106859	0.00406467
s'	0.0109326	0.0140468	0.0248675	0.0324646	0.0307804	0.0246993	0.0325079	0.0173728	0.0171241	0.0212733	0.0206202	0.021046	0.0143958	0.0158922	0.0229452	0.0307295	0.0352195	0.0515795	0.0248484	0.0475	0.0900666	0.085312	0.0640723	0.0403016	0.0317721	0.0348567	0.0239386	0.0300507	0.0236255	0.0186484	0.0465098
adresse	0.0506018	0.0430228	0.0667945	0.0781536	0.0626122	0.0562126	0.0400333	0.0341417	0.0246779	0.0235458	0.0221069	0.0156539	0.0187683	0.0161789	0.0130036	0.0216329	0.0321614	0.0388223	0.0280871	0.0340106	0.0446998	0.0314725	0.0197226	0.0161222	0.0140983	0.027625	0.0175508	0.0220021	0.0159359	0.0189629	0.0515859
à	0.0426564	0.0391599	0.0388491	0.0350065	0.0345325	0.027047	0.0392258	0.0433766	0.0396989	0.0332474	0.0413399	0.0409311	0.0422902	0.0343586	0.0254485	0.0310215	0.0386292	0.0328172	0.0191642	0.0313033	0.0219001	0.0180658	0.0172345	0.0135259	0.0114985	0.0168397	0.0218891	0.0238712	0.0263006	0.031923	0.0868478
ce	0.0419779	0.0334911	0.0335877	0.0328238	0.0332955	0.0304389	0.0361026	0.0345293	0.0337403	0.0260735	0.0234435	0.0170596	0.0228884	0.023806	0.0219391	0.038772	0.0663022	0.0415093	0.0248288	0.0178575	0.0230696	0.0226428	0.0244816	0.0206162	0.0202406	0.0326764	0.0309432	0.0331808	0.0374941	0.0397654	0.0804223
mort	0.0432311	0.0396099	0.0378655	0.0352864	0.0339606	0.0338035	0.0485534	0.0434759	0.0413186	0.0427953	0.0498481	0.0595816	0.0654305	0.0469304	0.0389353	0.0341421	0.0368951	0.0264154	0.0138622	0.010268	0.00294404	0.00223058	0.00609799	0.00265248	0.00411353	0.00447246	0.00812404	0.0321813	0.0197575	0.0214393	0.113778
est	0.0835741	0.0542219	0.0449954	0.0378171	0.0364988	0.0359024	0.0891185	0.0851901	0.078335	0.0571232	0.0572096	0.0459756	0.0390544	0.0284282	0.0185658	0.0188273	0.0210236	0.00595278	0.00303716	0.00289118	0.0027662	0.00372072	0.00734688	0.00345203	0.00343223	0.00289797	0.0110822	0.0125737	0.0129825	0.0188859	0.0771175
son	0.136839	0.0947853	0.0662132	0.0375171	0.0252287	0.0136624	0.0167202	0.0149604	0.0147197	0.0155531	0.0180296	0.0255081	0.0296481	0.0193885	0.013979	0.00858282	0.00734908	0.0062095	0.0038265	0.00476416	0.00603381	0.00537816	0.00555179	0.00262297	0.00373788	0.00342713	0.0108337	0.0729799	0.0389456	0.0614253	0.215579
père	0.126846	0.081369	0.0526339	0.0358558	0.0281755	0.0187815	0.0177726	0.0141106	0.0156122	0.0171972	0.0153447	0.0201308	0.0215393	0.0105177	0.00951992	0.0114822	0.0135007	0.012723	0.00553912	0.00643753	0.00870911	0.00590184	0.00634594	0.00252114	0.00415323	0.00370179	0.00655497	0.0533419	0.0250101	0.038246	0.310425
</S>	0.17459	0.120559	0.0863748	0.052455	0.02506	0.0106433	0.00994588	0.00713938	0.00757755	0.00844729	0.00763419	0.012177	0.0100714	0.00735329	0.00539571	0.00551879	0.00591742	0.00222248	0.00121416	0.000848095	0.00169875	0.00483712	0.00964867	0.00483177	0.0114663	0.020113	0.0257926	0.047588	0.0322033	0.0770116	0.203664
