 	o	k	o	n	d	z	i	l	á	a	y	é	l	á	á	m	b	a	o	y	e	n	á	</S>
le	0.0157944	0.0165028	0.0132344	0.0135379	0.0333919	0.0286581	0.0169588	0.0197439	0.0109803	0.0236341	0.0179978	0.0259434	0.0445335	0.0709174	0.0755441	0.0919812	0.0979162	0.0875543	0.0704229	0.0569197	0.0482752	0.0456111	0.0461563	0.0277904
chef	0.0486755	0.1261	0.124295	0.117894	0.0638912	0.0511804	0.0241968	0.0177327	0.0135639	0.043781	0.056305	0.0731647	0.0615912	0.0193261	0.0273822	0.0296664	0.0293818	0.0322996	0.0181336	0.00914972	0.00507181	0.00237791	0.0041641	0.000676115
ne	0.0385703	0.0365363	0.0437321	0.0580883	0.0550343	0.0479354	0.0981824	0.0575958	0.0468289	0.0311913	0.0293416	0.0352914	0.0257433	0.0287428	0.0498222	0.0720377	0.0910182	0.0747888	0.0265004	0.0120082	0.00734206	0.00765756	0.0192143	0.00679633
tient	0.0602272	0.0690738	0.0895618	0.0868907	0.0661525	0.0347022	0.0570721	0.0401174	0.0442602	0.0400092	0.0534379	0.0631388	0.0419443	0.0272918	0.0293801	0.0414803	0.0437292	0.019453	0.0186513	0.0129437	0.0151472	0.0120692	0.0169553	0.0163108
pas	0.0228464	0.0272344	0.0410367	0.0489016	0.046402	0.0654544	0.0625946	0.063611	0.0332811	0.0401235	0.0315163	0.0318153	0.0267069	0.0150384	0.0117385	0.0143987	0.0148803	0.0293605	0.0445179	0.0523725	0.0655167	0.0640672	0.0626028	0.0839823
compte	0.0286708	0.0317079	0.0408908	0.0458123	0.045512	0.0771676	0.0852854	0.0794792	0.0566034	0.0585711	0.0458447	0.0294292	0.0182338	0.0153049	0.00985033	0.0120172	0.0157108	0.0239778	0.0264818	0.0290394	0.0261326	0.0425403	0.0565513	0.0991853
de	0.0414751	0.0348565	0.0355903	0.036822	0.035695	0.0556856	0.069227	0.0818078	0.0531339	0.0546771	0.0427402	0.026107	0.0116435	0.0112634	0.00889663	0.0105286	0.0109755	0.0229204	0.0307636	0.0493049	0.0468498	0.0620787	0.0693714	0.0975863
certaines	0.0290552	0.0367685	0.0341204	0.0313512	0.030143	0.0447477	0.0634596	0.0626454	0.0495554	0.0442793	0.0399358	0.0201925	0.01481	0.0118376	0.012635	0.0177042	0.0228489	0.0297573	0.0259953	0.0376813	0.0418117	0.0612457	0.0811984	0.156221
lois	0.0870254	0.0824435	0.049733	0.0391604	0.0206839	0.01726	0.0152135	0.01456	0.0157899	0.0194918	0.016215	0.011832	0.0134225	0.0128124	0.0179054	0.0208929	0.0299905	0.0396497	0.0536649	0.0755165	0.0388341	0.0621873	0.104694	0.141022
</S>	0.0351927	0.0317848	0.0325258	0.031324	0.0311871	0.0372724	0.0411503	0.0434231	0.0219906	0.0223765	0.0166855	0.0105268	0.00735268	0.0104311	0.00962855	0.0112187	0.0148195	0.0264397	0.0546671	0.0850374	0.0951826	0.101113	0.100254	0.128416
